Serial No.,College Name,Scholarship Info
98,The National Institute of Engineering - [NIE],I got snq quota so my tuition fee is 38700Rs Nsp scholarship of abt 50000 for girls..AICTE pragati scholarship So ssp scholarship for every student of amt 22k For other students fees will 91000...for sc st only 500 since they got scholarship for fee
99,North Eastern Regional Institute of Science and Technology - [NERIST],"The typical fees of the college is around rupees 16,000 per year. This fees includes all the costs related to hostel seat, WiFi, security fees, medical fees and everything else. The lab fees and other compulsory charges are included in the regular fees of Rs 8000 per semester. It increases at a rate of 5% after every two years. The hostel mess fees is separate and it is around rupees 15,000 per semester and it includes all the food costs."
99,North Eastern Regional Institute of Science and Technology - [NERIST],"The fee structure in my institute is quite affordable to attend.There is Semester fee and for hostel fee too. They provide Scholarship in every way they can do. And also they provide course that is quite good.For now,They have 6 engineering course."
99,North Eastern Regional Institute of Science and Technology - [NERIST],"Currently i am pursuing b.tech from electrical engineering. I am in 1st year 1st semester. I had paid semester fees around Rs16000(which includes admission charge) and hostal charge around Rs17000. From next semester, only 5000 we have to pay as a semester fees and hostal charge same as throughout the semester. Amount for other categories students like sc and st have different. They have to pay 4000 as semester fees and 14000-15000 as hostal charge( depending upon the hostals where u are staying). By national scholarship programs(NSP) our college provide scholarship to SC and ST categories students. According to my knowledge per year they will provide rs50000."
99,North Eastern Regional Institute of Science and Technology - [NERIST],Fee structure for 1 semester Hostel mess fee for 1 semester =?15137 Academic Fee Medical Examination Charges. =150 Students' Welfare Fund. = 130 Internet and Computer Charges =600 Extra-curricular Activities. =530 Examination Fee. =550 Total =7990
99,North Eastern Regional Institute of Science and Technology - [NERIST],Admission costed around 10k and 17k for hostel in the first year and after that 5k per semester for admission and 14-15k for hostel.everyone gets hostel since it is a residential college. Placements are held at the end of your course along with internship.
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"I'm a management student here I pay 1,80,000 every year there will be no scholarship for students under management on NRI category you should pay the full amount at a time at starting of the year there will be seats with scholarship their fee will be 67,000 the even get scholarship from govt of ap and scholarships of more that 30,000 from other scholarships"
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],The annual tution fee for an year in VRSEC is 72820/- and the hostel fee per year is 80000/-. They will provide a scholorship for the merit students called NSF scholorship based on the economic standard of their families and meritness of the student.This collegehas only JVD scheme feature so that students and parents can be relaxed from the tution fee payment.They also collect a 2000/- for the library and caution fee for every odd semester. The NSF scholorship is of 20000/- for the merit and ecomomically unstable students.
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"the hikes are very less every year, but this year our college is announced as the deemed to be university so there was a little huge hike in the prices, I joined in the college in category -b, now there is only eamcet counselling and special entrance exam for our college."
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Tution fees are increased due to Siddhartha's deemed to the university thats the reason the fee rate hikes. My education costs around 6 to 7 lakhs . They give scholarships for students who have emcet rank below 10k. I got campus placement.
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Our college fees structure is of around 66200. We can pay that In two installments. For scholarship people they will get the fees reimbursement from the government and the college fees will be credited to mother's account of the student
101,Dr. Mahalingam College of Engineering & Technology - [MCET],"As of now I am studying 2nd year till now I have paid ? 89,000 per year or tutor fees and 88,000 for hostel fees. And I came this collage from a councelling and my friend came in management quota and he is paying ?1,35,000. And collage is giving Scholarship of ?3000 per year for the community MBC,BC."
101,Dr. Mahalingam College of Engineering & Technology - [MCET],"Year wise course fees including tution fees, development fees, laboratory fees is 96000. First graduate fee concessions also available. Arutchelvar scholarship which is given by the institution is also available."
101,Dr. Mahalingam College of Engineering & Technology - [MCET],Students need to pay fee of 97000 and there is a scholarship which is AVS scholarship for high mark scoring students. College Ready education loan for the students. Mini employment opportunities for available in our campus
101,Dr. Mahalingam College of Engineering & Technology - [MCET],"The BTech AIDS course fee is 1 lakh per annum. Tuition hikes are infrequent, typically around 5% annually. Total costs include tuition and additional fees. Scholarships like the Merit-based (50,000) and Need-based (40,000) are available. Campus jobs offer extra financial aid."
101,Dr. Mahalingam College of Engineering & Technology - [MCET],"Our fee structure may vary between government quota students and management. Students for Govt Kota students they charge around one lakh per year for management student they charge around 1.5 to 2 lakh per year for first grade students they reduced amount of 25,000 in every year of fee structure and hostel fees may around 8000 per year. At first, they told us some Scholarship will be provided for hundred students per year but they didn't provide a scholarship."
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"Every student needs too many 130000 every year for cse branch. For me, I got a full fee reimbursement. So I dont need to pay any fee. All fee was paid by the government only. But many of my classmates must pay fees."
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"I paid 123000 INR as the college fees starting from 2021 and it incresed every till date by around 2000 INR. For every course type, the fee structure varies. For Computer Science course, the fees is obviously higher when compared with the other courses offered. Along with that we also have to pay additionally to the college for the records which we take every semester for the labs, for examination fees and bus fees which are to be given only in cash. There are so many other miscellaneous things for which the students have to pay from their pockets. For management seats, they also take a huge donation amount at the admission time and further one has to pay a regular yearly wise fee. Students who are eligible for fee reimbursement, have to get a bonafide signed from the college. On the other hand, merit students have to pay a less amount as the government fulfils their education needs. Also, there are some students with the quot known as Children of Armed Personals(CAP), through which they receive some amount under Prime Minister Scholarship Scheme."
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],I got seat in this college through eamcet exam. So my fees is 1 lakh 35 thousand per year. I have some scholorship. So the fees will be the same throughout 4 years.And there is management quota also in our college price for the seat ranges according to the rank in eamcet and 12th marks of the candidate.
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],total tution fees is 1.3laksh for ecet and eamcet students they will get 35k scholarship traing fees per whole btech is 20k NBA and etc fees per year=6k exam fees per every sem=1400 lab recors fees per sem=240
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"The year wise fees that I have paid is 1,30,000 since I have taken admission through EAMCET and got a seat but I still belong to general caste. The fee reimbursement varies according to your caste and rank in EAMCET."
103,Kakatiya Institute of Technology & Science - [KITSW],I pay 133850 per year as of now and this might increase a little every year with few thousands or hunderds as this is the college fee the books we buy is not included in it . And we are having scholarship options and due to which u dont have to pay much and maximum of the amount u pay will be given back to you.
103,Kakatiya Institute of Technology & Science - [KITSW],"I pay 97,360 every year .But our college. Fee is 125000 and I get a reaimbursment of 35000 .In 97360 it includes 90000 as college fees and 7360 include library fees and lab fees.For SC/ST government will provide 1,25,000 reaimbursment and they just need to pay 7360"
103,Kakatiya Institute of Technology & Science - [KITSW],"The Fee Structure for the college (yearly) is 1.3L and 14000 charges are for lab Charges and for Library and this is mandatory. Scholarship is been Provided For The General Students for general OBC and SC & ST Students Tution fees is 1.3l and With The scholarship reambursment We should pay 90000 for all the students. There is no caution fee and registration fee all are included under the tution fee. Library fee and Lab Charges are 14000 this is mandatory to pay SC,ST students get full reambursment if the parents are not government job holders. My friends fee his seat is management and he should pay the full fees 1.3L TS scholarship Per Year it could be 6000 if the person got seat via EAMCET"
103,Kakatiya Institute of Technology & Science - [KITSW],Iam under the reservation category I should pay just the library and exam free which cost around 10000 Every year . Generally the college fee is 125000 this is the tuition fee .And hostel fee in our college is about 60000 which includes mess fee and hostel fee. In the tuition fee only all the lab fees and the material fees will be deducted my scholarship is epass scholarship for sc students
103,Kakatiya Institute of Technology & Science - [KITSW],"I don't have any reservation, my yearly fees : tution fees:125000/-, other fees:7360/-, total fees is 132360/- and for my juniors it has been increased, for them total fees is above 140000/-(without scholarship), for scholarship eligible students government provide 35000/- per year"
104,Shri Vishnu Engineering College for Women - [SVECW],"The year wise fee for the students who've got seat through EAMCET (EAPCET) need to pay 77000/- per year and the students who got through government scholarship they need not pay even a penny of the fee. Management fee varies on the branch for IT it is 2,31,000 per year. If students cannot afford to pay, they opt for government scholarships or other scholarships like Amazon scholarship provided for the first year BTech students."
104,Shri Vishnu Engineering College for Women - [SVECW],The tution fee for all the four years is 70000.No scholarship is provided by the college.I used to stay in a hostel for all the four years.Hostel fee had increased for every year.For every year the fees had increased by 5000 atleast
104,Shri Vishnu Engineering College for Women - [SVECW],"The general fee for my couse is 70,000 per year but i have availed scholarship from my state sceme called Jaganana Vidya Deewena so i don't need to pay fee to college .The college fee is same every year ,it doesn't change.The fee is same for every category and other categories people whose parents are not working in government sectors can also avail scholarship benefits."
104,Shri Vishnu Engineering College for Women - [SVECW],My eapcet rank is 12k and I got seat in convener quota and also I am receiving full fee reimbursement of 700000/- per year from ap government and ever year they will charge 3k-4k as the registration fee.The college fee of 700000 Is fixed for all convener quota students
104,Shri Vishnu Engineering College for Women - [SVECW],The overall tution fees for a year were 70000 when I joined but later it was increased to 77000. The hostel fees also range from 80000 to 150000 based on the requirements. Some of the government schemes were available to the students to claim the scholarship based on their rank and economic status.
105,Alliance College of Engineering and Design,"Scholarships at Alliance University are offered to students across all programs. Merit scholarships at Alliance based on National Entrance Exam Scores and Academic Results are announced by the Alliance Scholarship Committee. Below-mentioned scholarships are available to eligible students enrolled in the B.Tech. course at Alliance College of Engineering and Design, Alliance University. Scholarships worth INR 6 Crores are available for meritorious students at Alliance University."
105,Alliance College of Engineering and Design,
105,Alliance College of Engineering and Design,
105,Alliance College of Engineering and Design,The fees for kcet students is 116000 and for management its 3-4lakhs . We get scholarship in the month of dev and jan. Some of the students pay their fees with it and some of the students money get credited to account
105,Alliance College of Engineering and Design,"I have availed Government seat in private college,so I pay 116000, where 91000 is tution fee,25000 is lab fee. I get scholarship from state scholarship portal. The management seat cost in our college is 20000 per year. And for management students they avail scholarships from college management."
106,Saveetha School of Engineering - [SSE],i am studying in saveetha school of engineering i had my admission on 2023 i am paying 200000 fees to college tution fees is 56000 and hostel fees is 80000 and i am oc category i will get some internships also like release by government.
106,Saveetha School of Engineering - [SSE],I pay 2.5lakh per year including transport. Transport fees is 42500 for all routes.As i secured 80% it is 2lakh tution fee or otherwise it may vary according the grade you secured in 12th standard.My friend secured 70% and she is paying 2.5lakh as tution fee.
106,Saveetha School of Engineering - [SSE],"The fee structue is Rs 200000/- for below 80% scorers in 12th grade, 80% above Rs 150000/-. Each year the amount will be increased and the students with over above 80% got fee around Rs 200000/-. The college provide scholorship for some students who are less fortune and they show their efforts by providing other scholorships for various scholorship programs"
106,Saveetha School of Engineering - [SSE],"The year wise fees I pay here is 1,50,000 yearly, tuition fees only. The other fee such as lab fees registration fee are totally based on the course you opt for here. There is no management quota only merit quota"
106,Saveetha School of Engineering - [SSE],"When I joined in 2020, the highest annual fee was around ?1.5 lakhs, with deductions of up to ?1 lakh per year based on 12th-grade marks. However, in 2024, the highest fee has risen to ?4.25 lakhs, and even with the smallest deduction, it still amounts to about ?2.5 lakhs per year. Additionally, the college charges fees for even minor events, and if students fail to pay these fees before the semester exams, they are unable to generate their exam hall tickets. I estimate that, beyond the tuition fees, the college collects an extra ?1 lakh from other fees over the course of four years. There's no option for students to choose whether they want to attend an event or not; they are required to pay the event fee regardless. This is one of the worst ways for a college to profit from its students."
107,Pimpri Chinchwad College of Engineering - [PCCOE],The one year fees was 135000 and when we come from reservation for ews/obc it will be 65000 and for sc/st students it will be 8000 and also scholarship will be provided accordingly to government schenes
107,Pimpri Chinchwad College of Engineering - [PCCOE],The fees in first year was ?1188660/- then it got decreased by few thousands like it got to ?116475/-.If u want to take admission through management then u need to pay around 18lakhs in first year for admission
107,Pimpri Chinchwad College of Engineering - [PCCOE],140000 per yr is the fees for open category students .for students whose annual income Is less than 8 lpa have to pay 78000/-. Name of scholarship is rajshri shahu Maharaj. Tution is almost 1 lakhs. And 18 thousand develop ment fees
107,Pimpri Chinchwad College of Engineering - [PCCOE],Total yearly fees for open category students is 145000rs While for students with EWS category the fees is 84000rs But SC/ST category students has nearly 3000 to 4000rs as fees And also our college provide admission to student under category of TFWS these are bright mind student hence they have to pay only 80000 to 84000 fees While OBC category students have 84000 as there fees There are various scholarships provided by college for students with income less than 200000 like chatrapati shahu Maharaj scholarships special scholarships for girls provided by poonawala company also hostel scholarships nearly 30000 and also learn and earn scheme
107,Pimpri Chinchwad College of Engineering - [PCCOE],"I paid yearly 1,50,000 as my tuition fees which includes caution fre, registration fee,admission fee,development fee etc. For reservation candidates the fee varies depending on the category. Generally it is 60,000 for OBC and 5000 for SC/ST. There are various scholarships available depending on reservation as well as grade based"
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],The fees of annual year for normal students is 2 lakhs and 18 thousands .Which has to be paid for four consequtive years.There are scholarships available like having an ebc certificate can decrease your fees to 1 lakh 8 thousand approximately.
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],"My yearly fees is two lakh rupees. I'll be paying this fees till four years. The tuition fees is 50% of the total fees that is one lakh rupee all other type of fees such as registration fees development fees charges are included in the two lakh rupee. we have scholarship for every category, general reservation, schedule, caste schedule, tribe, the backward classes, everyone even girls get scholarship which include 75% discount on their total fees."
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],200000 Everything included Contact college website My fees is 100000 Girls can avail scholarships after which their fees will be 25000 General category student can avail EBC to get a 50% scholarship on tuition fees
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Fee structure is comparatively high compared to other engineering colleges in mumbai. But scholarsships are available like one can apply for ews by fulfilling its criteria . Also caste reservation based scholarships are also available.
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],I am not aware about the scholarships much. But the office staff is very helpful in guiding students on various scholarships and their benefits. Chhatrapati shahu Maharaj scholarship reduces the amount on tuition fees by 50 percent.
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],"Fees of the college is ~170k/yr , it is quite high if infrastructure & facilities are considered .there are financial aids available, tution fee is same throughout the course, also around 70% students placed"
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],The current fees is around 170000 INR which is on comparison an average fees with scholarships present for students with monetary problem. Multiple option of scholarship are present. Currently the cllg is giving out employment or internship programs and facilities.
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],"The Tuition Fees For 4 years is approximately 700000 Where Each Year Cost Is 156000 this includes Tution Fees, Other Development Cost, Exam Fees, Etc. Our College Provide Scholarship Through Banks and Vidyalakshmi Scheme As Well"
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],"The fee of college is less compared to other colleges like DJSCE. There are several scholarship available for students, the only criteria is having a cgpa of 8+, no KT, and annual family income below 8 lac per annum."
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],The fees of the College are very high but you can also apply for an EBC scholarship which will cancel your 40% of the fees. As the College has great Placements thus fees are totally worth it. Overall fees are quite high but the college is also good.
110,Dr. M.G.R. Educational and Research Institute,Tuition fee 35000 per semester 70000 per year Exam fee in and around 3000 to 6000 based on subjects Late fines will be 2000 Hostel 100000 to 150000 Scholorship will be provided for other state students and 80% in 12th
110,Dr. M.G.R. Educational and Research Institute,"The year wise fees will vary for full time students and partime students. Im in the part time classes. For partime classes , the first semester fees will be 70k and second semester onwards the fees were 60k upto last semesters . They don't get any extra fees after that. Here we don't have any scholarship in this university. For special category peoples too. Only have scholarship for the university's alumni people's siblings"
110,Dr. M.G.R. Educational and Research Institute,The fees structure For this course is you have to pay semester wise. For each semester fees is 60k totally there was 8 semesters and you need to pay only 6 semesters and total fees amount for this course is 360000 and i didn't have any scholarship or sponsorship for this course and the management will provide scholarship for the students who are have the academic topper
110,Dr. M.G.R. Educational and Research Institute,"My annual total college fees is 210000, and initially I paid 64000 for confirming my admission My tution fees 160000 and hostel fees is 50000 Some of my batchmates are have the same fees structure but some other mates have different fees structure like annual fees is 190000"
110,Dr. M.G.R. Educational and Research Institute,"Bsc.Ot & At Is a three years course,in which each year has two semesters.In our college there are two shifts(Morning shift 9am-1pm & Afternoon shift 1.30 pm-5.30pm.For forenoon session INR:90,000 is charged for each semester & for afternoon session INR:45,000 is charged for each semester .So the overall annual fees structure for Forenoon session is INR:1,80,000 & for afternoon session is INR:90,000. During any interdepartmental programs & competitions INR:100-500 is charged for each student's."
111,Basaveshwar Engineering College - [BEC],The fees is different for every student. Students who got in through Kcet will pay 1lakhs or more.whereas the management quota fees is quite expensive.the management quota fees is high in every other engineering college. But if you get the seat through Kcet in snq quota your fees will be less
111,Basaveshwar Engineering College - [BEC],Comparing to all the college the college fees is less including everything 33000 was the fees Vidya Siri scholarship was 29000 its almost a refund of our college fees .and minority communities also have their own scholarships.toppers of the class students are got stipend from the college.
111,Basaveshwar Engineering College - [BEC],"There is no fee hike policy and the cost of the study is more we have to pay ourselves on projects, assignments, journals and etc. You can get all the scholarships provided by the government and private there is no problem with scholarships."
111,Basaveshwar Engineering College - [BEC],"No, there is no fee hike policy and the cost of the study is more we have to spend money on projects, assignments, journals and etc. You can get all Scholarships provided by the government and privately there is no problem."
111,Basaveshwar Engineering College - [BEC],"No, there is no fee hike policy and the cost of the study is more we have to spend money on projects, and assignments. journals and etc. you can get all Scholarships provided by the government and privately there is no problem."
112,MKSSS's Cummins College of Engineering for Women,fee structure (sc/st/pmss):3525 [open]:180525 [obc/ebc/ews]:26612 [tfws/sbc/vj/nt]:26612 fees are quite stable over year and there in not a large change in fees for new years. so it is around 180000+ for general student.
112,MKSSS's Cummins College of Engineering for Women,"Overall fee is 180000 per year , it varies year to year It includes all the above mentioned fees , exam fees are taken separately they may vary per year. You can also get benefits of some scholarships"
112,MKSSS's Cummins College of Engineering for Women,Fee structure for General category students = 178525 Fee structure for SC/ST category students= 3525 Fee structure for OBC category students = 26351 Overall the fee Structure is affordable for aal the category students
112,MKSSS's Cummins College of Engineering for Women,"The tuition fee is 152174, development fee is 22826, university fee is 525 and examination fee is 3000 which makes the total fees for open category as 178525. Scholarships such as PMSSS , EWS , OBC , VJNT, SBC TFWS are also applicable."
112,MKSSS's Cummins College of Engineering for Women,"Official course fee is around 1.78 lakhs per year. Applying for the mahadbt scholarship, I pay around the fees of around 1 lakh, as I come under open category and my family income is less than 8 lakhs. Other categories, for OBC it is around 30k and for SC, ST it is around 3k. Other than that,"
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],"I am sc category student I paid 77000 per yearly to college including tution fees, caution fees. Admission fees, labs, mid exams, semester exams. My friends are oc, bc categories but fees will equal for all categories in college."
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],Our college fees is 70000 and it is same throughout my final year .And no additonal fees are paid to the college by us .but at the time of joining first year we will pay 10000 for all our additional requirements like building funds etc... As i am appliciable to vidhya deevana scheme my college fee was paid my state government .our college doesnot force me to pay all the fee at a time they asked to pay whenever i recieve the amount from the government
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],This year I paid the fee of 77k and again the starting registration fee is of 10 k total I have paid of 87k and again the admission fee is of the 1200 have paid is this the fee structure of the first year..and the second year should be continued as usual of 77k as I'm from diploma lateral entry my feelings structure is this as per from intertge fee structure is 2lakh per year
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],"First year - 120000 / year Second year - 100000 / year Third year - 100000 / year Fourth year - 100000 / year College hostel prices are near 80000 to 90000 depending on AC/ non AC. I personally preffered private hostels - better food and accomodations like wifi, washing machine, etc."
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],"My tuition fee per year is 70,000 rupees and the building fund is 10000 at the time of joining we get fee reimbursement from Andhrapradesh government those who are not eligible for fee reimbursement can apply for other scholarships"
114,Sri Sairam Institute of Technology - [SSIT],"1. 1st year rs .1,85,000 2nd rs.1,77,000 3rd year 1,80,000 Including bus fees 2. Tution fees 65000+ Online courses fees 25000+ other including books 40000 + Bus fees 45000 and other feeses totally around 1,80,000 3. Rs 50,000 scholarship for sc/st students who came via counciling. And 6000 for general came Via counciling whose annual income is less thaan 5 lakhs"
114,Sri Sairam Institute of Technology - [SSIT],"Tuition fees increase every academic year it includes tuition service fees, placement fees, hostel fees, transportation fees and other charges.In our college provides Leo Muthu Scholarship for students."
114,Sri Sairam Institute of Technology - [SSIT],The fees structured incresed for me year by year as out college turned into autonomous the second year after also the every year 5000 to 7000 there has been hike in the amount to be paid to the college
114,Sri Sairam Institute of Technology - [SSIT],fees and expense is very much high.normally it takes about 2lpa for an counselling student for an year. lms scholorships are only provided by the college for the financially backward students through foundation.
114,Sri Sairam Institute of Technology - [SSIT],"fees is high in this college , the average fees is about 200000 - 300000 for an year. due amount,fine amount are also collected. scholorships are not provided to students after the admission ,provided during the admission based on their criteria."
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"Yearly we need to pay 70000 as tuition fee, those who come by counseling, through management who came they need to pay 90000 tuition fee. There's no any separate lab fee for separate semester. Hostel fee : 80000 yearly if u opt for hostel Students can avail eligible scholarships like first graduate, BC, MBC scholarship etc"
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,I have studied in the management seat and I have paid 70000 per year Tution fees 70000 per year Caution fees 10000 Registeration fees 5000 Admission fees 500 For my friends they gave paid the same fees as me
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,The fees details of our campus are that tution fees is not less than 150000 for any branch and we have many branches based on AIML and cyber security and everything. The hostel fees include of 970000 for any one food and bed will be provided.
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"Fee is 65000 per year. Exam fee and lab charges are seperat. Placement is as per industry standards like Wipro, TCS etc Scolarship is provide to Highest CGPA students. Financial support is provided ex. loan No stipends"
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"The fees structure of an educational institution is a criucial consideration for prospective students. It typically encompasses Tution,accommodation and additional expenses. Understanding the breakdown of costs is essential to a plan financially."
116,Thakur College of Engineering and Technology - [TCET],"1) The year-wise fees I paid at Thakur College of Engineering and Technology is 1,48,500/- Rs. 2) If we separate it based on different categories, the tuition fees will be 1,29,000/- Rs, whereas the development fees will be 19,500/- Rs. 3) The fees differ based on the categories in which the student has enrolled, like for the EBC (Economic Weaker Section), the cost is around 85,000/- Rs; for SC/ST (Scheduled Caste / Scheduled Tribes), the fee is around 30,000/- Rs. 4) For merit-based admission for my batch was 97.8 percentile in MHTCET examinations. Also, the student must have a family income of less than 8,00,000 (8 Lakhs) per annum. If student satisfies this condition, the his/her fee would be 27,000/- Rs."
116,Thakur College of Engineering and Technology - [TCET],"I Ayush Ambekar from Thakur Polytechnic My engg fees is for 3 years of diploma is 2.5L but as i am in SC cast my fees for the whole 3 year is 4.5k . And in the clg my regestration fees is like other student i think 800 and other charges were also taken by me other open cast the fees was 2.5L and for SC,ST the fees was 4.5k i had schlorship from the clg thats why my fees was less as compared to other students that what i want to say about my clg thankyou"
116,Thakur College of Engineering and Technology - [TCET],I paid approximate 60000 for my course and they charged extra for late admission and my batchmate have pay them 1 lakh fees for the admission and they are not providing us the scholarship and any ST caste benefits
116,Thakur College of Engineering and Technology - [TCET],So my fee structure is I pay 165000(yearly) and the complete course fee is 165000×4=660000 and I don't think that I'll increase but I may increase not sure about it and yeah college also provide scholarship but it takes a lot of time to complete the process of scholarship
116,Thakur College of Engineering and Technology - [TCET],The fees for 1 year is 278000 and the fees for 2 year is 258000.TFWS students have to pay 60000 for 1 year and 40000 for 2 year.DBT is the scholarship which is provided by government to students.All the students can apply for it and can avail scholarship of 200000 in total for both the years.
117,Easwari Engineering College - [EEC],
117,Easwari Engineering College - [EEC],
117,Easwari Engineering College - [EEC],
117,Easwari Engineering College - [EEC],So the over all fee for BE MECHANICAL ENGINEERING is 130000 per year if you join through TNEA counseling. No admission fees will be asked. And this amount is constant through out 4 years .Exam fees depends on the subjects being enrolled in each semester.
117,Easwari Engineering College - [EEC],"College fees are quite expensive at that time but I had gone through counseling so it's less for me than other management students. there are also several scholarships which include if you are a first graduate you can claim that offer also which would be 50% of the tuition fee , and St,Sc scholarship are also available for counselling students ( students applied through counseling process). And several scholarships are also available which can be claimed ."
118,Gayatri Vidya Parishad College of Engineering,"The fess for the complete course including tuition fees, registration fees, admission fees and all 150000 for examination you have to pay extra fees ,the students who have admitted through government will get fee structure of 48000and who have admitted through college will have fee 60000"
118,Gayatri Vidya Parishad College of Engineering,"Gayathri Vidya Prishad College of Engineering is one of the best college in Visakhapatnam, Andhra Pradesh. The yearly fees for the UG course is nearly 1.1Lac including tution fee, admision fee, examination fe, library fee, etc, and students also gets scholarship from state government based on reservation. As I belong to SC category I got 100% scholarship and I only need to pay the admission fees of 8500/- every year."
118,Gayatri Vidya Parishad College of Engineering,"Yearly fees is 76,900 but it for tuition fee only , extra building fund 15000 has been paid , and this fee structure is for only who joined through eamcet , otherwise itll be more than 2 lakhs every year"
118,Gayatri Vidya Parishad College of Engineering,For management seat 217000 per year for COMPUTER SCIENCE AND ENGINEERING seat and Hostel fee is 80000 per year For eamcet based we have to pay 70000 per year for COMPUTER SCIENCE AND ENGINEERING seat Internship offers will be available and should be provided by AICTE There is no other fee like lab fee etc
118,Gayatri Vidya Parishad College of Engineering,"the year - wise fees I paid for college is 63000,here tuition fee is 63000 and when I'm came to join in collage try told me to pay 10000 for buliding fund and registration fee I didn't get any scholarships or financial aid that are available for students."
119,Dr. B R Ambedkar Institute of Technology,Basically the yearly fee should be paid is 48500/- per annum only which includes only tuition fees where as 3000/- only for hostel fees per month .and 1000/- for each sem fees and there are a lot of extra-curricular activities
119,Dr. B R Ambedkar Institute of Technology,"The total tuition fee for NIT Jalandhar B. Tech. in Computer Science and Engineering is INR 5.00 Lakh. Apart from the tuition fee, there is a one time admission fees of - INR 5,000, and a hostel fee of amount INR 68,000 that students are required to pay in addition to the tuition fee."
119,Dr. B R Ambedkar Institute of Technology,"1) Fee structure is reasonable and easy to pay the fee is 15,000/- for 3 years and semester is 2500/- for 1 semester. The college is under government so fee is reasonable and free for poor people. 2) The semester fee will be refund where the students are from below low class or scst, schedule class etc."
119,Dr. B R Ambedkar Institute of Technology,A student whose family income less than 100000 have to pay 50000 per sem. Between 100000 to 500000 1/3 of tution fee and 50000. And above 500000 total fee and 50000. There is also scholarship program. Campus placement is also good
119,Dr. B R Ambedkar Institute of Technology,"According to my branch, I have selected the fee I have paid is 40000 yearly for college, and for the hostel, I am paying approximately 70000. I am getting scholarships like Jagananna Vasathi Dheevena and Jagananna Vidhya dheevena. You can definitely get a job on your hard work in college."
120,Manipal University - [MUJ],No data found
121,The LNM Institute of Information Technology - [LNMIIT],"The LNMIIT has made a provision of various types of Scholarships and Assistantships in order to encourage merit, foster internal competition and support the economically challenged students, with certain level of academic performance."
121,The LNM Institute of Information Technology - [LNMIIT],For select top rankers/meritorious students based on the following academic criteria.
121,The LNM Institute of Information Technology - [LNMIIT],Academic performance at LNMIIT (CGPA of 9.25 or above).
121,The LNM Institute of Information Technology - [LNMIIT],A few BPL Scholarships are available for the neediest students.
121,The LNM Institute of Information Technology - [LNMIIT],"Note: The first reduction in CGPA below 6.0 will lead to a warning and continuance of the same in the next semester will lead to termination of scholarship. Backlog will result in immediate termination of scholarship. However, re-attainment of CGPA of 6.00 or above will result in reinstatement of scholarship."
122,SRM Institute of Science and Technology - [SRMIST],No data found
123,Christ University,No data found
124,Manipal Academy of Higher Education - [MAHE],"Manipal Academy of Higher Education, popularly known as Manipal University offers various scholarships to meritorious and deserving students at UG & PG Levels. There are a total of twenty scholarship schemes offered by MAHE Manipal. Higher Education at Manipal (MAHE) The term ""Manipal"" connotes brilliance in higher education. Some of the major scholarships offered at Manipal University are as follows:"
124,Manipal Academy of Higher Education - [MAHE],Check More: Manipal Academy of Higher Education Courses & Fees
124,Manipal Academy of Higher Education - [MAHE],
124,Manipal Academy of Higher Education - [MAHE],
124,Manipal Academy of Higher Education - [MAHE],"-> Fees for BTECH CSE(DS) : tuition - 4,10,000 (annual) registration - 10,000 (one time) caution deposit - 15000 (refundable) -> there is no reservation in manipal uinversity jaipur -> there are 8 different types of scholarships that muj provides"
125,Centurion University of Technology and Management - [CUTM],"Centurion University of Technology and Management, Bhubaneswar offers scholarships on the basis of merit. Mentioned below are the details for the same:"
