Serial No.,College Name,Rating,Pros,Cons
132,Bennett University,4.3,And as we say that college life is a way to interact with people from all over the country.Overall its a wonderful experience here in the campus. | Gym is the best place to workout and to relief with stress | And as we say that college life is a way to interact with people from all over the country.Overall its a wonderful experience here in the campus.,The transportion from college to metro is the worst thing in the College. | Mess food taste :it is worst at the night i.e dinner
133,Chitkara University - [CU],4.0,Teacher at chitkara are best they help u in every aspect they help you in research and also in projects | Classroom are goods and techniques of faculty to tech student is best. | Teacher at chitkara are best they help u in every aspect they help you in research and also in projects,Food at square one is very bad according to its price | The food iw very bad and the items inside are very expensive.
134,Singhania University,3.5,"I chose this course because of my keen interest in teaching and my dream of being a good teacher so that i can serve the society. | Students get placed in one of the best companies, each student can get 2 3 jobs maximum and every one will get jobs choice. | I chose this course because of my keen interest in teaching and my dream of being a good teacher so that i can serve the society.",Should need to have more campuses in different states of india so that everyone can afford | Need to have travel facility for far away students so they can come join the college
135,Shiv Nadar University - [SNU],4.3,Faculty of the college is very good and they set good quality paper. | Campus life - Campus life is happening and it feels good to wake up every morning and looking forward to a good day ahead. | Faculty of the college is very good and they set good quality paper.,The curfew of entering the campus by 9PM is annoying at times. | Connectivity of the college is not good and cabs are also expensive.
136,Harcourt Butler Technological University - [HBTU],3.8,The auditorium is very best and have capacity of 1000 students | Fest in hbtu is very good celebrity like dharsan raval perform in the college. | The auditorium is very best and have capacity of 1000 students,"The facility is not good, their behavior and nature is so bad. | This is wrong because sometimes the book we want is unavailable in library."
137,Jaipur National University - [JNU],4.1,"College buildings and roads are very good, trees are planted everywhere. | Food of canteen is very good and the timing of canteen is good | College buildings and roads are very good, trees are planted everywhere.",They not give security money on time there office process is very bad | The canteen is bad in nature and the food quality is also bad
138,Integral University,4.1,"Ground is perfect because it helps up to play all the sports like badminton , lawn tennis, football, cricket etc . | Nature of our College is very good and also environment of our college is very good. | Ground is perfect because it helps up to play all the sports like badminton , lawn tennis, football, cricket etc .",Sometime you just got frustrated because they just don't listen some of the department | Security behaviour is not good with students they talk very badly to the students
139,Vellore Institute of Technology - [VIT],4.1,Placement Opportunities: The institution's robust placement cell and industry connections facilitate excellent placement opportunities for students. | Labs - the lab facilities provided at Vit chennai are the best and have every equipment required . | Placement Opportunities: The institution's robust placement cell and industry connections facilitate excellent placement opportunities for students.,"Accmodations and all the foodl outlets inside the campus are very expensive | Some labs are very bad, systems being slow or not working at all"
140,K L University - [KLH],4.0,"The campus college is good and surrounded by good environment no sounds and surrounded by trees | The faculty were good, however when your year increases, their teaching also decreases. | The campus college is good and surrounded by good environment no sounds and surrounded by trees",The road to the college is not good now they are constructing the road. | SPORTS: The management should have provided at least 2 classes per week for refreshment of students.
141,Manav Rachna International Institute of Research and Studies - [MRIIRS],3.9,Teachers are polite and kind hearted and they are beautiful too. | Infrasture is so nice and some teacher are also very nice. | Teachers are polite and kind hearted and they are beautiful too.,Exams happen too often giving less time for any other extra activities and upgrading skills
142,Pandit Deendayal Energy University - [PDEU],4.1,The campus placement is the best thing as you know about 80% of the students get campus placement here. | The library system are awesome within a minute i can find books. | The campus placement is the best thing as you know about 80% of the students get campus placement here.,"Exams are quite tough here but depends upon how to study. | Sometimes, the schedule is very tight for student, having 9-6 class"
143,Alliance University,4.0,"The course curriculum was well-defined, and it increased the anxiety level by making us think about the best way to be persuaded by Alliance University. | The university offers good internship opportunities depending on the specialization one has chosen. | The course curriculum was well-defined, and it increased the anxiety level by making us think about the best way to be persuaded by Alliance University.","The syllabus is not according to the current state of gate. It contains subjects which are very impractical in nature. Overall, the course structure is very bad. | The starting package was 3 lakhs, which was a very small package for a b.tech student. After investing 7-8 lakhs, the return was not 50% of it."
144,"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]",4.2,"The course curriculum is the best and is of great help as it prepares students for industries and markets. | Also, there are lots of startups in incubation, so there is no problem with internships. Many research internships are also provided by the college itself. | The course curriculum is the best and is of great help as it prepares students for industries and markets.",Some faculties are so rude. They don't get liberal with students. | Attendance is very important in my college. College is very serious about attendance.
145,Amity University,4.1,Faculty are very experienced and they treat us like their child | The campus is very beautiful to sit and ador in peace. | Faculty are very experienced and they treat us like their child,"AND ACS ARE ALWAYS BE TURNES ON, THERE IS TOO COLD | Pattern making labs have broken tiles which sometimes hurt one's legs"
146,VIT Bhopal University,3.9,"I would say out of the four campuses of VIT, VIT Bhopal has the best coding environment. | If a student does well in their academics, they provide the best opportunities | I would say out of the four campuses of VIT, VIT Bhopal has the best coding environment.",The response time of dws of our college is also very bad | The chief warden wouldnt permit you to go out if you have a bad impression in front of him; he is the biggest fool in the world.
147,Acharya Institute of Technology - [AIT],4.1,"And my Hod , one of the best and talented person I've seen. | Faculty is very friendly and give us a very good knowledge | And my Hod , one of the best and talented person I've seen.",No hostel inside the campus which is the worst thing for a hosteller
148,MVJ College of Engineering - [MVJCE],3.6,"My course is very good. It is well disciplined with lots of technologies and an upgraded system in the course. Seventy-five percent of the course is based on practical and lab research. | There are some good internship opportunities in IT, as well as in some government organizations that offer them. | My course is very good. It is well disciplined with lots of technologies and an upgraded system in the course. Seventy-five percent of the course is based on practical and lab research.","We were not offered any internship program in any organization, nor did any company visit our college in this regard. | If the student has individual skills in the campus drive, they got placed. However, the other poor students didnt even get a chance of placement from the college, and we didnt get any opportunity."
149,DIT University - [DIT],3.9,One of the best think i like is weather and college location | Faculty is too good and very experienced teachers and very supportive | One of the best think i like is weather and college location,"The quality of the food served in hostels is really, really bad | Mess is very bad you can't eat food here ,I was admitted in the hospital because of their food"
150,Bharath University - Bharath Institute of Higher Education and Research - [BIHER],3.8,The college friends and faculty cooperation is great and the nature in the college is delightful. | The thing's I liked is it had best faculty in college. | The college friends and faculty cooperation is great and the nature in the college is delightful.,"They not conduct events and fest in college.it is one of bad thing. | Administrative Processes: Tedious or inefficient administrative processes for tasks like registration, fee payments, or obtaining transcripts."
151,GLA University,4.2,Infrastructure of hostel like wings which are best hostel and there is also cleanliness | I like faculty behaviour infrastructure and study material and best study | Infrastructure of hostel like wings which are best hostel and there is also cleanliness,Attendance structure is so worst and 75 percentage attendance is mandatory | In gla university attendence criteria is very bad you should have to maintain 75 percent attendence
152,J.S. University - [JSU],3.1,"After completing our BSc degree, we are eligible to write IAS, SSC, Air Force, teaching, and many other government exams. | Not yet, but there are a number of companies that offer internships with a certain stipend. | After completing our BSc degree, we are eligible to write IAS, SSC, Air Force, teaching, and many other government exams.","The seriousness of the study depended on the teachers, and there was also a lack of extracurricular activities"
153,Amity University,4.1,"It has the best facility. The faculties are very intelligent and highly qualified, friendly. All subjects mainly focus on making a professional businessman. | As of now, there are many companies that will offer you a stipend, but it is entirely based on your skills. You need to have a good CV and practical knowledge, which the university provides at a very good level. | It has the best facility. The faculties are very intelligent and highly qualified, friendly. All subjects mainly focus on making a professional businessman.",The fact that the ACs and lifts would rarely work | The administration was very bad as in the last year we barely had proper classes due to lack of teachers
154,NIMS University,4.3,The tearcher is very good and teaching methods is very good | I like in inims university is that this campus is very beautiful infrastructure is too good and my hostel is too good so I like this | The tearcher is very good and teaching methods is very good,Management and managing technique of student and faculty is worst don't know how to manage things | Management is very poor and need alot of improvement in every aspect
155,"Vels Institute of Science, Technology & Advanced Studies",3.9,My college is the best college in the India .. provided all courses engineer | The placement and job opportunities in our college is very excellent. | My college is the best college in the India .. provided all courses engineer,This is the worst part of the reviews as there were no internships | Fees for hostels are very expensive and food is not good .
156,Techno India University,3.7,"Our best has one of the best infrastructure thoughtout the kolkata. | One of the best faculties i got to expeirence in college life, | Our best has one of the best infrastructure thoughtout the kolkata.",I don't like the canteen food biryani is so bad but I like the tea of canteen you can have it | The library area is very small and it is very suffocating
157,Vishwakarma Institute of Technology,3.9,"The college placement are also very good compared to others and hence give us a great start to college | Job assuring college, it will always be good to know that the college placements are awesome | The college placement are also very good compared to others and hence give us a great start to college",No support for sports to the students as very small campus. | Timings are not good it contains long break after any lectures
158,JECRC University - [JU],4.1,Faculty - faculty is well-maintained and they all a excellent in every aspect | College fests are one of the greatest highlight of the University. | Faculty - faculty is well-maintained and they all a excellent in every aspect,Condition of all Labs are very worst especillay Cmputer Labs . | The facilities are egoistic rather than being helpful not all the facilities
159,Birla Institute of Technology and Science - [BITS],4.5,"The food quality and availibilty at any time of the day is ver good | Campus Life is amazing, there is zero percent attendance.there is everything available at campus and Hyderabad City is nearby. | The food quality and availibilty at any time of the day is ver good",Staying up late night for the completion of work by seniors | Some of the courses are completely redundant and should not be compulsory for all the students
160,NIST University,3.9,The clubs activities in the orientation day n foundation day was awesome in our college. | The library facility is this college is very good they provide lots of books and journal | The clubs activities in the orientation day n foundation day was awesome in our college.,The food in cafeteria is very bad the quality of food and the quality of metal provided there is worst | Water availability in hostel is very bad sometime we dont get water
161,Silicon University,3.9,We have the college placed on the Patia hills so we get a best of the scenery | Hostel Life is very good food is also good up to mark mark... | We have the college placed on the Patia hills so we get a best of the scenery,No wifi in the hostel which is a very annoying thing. | The security guards and the support staffs are very rude and not co-operate.
162,Centurion University of Technology and Management - [CUTM],4.1,The campus has beautiful scenery as this is a village area. | Faculties are very good in this campus they are very helpful. | The campus has beautiful scenery as this is a village area.,"There is some faculty who always threaten you by ""saying i will fail you"" | On very small mistakes they impose fines this is what i dislike."
163,Sanskriti University - [SU],3.8,The architecture it is a very good and attractive it looks so amazing and there is separated another campus too of that University so yah I like to visit it | Facilities are very good and all the faculty members are supportive | The architecture it is a very good and attractive it looks so amazing and there is separated another campus too of that University so yah I like to visit it,Behaviour of some local students is not good the give abuses in campus. | Fines are so high if you found guilty in any matter
164,Adamas University,3.8,"The Library is an excellent place to study with books on variety of subjects. | Food facilities are good in collegeOur college have CCD,buskins Robbins, Nescafe | The Library is an excellent place to study with books on variety of subjects.",The library section of our collect where it is very hard to access the books and other test papers. | Some of the students are really very competitive and jealous which makes it very difficult to cooperate sometimes.
165,Ganpat University - [GUNI],4.3,Faculty was awesome they also create great atmosphere for the students | All about the college is good lots of trees also there | Faculty was awesome they also create great atmosphere for the students,There are lots of computer wes slow as per my speed. | Sports equipment are so less that we had to share a lot
166,CEPT University,4.1,"The transport faculties have already done tremendous work in the sector and are still in progress. | Speaking to seniors, I have come to know that internships are truly a great help in the design field. | The transport faculties have already done tremendous work in the sector and are still in progress.","There is nothing to be disliked much it's a good college | The sports facilities should have been more, but that doesn't not matter with the amount of studies required"
167,Birla Institute of Technology and Science - [BITS],4.3,"This course is the best course, and the package at the end is the maximum in computer science. | Yes, an internship is good; they have the choice to choose from a list of 300+ companies. | This course is the best course, and the package at the end is the maximum in computer science.","Fees increase by 15% each year, which is not good for economically weaker students. The merit scholarship amount is also less, and income verification should improve as well, as some people take advantage of that. | We learn a lot about different cultures from them. There is no discrimination whatsoever. No one is taunted for being of a minor religion, caste, or background. Everyone here is equal. Though there can be discrimination based on CGPA, which can be annoying sometimes."
168,Mahatma Gandhi Institute of Technology - [MGIT],3.9,Campus life at our college is one of the best life that you gonna experience | Faculty are very good they teach according to the students understanding level. | Campus life at our college is one of the best life that you gonna experience,Cricket ground is not really good it is also used as basketball court. | Cricket ground is not good it is also used for foodball ground.
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],4.0,As per discipline and method of teaching best college in vijayawada | One of the best clg in vijayawada when it comes to placements | As per discipline and method of teaching best college in vijayawada,Also bus fecility is too bad there are no lot of buses at my college | The rules are very weird in the college and i sont like it
170,RKDF University,3.8,"That i have been more fond of computers since childhood, so i preferred to do bachelor of engineering (cse) after twelfth. | Nice job facility's in the passing out student in my college campus coming every 4 month and taking the high percentage student in thir companys any students going to other countries to job of many campus | That i have been more fond of computers since childhood, so i preferred to do bachelor of engineering (cse) after twelfth.",The placement services was not upto mark. Mostly you'll get local companies coming for placement processes. The sports facilities were very good but students lack in education processes. | The faculties help you in every thing which is possible. The college is in outer of bhopal so outside facilities are not very good there.
171,SunRise University - [SRU],3.8,Teachers are well educated and student friendly. All teachers teaches well. | College infrastructure are also good in terms of studying.,Canteen are not good and the food taste is very bad . Even food prepared are unhygienic. | Not giving proper information about fees of course.
172,Uttaranchal University,3.8,We like our cafeteria in the college which serve very good food to us | The amount of support one student need in his study was great from teacher side | We like our cafeteria in the college which serve very good food to us,I dislike the students who do unnecessary activities in the college . | The thing i disliked is dress code we have to be formal every day we cannot cone in casual to the university
173,OPJS University,3.8,no pros found,no cons found
174,"PDM University, Bahadurgarh",3.4,"The best course curriculum with the best teachers. The teachers are helpful and very knowledgeable, providing all kinds of information, including market demand for students and the qualities needed to be market-ready freshers. | Many companies come for internships and offer different profiles, such as software engineer, support engineer, business development profile, and many more. | The best course curriculum with the best teachers. The teachers are helpful and very knowledgeable, providing all kinds of information, including market demand for students and the qualities needed to be market-ready freshers.","Thats mainly due to backlogs not cleared by students and very few companies being called by the college. | The library is big, but no one comes for actual study; students come there only for gossip and PUBG."
175,Centurion University of Technology and Management - [CUTM],3.9,College atmosphere will be pleasant and peaceful | College infrastructure is well organized | College infrastructure and environment is good and pleasant,Exams system are not good and pass percentage is being decreased | No artificial intelligence in this college only machine learning is avaialable
176,RKDF University,3.4,College campus is good professor are qualified | College campus is very nice I like it soo much | I liked in collage placement percentage because the chances of placement is higher in our collage,The transport system of our collage is poor | Class size is small not in perfect size I didn't like the size of class
177,MLR Institute of Technology - [MLRIT],4.1,And the is no ragging in our college that is the best part in our college. | And the faculty members are also very good at teaching and helping students to overcome fear in learning | And the is no ragging in our college that is the best part in our college.,"Exams, the structure of exam is bad since there are some unimportant subjects included | If student failed to attend college then he is not allowed to write exam"
178,BML Munjal University - [BMU],4.1,"The course structure is not perfect, but changes are being made to ensure that we receive the best from the university. | My seniors said that it was a great experience to participate in working with startups and companies. | The course structure is not perfect, but changes are being made to ensure that we receive the best from the university.","Other students are made to sit in some of the CS companies, naming them as non-tech, and telling us that they got placed because they are literate while we didnt"
179,Shoolini University,4.3,Night vibe is the best in university and u can have alot og good food | As food there is so delicious and the workers are also kind. | Night vibe is the best in university and u can have alot og good food,Hostel services are worst and pathetic especially food and laundry service along with rooms too. | The weather of this area is too cold and you can face landslides and all
180,Banasthali Vidyapith,4.2,Course is always updated.syllabus is completed before a month from exams for preparation and the faculities always provided us with notes that will help us lot for exams.faculities are doing there best even in the pandemic to provide us the best educ | The facility member and the staff member of the college of the best | Course is always updated.syllabus is completed before a month from exams for preparation and the faculities always provided us with notes that will help us lot for exams.faculities are doing there best even in the pandemic to provide us the best educ,"We also have to apply by ourselves for the job or internship that feel bad sometimes. | Mess food and management, class size and poor insects prevention management"
181,Amity University,4.0,Hostel infrastructure is good and because of flats students also get privacy | The security system of campus is good as it is well equipped with cameras. | Hostel infrastructure is good and because of flats students also get privacy,"The university is too bug so walking from one place to another by legs is very difficult | Sometimes Mess food is not good, so we have to eat somewhere else like restaurants"
182,CMR University - [CMRU],3.7,The faculties are best because most of them are from NLUs. | Placement at this university is excellent and offers the best package | The faculties are best because most of them are from NLUs.,The placement cell is very active and they head is also very slow. | No events are conducted like feasts from the past 3 to 4 years
183,Bangalore Institute of Technology - [BIT],3.8,Teachers student relationship is very good as well as faculty teaches well | The environment around the college and the crowd is very good here. | Teachers student relationship is very good as well as faculty teaches well,The attendance issue is so prevalent i am so sick of it | The campus life is just nothing here no ground at all to play on just two random buildings.
184,Poornima University - [PU],4.0,All the faculities are well behaved and there teaching method is very great | For personality development the segc class are held which is best things. | All the faculities are well behaved and there teaching method is very great,Uniform system is too boring and they cut attendance for not in uniform | For dislike I have nothing but I'm disappointed by it's hostel facility
185,Sikkim Manipal University - [SMU],4.0,"Best for those looking for work and learning opportunities. It is interesting and covers the important topics at its best. | During the final years of graduation, the college attracts good companies for placements, and students with good scores are offered good internship opportunities. | Best for those looking for work and learning opportunities. It is interesting and covers the important topics at its best.",Internship experience is very bad. There are no companies that come to the college during my course. | The company is visiting our campus because our college does not provide any placements due to the distance from the college.
186,Monad University,3.9,I like Teaching methods of Faculty and Staff behaviour | Infrastructure is Best in respective college | Surrounding and pleasent atmosphere with location,Cafeteria and stationary is very costly.
187,Graphic Era University - [GEU],4.1,"Campus Life is one of the best thing here, surroundings are very good. | Behaviour of teachers is very good if u are a dedicated student. | Campus Life is one of the best thing here, surroundings are very good.","Time table is very bad we don't get any time to self improvement. | Placement facility is very poor, Do not expect any core company placements from this campus."
188,Chandigarh Group of Colleges - [CGC] Landran,4.0,The placement of College in any course and the placement day celebration of college is just awesome. | The infrastructure of the college is well impressive and around 12 blocks in the college | The placement of College in any course and the placement day celebration of college is just awesome.,Hostel because mesh food and hostel restrictions are really very bad. | 75% attendance rule which is very bad and put up pressure on students
189,Mody University,4.3,"The bond between faculty and students is very good on our campus. We can share our every problem with them, and they never decline that. | Internships are provided in the USA, France, Geneva, Canada, and Switzerland by the college to bright students. | The bond between faculty and students is very good on our campus. We can share our every problem with them, and they never decline that.",The sports opportunities is very less so are the coaches | The mess food on some days is not perfect
190,Brainware University,4.1,University placement is best that why we all students are focus on our goal | The food in the brainware university canteen is very good hare hygiene is always maintained | University placement is best that why we all students are focus on our goal,College timing is worst you won't get time for self study | Placement and there was no AC's in classrooms so in summer it used to feel very uncomfortable
191,Institute Technology & Management - [ITM],3.9,Extracurricular opportunities are good here. | There are multiple clubs you could join. | In my college the teaching staff is bit good they provide all the notes and writing material to the students so it is you for the students in the exams to study,There could be better classroom facilities | More holidays should be given so that the students may learn new technologies
192,Sandip University,4.2,The campus size is very much Big about 125 acers. | It is the Ranked one private university in Bihar. | The infrastructure of university is good.,"The food of Canteen, totally worst and unhygienic. | There is no nearby place for shopping we have to go 25 K.M away from Collage"
193,Malla Reddy Engineering College - [MREC],3.7,The teaching and the circulum and the friend and the atmosphere is very good | It was very good and great experience that I have experienced at malla Reddy engineering college | The teaching and the circulum and the friend and the atmosphere is very good,The security guard here are the worst they will behave as the faculty. | Some faculty are bad not all just some faculty was west in our college
194,Amity University,3.8,"CSE is what everyone dreams about, and so the faculty members are also very good and supportive. | It was a good experience, and I gained work knowledge and also had a good experience. | CSE is what everyone dreams about, and so the faculty members are also very good and supportive.",One thing that I dislike about this college is that their lesson number of opportunities that you get to go outside where you actually performed a part from clap then or any official trips that are held or any if you go into any competition or someth | Another thing that I dislike about this college is the crowd if you are a person who cannot handle proper Haryanvi glucent people and those who get into height but very mind and inconvenience and I don't think that can the college for you because peo
195,Shobhit University,4.2,Campus is good and provides you lab facility day scholor and hostelers for 5 pm to 8 pm | There are many good teachers in our college who helps us | Campus is good and provides you lab facility day scholor and hostelers for 5 pm to 8 pm,The mess food is not good but only have it for survival. | The food at mess is unhygienic and not worth the amount.
196,Sri Sri University - [SSU],3.6,"All faculty members are Ph.D. scholars and possess good communication skills. One semester lasts for 6 months and within that timeframe, there is one midterm exam and another practical exam. All the questions are based on your syllabus. | My college is proactive in providing the appropriate internship to the suitable candidate based on their skills and abilities. | All faculty members are Ph.D. scholars and possess good communication skills. One semester lasts for 6 months and within that timeframe, there is one midterm exam and another practical exam. All the questions are based on your syllabus.","For civil engineering, you can join an open campus in Nasik or any other college. After taking some exams and completing the required processes, you will be selected. | They are all very bad. They dont provide proper activities. As I said above, they only and only need money as their stupid and idiotic fines"
197,Garden City University - [GCU],3.9,"My opinion is that the course has a very good, well-experienced lecturer who teaches everything. The exam structure is also nice in the exam hall. | I cant tell about the experience because I havent done my internship yet, but what I have heard is that the experience was really good and fun for them. | My opinion is that the course has a very good, well-experienced lecturer who teaches everything. The exam structure is also nice in the exam hall.","I am studying myself with an education loan, and the college provides it. They can be a little flexible if youre having any issues, but you need a letter from the bank for that"
198,Madras Institute of Technology- [MIT],4.1,"With IT jobs having more vacancies in the current situation, I would prefer students to take the course. | The college provides a fair stipend of 24,000 for Ph.D. scholars, and the experience gained is worth a million. Our college provides us with a variety of internships. MIT is an ocean of internships. | With IT jobs having more vacancies in the current situation, I would prefer students to take the course.","That offers a monthly GATE stipend of 12400 for two years, the fee structure is very low compared to others, approximately 9000 each semester. | Dont you know about the life of engineering students now? How the hell do I know these things? Im studying in my third year, just for 50 freaking rupees. Im wasting my time. Im poor, thats why Im doing this kind of stuff."
199,Malla Reddy College of Engineering - [MRCE],3.8,Best library I have seen lot of books are their in our library. | I like the faculty members the way are teaching is so good. | Best library I have seen lot of books are their in our library.,"There is lack of faculty members , so there is inconvenient in timetables. | The canteen is very small which is inconvenient for the students at the time of lunch."
200,Indus University,3.9,I chose CSE because I believed it might be the most suitable course to pursue at a time when everything revolves around technology. | College encourages students to take up internships; the faculty is supportive and helps you in every possible way. | I chose CSE because I believed it might be the most suitable course to pursue at a time when everything revolves around technology.,"Based on the academic structure, academic fees, professors mood, and their teaching criteria, as well as the education level of the professors and their focus on only brilliant students, external answer sheet checking. | The placement base of Indus University is very poor because not many companies are coming and the standard of companies is also low"
201,Academy of Maritime Education and Training University - [AMET],3.9,"The marine engineering course will enable you to become a chief engineer in merchant navy ships, and the practical studies were really good. We can learn a lot from them. | If you maintain a good GPA and a good percentage of attendance, then no one can stop you from getting an internship and subsequently getting a placement. | The marine engineering course will enable you to become a chief engineer in merchant navy ships, and the practical studies were really good. We can learn a lot from them.","I have been sent for internship to the companies where I went for internships, namely Hindustan Shipyard Limited and Cochin Shipyard Limited. | The mess is not up to the mark as the burden of strength once again causes chaos due to time restrictions"
202,IFTM University,4.0,"i really like the campus of my college, it is really big. it also has a very beautiful temple , beautiful gardens, a farm field in which students studying agriculture can do experiments.the college is connected with main highway which ease transport | the teachers here are very good and supportive specially female faculty, they really like interacting with you and answering your questions. you can connect with them on phone in any problem and most them will help you solving it | The staff is definitely supportive and kind.",i don't like the college transportation facility even though its free but still it is very frustrating first of all most of buses are too much crowded and jam packed that you will get a seat to sit only once in a blue moon | the timings of buses is not cordinated with classes timings means even though your classes are finished at 2:50 pm but the buses will start going home from 5 pm no matter how many students are waiting because the university closes at 5pm
203,Marwadi University - [MU],4.2,Infrastructure : Here it has one of the best infrastructure in all over saurashtra | It create and excellent envirornent in both study and hostel rooms. | Infrastructure : Here it has one of the best infrastructure in all over saurashtra,Hostel food is little beat not good compare to our food. | Campus is little small .the size of campus is 32 acre
204,Glocal University,3.9,I liked it's environment which makes you feel comfortable. | The teachers are well and highly educated. | The college campus is so big and all the facilities are available,I didn't liked it's cafeteria as it doesn't have good food. | I didn't liked sports facilities and tournaments.
205,Indraprastha Institute of Technology and Management - [IITM],4.1,They will also provide an excellent opportunity for students to experience the skills in every field. | College gives us excellent opportunities to participate in placements and provides a good stipend. | They will also provide an excellent opportunity for students to experience the skills in every field.,Management was not good they take a lot of time to respond. | You need to go to different locations to give the exams.
206,SAGE University,4.0,The college is really very good collage haven't I seen before | The campus life is awesome in our college its kind of vibe | The college is really very good collage haven't I seen before,"Network issue is very common in the collage campus though to make calls | Management is sort of poor, you need to go through multiple processes for even small things."
207,YBN University - [YBN],4.2,Food facilities of canteen and price is also very affordable | Sports section of our college is best because it have almost all indoor and outdoor games | Daily lab practice and working experience,no cons found
208,RIMT University,3.4,"I receive CA coaching from the best career institute in Ludhiana, and their staff is very good. | It was also a good experience to work there as a site engineer, and I gained practical field knowledge from there. | I receive CA coaching from the best career institute in Ludhiana, and their staff is very good.","At one time in the past, there used to be some placements, but in 2012, there was no such thing provided. | Sometimes, when I change my university, the college or management provides bad manners."
209,AMC Engineering College - [AMC],3.7,The infrastructure of the college is very good and well maintained. | The students in the college I will make sure and from the good background so study environment is also very good | The infrastructure of the college is very good and well maintained.,Fans are not there in the hostel and washrooms are dirty. | Canteen facilities are very poor and there is need of improvement in the headsport
210,Aditya Engineering College - [AEC],4.0,I like my college because of college maintaince is very beautiful. | Faculty was too give best in the india you will get | I like my college because of college maintaince is very beautiful.,Hostel food should be improved.The hostel mess food is really horrible. | Timings of our college is not good which is like timing for inter colleges
211,Maharaja Agrasen Institute of Technology - [MAIT],3.8,Excellent support and opportunities by the CDC department for the students | The best thing about the college is the affordable tution fees | Excellent support and opportunities by the CDC department for the students,I would not count it as a bad thing but considering the number of students and reputation. | The sports facility is veys bad as nothing is provided by the college.
212,Maharaja Surajmal Institute of Technology - [MSIT],3.7,"Faculty at msit, is well educated and best at their job of teaching, almost all the teachers are experience holders, teaching at msit. | Best thing about college is that it has best location comparitively to all college in GGSIPU | Faculty at msit, is well educated and best at their job of teaching, almost all the teachers are experience holders, teaching at msit.","College canteen , the food is awful never eat from there | They keep having attendence compilations which always makes is very difficult for the students to call their parents."
213,Panimalar Engineering College,4.1,I like our college food chennai best college food was given by our college. | Good entertainment Good to learn cab facilities are good canteen and hostel facilities are good | I like our college food chennai best college food was given by our college.,"I am disappointed by the unequal treatment of students by faculty, as some students receive preferential treatment over others based on perceived social status or other factors."
214,MATS University,3.8,"The course curriculum is excellent and is in accordance with the syllabus, which helps in participating in exams like IIT JEE, BITSAT, CAT entrance examinations, interviews, or admission processes. | My college is one of the best colleges in India and is famous for its practical learning and quality education. | The course curriculum is excellent and is in accordance with the syllabus, which helps in participating in exams like IIT JEE, BITSAT, CAT entrance examinations, interviews, or admission processes.","I like this subject. The faulty ratio is very poor. I dont know, but the teaching method is okay. | Our college does not have any placement tie-ups with companies that came to campus. They also do not mention companies or packages, so its very poor."
215,Suresh Gyan Vihar University - [SGVU],3.6,University infrastructure is very attractive there are fully ac building in campus and lecture theatre | Academics - the curriculum was industry oriented and i got excellent exposure to the latest technologies . | University infrastructure is very attractive there are fully ac building in campus and lecture theatre,There is nothing to dislike in my college | There is also ragging free campus.
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],3.6,Prist university is deemed to be a university which is approved by ugc and accredited by NACC. | Prist university they had 85 cours in average fees. | There no ragging policy,"Its a core infrastructure and the no importants in sports. | No cultural program, dont encourage in any events"
217,Invertis University,4.2,The hostel facility is best in this university i give 10 out of 10 | Everything is well good and best with great environment.. discipline rules and regulations. | The hostel facility is best in this university i give 10 out of 10,75% attendance so to maintaining that we have to go to the college everyday. | Uniform is not cool as per students they use to tell wear uniform as like school.
218,Acropolis Institute of Technology & Research - [AITR],3.8,Startup and innovation labs are awesome and we explore block chain technology. | Cricket ground canteen is also very good provide hygienic food to the students faculty is also very good always help student | Startup and innovation labs are awesome and we explore block chain technology.,"Since when i joined the college, the college had completed merely 3 years, so the practical knowledge was on a lower side at that time. | The college canteen is the worst place which charges very high."
219,Quantum University,3.7,Campus life and the clubs as well as festivals like Annual fest of quantum is Dharohar which is also very good. | Its about our college management it is very good in discipline | Campus life and the clubs as well as festivals like Annual fest of quantum is Dharohar which is also very good.,Lots of students come from bihar make very dirty environment in the college. | Weather is too cold like during winter temp fall below 6 degrees
220,SAGE University,3.9,The way of teaching of faculty very good we understan all that we explain. | THE CAMPUS CULTURE WAS SO GOOD AND IT WAS SO PERFECT FOR STUDENT. | The way of teaching of faculty very good we understan all that we explain.,The campus of the collage is too bad there is no cleaningness. | And bus service are too late because of traffic and don't like.
221,Model Institute of Engineering and Technology - [MIET],3.9,"The course curriculum is strictly followed and timely updated by the faculty through Google Classroom, which is a very good off-class communication medium between the teacher and the students. | Yes, Model Institute of Engineering and Technology (MIET) in Jammu provides internships for 4th year students and also offers great opportunities for freshers. | The course curriculum is strictly followed and timely updated by the faculty through Google Classroom, which is a very good off-class communication medium between the teacher and the students.","Yes, everything is in proper order, except there was a fake placement drive due to an irresponsible placement coordinator. | I did an internship at HCL without a stipend. In fact, we had to pay 20000 to HCL. However, it was the worst experience Ive had during an internship."
