Serial No.,College Name,Info
82,B. N. M. Institute of Technology - [BNMIT],"Bhageerathi Bai Narayana Rao Maanay Institute of Technology (BNMIT) located in Bangalore. It was established in 2001 with an aim to impart education in the technical field of study through its various degree programs. BNMIT Bangalore offers 5 undergraduate programs in Engineering, 3 postgraduate programs in Technology, 1 postgraduate program in Management and doctoral/research programs in Science, Engineering and Management. | Admissions to B.E. programs require students to pass in high school with 45% in PCM or other optional subjects. Selections depend upon the student’s ranking in either COMED-K or KCET for admissions. M.Tech program admission at BNMIT Bangalore requires students to be GATE qualified or KPGCET qualified with a relevant field of study in bachelor’s and higher second class division."
83,KLE Technological University,"KLE Technological University is a private university, located in Hubli, Karnataka. The university was founded in 1948, offering courses in the field of Engineering, Technology, Computer Science, Business, Architecture etc, at the undergraduate and postgraduate level. In addition with UG and PG level courses, the university provides research based Ph.D programmes. | The courses offered by the university are : At UG level- B.E, B.Arch and B.E."
84,RMK Engineering College - [RMKEC],"RMK Engineering College is a private engineering college situated in Thiruvallur, Tamil Nadu, India. The college is associated with Anna University, Chennai, and authorized by All India Council for Technical Education(AICTE) and National Board of Accreditation(NBA). It is a Telugu minority establishment. | RMKEC offers various educational programs at the undergraduate, postgraduate and doctoral level focusing on the field of Engineering and Technology."
85,MIT World Peace University - [MIT-WPU],"MIT-WPU Pune offers admission to various UG, PG, Diploma, and Ph.D. courses in the field of Engineering, Management, Design, Law, Health Sciences, Liberal Arts, and many others. MIT-WPU Pune Admission to the majority of the courses is based on an entrance exam followed by a Personal Interaction. MIT WPU Pune accepts national-level and state-level entrance exams such as JEE, GATE, CAT, MAT, NMAT, GMAT, and MHT-CET for admission to various UG and PG courses. MIT-WPU Pune also conducts its common entrance test (MIT-WPU CET) for admission to a few courses. B.Tech, MBA, and M.Tech are the flagship courses at MIT World Peace University."
86,Vishwakarma Institute of Information Technology - [VIIT],"VIIT Pune offers admission to B.Tech, B.Tech (Lateral), M.Tech and Ph.D. programs. Admission to the B.Tech program is based on JEE Main and MHT-CET scores whereas admission to M.Tech is based on GATE Scores. VIIT Pune's Ph.D. Admission is based on merit in the written exam conducted by the institute followed by an interview round. | For B.Tech admission, 85% of seats are reserved for Maharashtra state candidates through MHT CET, while the remaining 15% of seats are filled by All India candidates via the JEE Main scores. Candidates are offered admission through the state-level counselling process."
87,Anurag University,"Anurag University Admission 2024 is open via valid scores in Anurag CET, TS EAMCET, JEE-Main, TS PGECET, GATE, TSICET, UGC-NET, SET-TS etc. depending upon the course opted. 25% of seats for admissions in all the programs undertaken by the University shall be exclusively reserved for the students, who studied for at least two years in the State of Telangana. Further, children whose parent/parents born or worked at least for two years in the State of Telangana shall be treated as students of Telangana for this purpose provided that the vacant seats shall be open to General Category. | B.Tech, B.Pharma & MBA are the most opted courses at Anurag University. Admission to B.Tech & B.Pharma courses is based on TSEAMCET scores whereas for MBA, it accepts TS ICET scores, Additionally, the university also accepts Anurag CET/ JEE-Main/ Uni-GAUGE for B.Tech Admission."
88,Narula Institute of Technology - [NIT Agarpara],"Narula Institute of Technology, Agarpara offers a 4-years long B.Tech program under 11 specializations including, Computer Science and Engineering, Information Technology, Electronics and Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering and Electronics and Instrumentation Engineering. Admission to the program is offered on the basis of the scores obtained by a candidate in the WBJEE entrance exam. Candidates are offered admission seats to the B.Tech program after they successfully clear the counseling program and pay the preliminary admission fees."
89,PES College of Engineering - [PESCE],"PESCE Mandya offers UG, PG, and Doctoral programs under various specializations. B.E is the flagship program of PESCE Mandya  with cutoff ranking upto 30000 for KCET exam. Candidates who wish to apply for the program are required to appear in the Karnataka CET entrance examination and COMED-K for the outside Karnataka candidates. | PESCE Mandya is currently inviting candidates for admission to the B.E courses under the management quota. Interested candidates can apply online by visiting the official website of the college."
90,Sree Vidyanikethan Engineering College - [SVEC],"Sree Vidyanikethan Engineering College is an AICTE approved college affiliated to Jawaharlal Nehru Technological University, Anantapur. The college was established by by Sree Vidyanikethan Educational Trust and is situated 16 km from the famous town of Tirupati.
At present, Sree Vidyanikethan Engineering College offers B.Tech programmes in 9 specializations, M.Tech course in 8 specializations along with Master of Computer Applications (MCA). In addition to it, the university also offers several Diploma courses in certain specializations including Mechanical, Civil, Electronics and Communication Engineering.
Key Points regarding Admission:"
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",no data found
92,Vasavi College of Engineering,"Vasavi College of Engineering (VCE) is a self-financed technical institution located in Ibrahimbagh, Hyderabad, India. The institution is affiliated to Osmania University, Hyderabad. Founded in 1981 by the Vasavi Academy of Education, it is accredited by the National Board of Accreditation. | The college offers B.E and M.E degrees in seven disciplines of engineering. The college admits the candidates to various courses through various state level entrance tests. Admission to the B.E programme is done through EAMCET. The admissions for the ME programme is through the Graduate Aptitude Test in Engineering (GATE) and admission to the MCA course is given to the candidates through ICET. BE (Hons) admission is based on merit secured in BE programme."
93,CMR Institute of Technology - [CMRIT],"CMR Institute of Technology (CMRIT) is a private institution which is located in the city of Bangalore, India. The college is affiliated to Visvesvaraya Technical University (VTU) and is approved by the All India Council for Technical Education (AICTE), New Delhi. National Assessment and Accreditation Council (NAAC) has given the institute an A grade certification. CMR Institute of Technology offers a wide variety of courses at the undergraduate, postgraduate and doctoral levels, specializing mainly in Engineering and Technology."
94,G. Pulla Reddy Engineering College - [GPREC],"G. Pulla Reddy Engineering College (GPREC), established in 1985 is located in Kurnool, Andhra Pradesh. It is affiliated to Jawaharlal Nehru Technological University (JNTUA), Anantapur. The college is recognized by University Grants Commission (UGC) and is approved by the All India Council for Technical Education (AICTE). | 2.1 Eligibility Criteria"
95,Haldia Institute of Technology - [HIT],"Haldia Institute of Technology is the first institute established in West Bengal in the year 1996 and is approved by the All India Council for Technical Education (AICTE). It is an institute of ICARE.  The college is affiliated to the Maulana Abul Kalam Azad University of Technology (MAKAUT) and it is accredited to National Assessment and Accreditation (NAAC)  with an “A” grade. Among all the engineering colleges in the country, the National Institute of Ranking Framework (NIRF) has ranked the institute 174. There are five Haldia Institute of Technology schools. | HIT College ensures to give 100% placement assistance and guidance so that their students are placed in their desired companies. Wipro, Infosys, Nestle, Cognizant, BJYU’S are some of the leading brands hiring of HIT college."
96,Ramrao Adik Institute of Technology - [RAIT],"Ramrao Adik Institute of Technology (RAIT), located at Navi Mumbai is one of the campuses of DY Patil VIdyapeeth University. RAIT was established in 1983 and is affiliated to Mumbai University."
97,Sri Venkateswara College of Engineering and Technology - [SVCET],"Sri Venkateswara College of Engineering and Technology (SVCET) is located in Chittoor, Andhra Pradesh. The college was established in the 1998 and is is affiliated to Jawaharlal Nehru Technological University, Anantapur (JNTUA).
At the undergraduate level, the college offers B.Tech and Diploma courses. At the PG level, SVCET Chittoor offers MBA, M.Tech and MCA courses. MCA is also offered in Lateral Entry. Additionally, the college also offers dual degree courses in Master of Applied Management and Computer Application. | Read More: SVCET Chittor Fees Structure"
98,The National Institute of Engineering - [NIE],"National Institute of Engineering, Mysore is a pioneer institute in the country, having started in 1946. At present, the institute offers undergraduate and postgraduate level programs which includes B.E., M.Tech. and MCA. National Institute of Engineering, Mysore also offers Ph.D. and M.Sc (Engineering) by Research."
99,North Eastern Regional Institute of Science and Technology - [NERIST],"NERIST admission is entrance-based followed by the counselling conducted by the institute itself. The institute conducts NEE entrance exams for admission to certificate and undergraduate programs including B.Tech, B.Tech (Lateral) and B.Sc (Forestry), and Technology Certificate courses. The NERIST application process is conducted in online mode. However, the NERIST entrance exam takes place in offline mode at 16 different centres across North Eastern states. | NERIST has reserved 80% of seats under all courses for North East candidates from Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim and Tripura. 10% of seats are reserved for each state. The institute has also reserved 10% of seats for All India candidates."
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC) is the first self-funded Engineering College in the composite state of Andhra Pradesh founded in the year 1977 and leading the private college to advance PG Programmes in engineering in Andhra Pradesh in the year 1998. The institute was commissioned by NAAC with ‘A’ grade in 2013. OutLook, DataQuest, Competitive Success Review, Careers 360 and Higher Education Review, etc. have considered VRSEC as one of the Best Engineering Colleges in the Country by National Survey companies. Velagapudi Ramakrishna Siddhartha Engineering College (VRSEC) mainly focuses in the field of Engineering and Technology by offering UG and PG courses to the candidates wishing and searching their career in the concerned field."
101,Dr. Mahalingam College of Engineering & Technology - [MCET],"Dr. Mahalingam College of Engineering & Technology (MCET) was established in 1998. It is an Autonomous institute which affiliated to Anna University. It offers B.E/B.Tech, ME and MCA courses in various specializations along with the Ph.D. programs."
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],Gokaraju Rangaraju Institute of Engineering and Technology (GRIET) offers UG and PG courses in numerous specializations. It offers B. Tech and M. Tech programme. Candidate can apply to this Institute online. Admission in the courses are based on Entrance Examination.
103,Kakatiya Institute of Technology & Science - [KITSW],"Kakatiya Institute of Technology & Science (KITSW), established in 1980, is a private engineering college in the Warangal, Telangana. It offers admission in various B.Tech, M.Tech, and MBA degree."
104,Shri Vishnu Engineering College for Women - [SVECW],"Shri Vishnu Engineering College for Women (SVECW) is a privately held autonomous college affiliated to Jawaharlal Nehru Technological University (JNTU), Kakinada. The college was set up at Bhimavaram in 2001 by Shri Vishnu Educational Society. | SVECW offers B.Tech with seven specializations under it and M.Tech courses. The college also offers an MBA program. The number of seats available under B.Tech courses ranges from 60-180, while that for M.Tech and MBA courses is fixed at 18 and 60 respectively."
105,Alliance College of Engineering and Design,"Alliance College of Engineering and Design Admission 2024 is ongoing. The institute offers B.Tech and Ph.D. courses in the field of engineering. Established in the year 2010, Alliance College of Engineering and Design is situated in Bangalore and affiliated with Alliance University Bangalore Karnataka. | Read More: Alliance College of Engineering and Design Fees Structure"
106,Saveetha School of Engineering - [SSE],"Saveetha School of Engineering (SSE), established in 2006, is located at Chennai, Tamil Nadu. The college is affiliated to Saveetha University, Chennai. | The college offers UG, PG, and Ph.D. in the fields of Engineering and Technology. At the UG level, the college offers B.E. and B.Tech in 12 specializations. At the PG level, Saveetha School of Engineering offers M.E. and M.Tech in 17 specializations each. Along with these, the college also offers Ph.D. in Engineering. Apart from these the college also offers Lateral Entry admission to direct the second year for B.E/ B.Tech."
107,Pimpri Chinchwad College of Engineering - [PCCOE],"Pimpri Chinchwad College of Engineering, commonly known as PCCOE, is situated in Pune city of Maharashtra state. Established in 1999, this institute is affiliated with Savitribai Phule Pune University (SPPU). PCCOE offers various programs at UG & PG levels such as BTech, MTech, and MCA. The BTech program is offered in 6 different specialisations across 5 departments. Admission to this course is completely based on the state-level and national-based entrance examinations i.e., MHT CET, and JEE Mains followed by the CAP counselling. Candidates from the Maharashtra domicile must appear for the MHT CET exam, and the cutoffs for the same will be released in 2 rounds. The last round closing cutoff for the MHT CET remained at 98.45 percentile in 2023 for the general category. Meanwhile, the 2023 cutoff for the All India students is based on the JEE Mains exam which closed at 16102 rank in the final round for the general admission. | Apart from this, PCCOE also offers a 2-year-long MTech program in 6 different specialisations with a total seat capacity of 108. Students must have qualified for the GATE exam to be eligible for this program. Also, an MCA program is offered by the institute for a duration of 2 years. To be admitted to the MCA course, MAH MCA CET scores are considered by PCCOE. The first-year fee charged by the institute for this program is INR 90,000."
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],"Dwarkadas j Sanghavi College of Engineering Mumbai offers B.E program at the Undergraduate Level. At the post-graduation programs the institution offers M.E program and a Ph.D program is also offered at doctoral level. All undergraduate programs are accredited by National Board of Accreditation (NBA). The college has such a reputation that though it does not provide an internship, you can easily find one on your own. The placement rates are 100% | Established in the year 1994 Dwarkadas J Sanghavi College of Engineering is an autonomous college that has been granted its autonomy University Grants Commission for 10 years. The college is permanently affiliated to the University of Mumbai. The college has qualified and experienced faculty. DJSCE has consistently been in the top 100 colleges of our country, rated by the various ranking institution. The college is a hub of reputed recruiters for campus placements."
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],"Fr. Conceicao Rodrigues College of Engineering is a private college affiliated with Mumbai University. It is an AICTE-approved and NAAC-accredited college. CRCE has 68 accomplished, supportive faculty members, including 21 PhD holders."
110,Dr. M.G.R. Educational and Research Institute,"Dr. M.G.R. Educational and Research Institute University was founded in 1988 is located in the city of Chennai. The University offers a variety of courses at the undergraduate, postgraduate level along with M.Phil. and Ph.D. courses with various specializations. | The application procedure for all these courses start by the end of January, and is open till the end of May. In order to be considered for admission in the college, the candidates need to sit for an entrance test which is conducted in May. Selection of candidates is based on marks obtained at the entrance examination as well as the qualifying examination."
111,Basaveshwar Engineering College - [BEC],"Basaveshwar Engineering College (BEC) is an autonomous institute affiliated to Visvesvaraya Technological University, Belgaum. The College is located in Bagalkot, Karnataka. Established in 1963, college offers B.E. degree of at UG level and M.Tech, MBA, and MCA degree of two years duration at PG level. Additionally, the college also offers Ph.D. course in seven disciplines."
112,MKSSS's Cummins College of Engineering for Women,no data found
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],Sagi Ramakrishnam Raju Engineering College (SRKR) is a private college strives to provide better quality technical education to students. The college is affiliated to Andhra University.
114,Sri Sairam Institute of Technology - [SSIT],"Sri Sairam Institute of Technology is located in Chennai in the state of Tamil Nadu. The institute offers BE/B.Tech degree at undergraduate level and MBA degree at the PG level. The college is affiliated to Anna University, Tamil Nadu."
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"Established in 1999, Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College is located in Chennai, Tamil Nadu. Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College offers multiple undergraduate and postgraduate programs in various branches of engineering and technology. The college has a total of 7 undergraduate programs and 5 postgraduate programs. | Applicants seeking admission to UG course must have completed 10+2 from a recognized board of education. Candidate must possess an undergraduate degree from a recognized university to register for the master degree courses."
116,Thakur College of Engineering and Technology - [TCET],"Thakur College of Engineering and Technology (TCET) is affiliated to University of Mumbai. It offers 6 Undergraduate, 3 postgraduate courses in various disciplines. It also offers a Ph.D. program in Technology."
117,Easwari Engineering College - [EEC],Easwari Engineering College (EEC) is a division of Sri Ramaswamy Memorial (SRM) Group of Educational Institutions for higher learning. The college is affiliated to Anna University in Chennai. EEC offers B.E and B.Tech UG level and M.E and MBA at PG level. Admissions to all the programs are carried out through the single window under Anna University. Candidates can choose their respective programs through the state-wise rank allotted by the Department of Education of Tamil Nadu. | Direct Link to Apply For Easwari Engineering College Admission
118,Gayatri Vidya Parishad College of Engineering,"GVP College of Engineering, Visakhapatnam established in 1996 in Andhra Pradesh. The college has been sanctioned “Autonomous” status by the UGC and conferred by the affiliating University, JNT University, Kakinada in 2009. | GVP College of Engineering offers B.Tech and B.Tech (Part Time) at undergraduate level, M.Tech and MCA at postgraduate level. Candidates are selected on the basis of marks scored in the Entrance exam followed by a personal interview."
119,Dr. B R Ambedkar Institute of Technology,no data found
120,Manipal University - [MUJ],"MUJ offers career-oriented courses at UG, PG, and Doctoral levels across diverse streams such as Engineering, Architecture, Planning, Fashion Design, Interior Design, Fine Arts, Hospitality, Humanities, Journalism and Mass Communication, Basic Sciences, Law, Commerce, Computer Applications and Management. The university is approved by AICTE, UGC, BCI, and COA and has accreditation from NAAC. | Manipal University Jaipur has launched UGC-approved Online Degree Courses on BBA, BCA, and MCA. Candidates can apply for these courses by visiting the official website of the university. The fees for the UG programs have been set as INR 99,000 for 3 years while for the two-year MCA course it is INR 1,20,000. A limited number of merit-based scholarship is also available for the courses."
121,The LNM Institute of Information Technology - [LNMIIT],"The LNM Institute of Information Technology (LNMIIT) is a deemed to be university located in Jaipur, Rajasthan. It was established in the year 2002. It offers various UG, postgraduate and research programs in several specializations. At the UG level, the college offers B.Tech and a Dual Degree program viz. B.Tech + M.Tech. At the postgraduate level, the college offers M.Tech and M.Sc to the students. LNMIIT Jaipur also offers Ph.D. and MS by Research programs in different disciplines. | Admission to B.Tech, Integrated B.Tech+ M.Tech and B.Tech (Lateral Entry) is offered in three modes, i.e., JEE Main Score, Direct admission to Central & State Board toppers and Direct admission to Abroad (DASA) for PIOs and NRIs categories. For M.Tech, LNMIIT conducts its own entrance test followed by an interview, although GATE qualified candidates will be given preference at the time of admission."
122,SRM Institute of Science and Technology - [SRMIST],"SRM University Chennai Campus is spread over 250+ acres and has a total of six campuses offering UG, PG and Doctoral programs in the fields of Engineering & Technology, Management, Medicine & Health Sciences, Science & Humanities, Law and Agricultural Sciences. Admission to all the courses is based on the entrance examinations. SRM University Chennai courses are approved by AICTE and UGC. | Final admission is granted on the basis of merit in the entrance test & rank obtained in the qualifying examination followed by the counselling process. Students can log in through the student’s login portal by providing their registration number cum login ID to check the status of their application & seat allotment process."
123,Christ University,"Christ University Admission for all campuses (Central/ Bannerghatta Road/ Kengeri/ Yeshwanthpur) is done online through the official website of the university. Christ University offers around 30+ UG, PG, and Doctoral programs across various streams including Engineering, Management, Science, Law, Architecture, Commerce, and Arts. MBA, B.Tech, BBA, BCA, MCA, M.Com, and B.Sc are the most opted and popular programs at Christ University. | Admission to most of the programs including B.Tech, BBA, BCA, and B.Com are based on the Christ University Entrance Test (CUET). For admission to MBA, the candidates must have the minimum cutoff score or percentile in MAT / CAT / CMAT / XAT / GMAT / GRE / ATMA to be eligible for admission. The university also offers a few courses without an entrance test as well. For both non-entrance test and entrance test programs, Christ University conducts its own selection process that includes Micro Presentation (MP), Personal Interview (PI), Skill Assessment (SA), and Group Discussion (GD)."
124,Manipal Academy of Higher Education - [MAHE],"Manipal Academy of Higher Education (MAHE) was established in 1953 in Manipal, Karnataka. Manipal University Admission 2024 is open for its UG and PG courses. Candidates are selected on the basis of marks obtained in the qualifying examination. MAHE offers  B.Tech (Regular+Lateral), B.Pharm, BBA, PharmD, B.Arch and BA (Media & Communication) at the Undergraduate level. At postgraduate level, it offers M.Sc (Medical), M.Sc (Nursing), ME, M.Tech, M.Pharm, Pharm. D (PB) and other M.Sc courses as well. In addition, Manipal University also offers M.Phil and PhD courses."
125,Centurion University of Technology and Management - [CUTM],"Centurion University Bhubaneswar Admission 2024 is open. CUTM Bhubaneswar conducts its entrance examination i.e. CUEE for admission to all the courses. The university offers UG, PG, Doctoral and Diploma programmes in Engineering and Technology, Management, Forensic Sciences, Law, Pharmacy, Media and Communication, Agriculture, Allied Health Sciences, etc. Candidates who have qualified for JEE Mains or CAT/ XAT/ MAT/ CET will be exempted from CUEE. Admission to M.Tech will be based on the marks secured in GATE. The reservation policy of CUTM Bhubaneswar is as per the regulations of the Government of India. | Direct Link to Apply for CUTM Bhubaneswar Admission 2024"
126,Sharda University,no data found
127,SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University],"NMIMS, Navi Mumbai offers UG courses like BBA, BBA (Hospitality Operations & Management), B.Tech, B.Sc. (Applied Statistics & Analytics), B.Com (Hons.). PG courses like PGDM; and integrated courses like MBA Tech, LL.B. / B.B.A., LL.B are also available in the institution."
128,K.R. Mangalam University,"K.R. Mangalam University Admission 2024 is open. K.R. Mangalam University offers courses in various streams including Engineering, Science, Business & Management Studies, Accounting & Commerce, Medicine & Health Sciences, Architecture & Planning, Law, Design, Humanities & Social Sciences, Mass Communication & Media and Teaching & Education. K.R. Mangalam University is a private University located in Sohna Road, Gurgaon and was established in the year 2013. The University offers diploma courses and degrees in Undergraduate (UG), Post Graduate (PG) and Doctorate (Ph.D) levels. | Apply Here for K.R. Mangalam University"
129,Galgotias University - [GU],"Galgotias University Admission 2024 is ongoing. Galgotias University has 19 institutions offering 62 UG, 44 PG, 25 Doctoral, 1 Certificate, 15 Diploma, and 5 Integrated courses in the fields of Engineering, Business, Law, Arts, Sciences, Media & Communication, etc. As per NIRF Rankings 2023, Galgotias University has been ranked at 91st position in Management and 52nd position under Pharmacy. | The table given below shows the important highlights of Galgotias University Admission 2024:"
130,Nirma University,"Nirma University offers admission to regular degree programmes and online certificate courses through ten institutes or departments. The application form of Nirma University can be filled out online on the official website. The application fees of Nirma University vary depending on the course chosen. However, the university has a common enrollment fee of INR 1,000. Nirma University offers admission in four categories, namely, All India, Gujarat State, NRI/ NRI (Sponsored), Children of Indian workers of Gulf Countries & South East Asia (CISWA-SEA), and PIO & Foreign Nationals (FN). | Nirma University's eligibility criteria vary for different courses. For undergraduate programs, the applicant must have passed Class XII in a relevant subject with an aggregate percentage ranging from 45% to 60%. For the PG courses, the minimum criteria is 60% marks in Graduation in a relevant subject. Additionally, candidates who satisfy this condition must appear for the further selection process conducted by the university including an entrance exam, a personal interview, and counselling rounds."
131,REVA University,"Reva University offers 55 Undergraduate Programmes, 28 full-time & 2 Part-time Postgraduate Programmes, 17 Ph.D. Programs in Engineering, Architecture, Science and Technology, Commerce, Management Studies Law, Arts & Humanities, and Performing Arts. B.Tech in Artificial Intelligence and Data Science is the most sought course at Reva University. Admissions to the same are done on the basis of scores in REVA CET/KCET/COMED-K/Uni-GAUGE. B.Tech cutoff at Reva University ranges from 61443-149117 for the KCET exam. | Reva University is currently accepting applications for admission to the UG, PG, and other Certificate/Diploma programs. Interested candidates can apply online by visiting the official website of the university. The selection of the candidates for B.Tech programs at Reva University is done through counselling and seats are allocated on the basis of scores obtained in the entrance examination, availability of seats, category, and other factors. The first-year fee for B.Tech at the university is INR 2.25 Lakhs which is payable at the time of admission."
132,Bennett University,"Bennett University offers admission to 30+ Undergraduate, Postgraduate, PG Diploma, and Ph.D. programs in 70+ leading specializations in the fields of Management, Law, Engineering & Applied Sciences, Media, Computer Science Engineering & Technology, and Liberal Arts. B.Tech, MBA, BBA, and BA Mass Communication are amongst some of the most popular courses pursued at Bennett University. Admission to Bennett University is both merit and entrance-based depending on the course. | Bennett University offers B.Tech, B.Sc, BCA, BBA, BA, BA LLB, and BBA LLB at the UG level. Admission to B.Tech is based on Class XII Best of 3 Subjects Score or JEE Main/ SAT/ CUET Score. For other UG courses, admission is based on Class XII Best of 3 Subjects Score or accepted entrance exam score."
133,Chitkara University - [CU],"Chitkara University is located in Chandigarh, Punjab and was established in the year 2002. The University offers B.E, BCA, B.Arch, BBA, B.Com, B.Sc., B.A., B.Physio, B.Optom, B.Pharma, Pharm.D, BFA and B.Des. courses at the UG level. Chitkara University offers M.E, M.Sc., MBA, MCA, M.Pharma, M.Physio, M.Optom, B.Ed. and M.A courses at the PG level. The University also offers Ph.D. course in 8 specializations at the Research level."
134,Singhania University,"Singhania University was established in the year 2007 by the Govt. of Rajasthan. The university offers 200 programs with 50 disciplines of the courses including graduation, post-graduation, and diplomas. Only candidates who satisfy the relevant eligibility criteria are can apply for the courses offered by the university. The application process for the university usually starts in the month of July every year and forms are accepted until October."
135,Shiv Nadar University - [SNU],"Shiv Nadar University admission is primarily based on the entrance exam conducted by the university. With this, the university also accepts national level exams such as JEE Main, SAT, GATE, GMAT, XAT, etc as per requirements of the programs. Shiv Nadar University offers various courses at undergraduate, postgraduate and PhD levels. It provides over 54 courses in five schools and 24 departments. Apart from these courses, PG diploma and certificate courses are also available at the institute. Check Shiv Nadar University Courses & Fees | Admissions to the flagship BTech program are offered on the basis of scores in the Shiv Nadar University Scholastic Aptitude Test (SNUSAT) and Academic Proficiency Test (APT). Candidates having JEE Main scores of more than 80 percentile will also be eligible for admission. Whereas, admission to the M.Tech course is based on a Written test conducted by the university. GATE scores are also recognised for admission."
136,Harcourt Butler Technological University - [HBTU],"Harcourt Butler Technical University offers 21 specializations across three courses: B.Tech, M.Tech and MCA. Apart from this, it also offers a PhD course. | For admission to B.Tech, the candidate should have completed 10+2 in the Science stream with 50% marks. For selection, they have to take the JEE Main."
137,Jaipur National University - [JNU],"Jaipur National University is a private University situated in Rajasthan which houses 17 schools. The University has a wide range of UG, PG, Research, Diplomas, and Certification courses to offer in various course spheres such as in the Faculty of Arts, Science, Commerce, Engineering Technology, Hotel Management, Law, Management, and Medical Research. Also, Jaipur National University provides opportunities to pursue integrated courses, and the mode of distance learning is also available in various UG and PG courses. | Direct Link to Apply for JNU Jaipur Admission"
138,Integral University,"Integral University offers admission to undergraduate, postgraduate, and doctoral programs in Engineering, Agriculture and Technology, Architecture, Pharmacy, Commerce, etc. Eligible candidates can fill out and submit the application form by visiting the official website of the university. Admission is provided based on merit and seat availability. Integral University also provides education distance learning. | Check Also: Integral University Courses & Fees"
139,Vellore Institute of Technology - [VIT],"VIT Chennai Admission 2024 is open. Admissions at VIT Chennai are done on the basis of valid scores in VITEEE, VITMEE and VITREE. VITREE (Vellore Institute of Technology Research Entrance Examination) is conducted for admission to various Ph.D./Direct Ph.D. programmes at VIT Chennai. VITREE - July 2024 session will be conducted on May 5, 2024. VIT Chennai offers 19 Undergraduate, 18 Postgraduate, 03 Integrated M. Tech, and Research programs. In addition, full-time Ph.D. in Engineering and Management disciplines, Ph.D. in Science and Languages, and Integrated Ph.D. programs in engineering disciplines are also offered by the institute. VIT Chennai offers B.Tech, BA-LLB, M.Tech, MCA, Integrated MCA, MBA, etc. at the UG and PG levels in different specializations."
140,K L University - [KLH],Koneru Lakshmaiah University was established in the year of 2017 in Hyderabad. The University is approved by AICTE. KLH University offers a UG program in Engineering and PG program in Management. Candidates seeking admission to B.Tech. must have passed 10+2 with 60% marks. Selection to B.Tech. is done through KLEEE/ TS EAMCET/ JEE Main/ JEE Advanced Scores. Candidates who have completed a Bachelor’s Degree with 55% marks are eligible to apply for the MBA program. Candidates have to qualify in KLBSAT/ TSICET/ CAT/ MAT/ XAT to secure admission in the MBA program. | Latest Updates:
141,Manav Rachna International Institute of Research and Studies - [MRIIRS],"Manav Rachna International Institute of Research and Studies (MRIIRS) is deemed to be university located in Faridabad, Haryana. It was established in the year 1997. Manav Rachna International Institute of Research and Studies (MRIIRS) offers UG, PG and Ph.D. courses in multiple specializations in the Department of Engineering, Science, Management, Architecture and Computer Applications. The application form for all the courses can be filled online from the official website of MRIIRS. | MRIIRS has commenced the registration procedure for its full-time MBA 2022 Admission. Interested candidates who are eligible for admission can apply in online and offline mode. Candidates with graduation/postgraduation or valid score in the entrance exam conducted by ICAI can apply. Selection will be done on the basis of entrance exams like CAT/XAT/MAT as well as GD/PI."
142,Pandit Deendayal Energy University - [PDEU],"Pandit Deendayal Energy University (PDEU) was established by GERMI as a Private University through the State Act. It was formerly known as Pandit Deendayal Petroleum University (PDPU). The university is located at Raisan village of Gandhinagar city. The University is recognised by UGC (University Grants Commission) and is a member of AIU (Association of Indian Universities). | PDEU has four schools, located on the same campus. The schools include the School of Petroleum Technology, School of Technology, School of Petroleum Management, and School of Liberal Studies. The university offers various courses at undergraduate, postgraduate and research level."
143,Alliance University,no data found
144,"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]","Pandit Deendayal Petroleum University, School of Technology (PDPU-SOT) established in 2007. The School of Technology is one of the four schools of PDPU. It is the only university in Gujarat that has been granted a graded autonomy by UGC. The university is also AICTE approved. | PDPU-SOT offers 9 undergraduate, 12 graduate and doctoral degrees in Engineering and Technology. Its B.Tech Mechanical Engineering program is NBA Accredited."
145,Amity University,"Amity University Kolkata admission 2024-25 is based on merit and entrance test scores. The institute offers admission to 20+ UG, PG and PhD programs in the fields of Architecture, Commerce, Design, Arts, Engineering, Fashion, Law, Management, etc. Amity Kolkata was established in 2015, as a constituent of Amity University. | Amity Kolkata Admission is ongoing for PhD programs and the last date to apply is December 28, 2023. The application form for UG and PG courses can be filled out online or purchased from the campus with the payment of an application fee of INR 1,500. However, Amity Kolkata accepts PhD applications in online mode only."
