Serial No.,College Name,Question,Answer
74,PES University - [PESU],What is the average package of CSE students at PES university?,"The PES University CSE branch is a popular choice among students who wish to pursue a career in the field of computer science and engineering. However, whether it is worth paying 3 lakh/annum through the PESSAT depends on several factors, including your personal goals, financial situation, and career aspirations. Here are some points to consider:
Quality of education: PES University is known for its academic excellence and has been consistently ranked among the top private universities in India. The CSE program is designed to provide students with a strong foundation in theoretical and practical aspects of computer science and engineering, and the faculty members are reputed in their respective fields. If you are looking for a high-quality education that can prepare you for a career in the IT sector, PES University could be a good choice.
Placement prospects: Another important factor to consider is the placement record of the university. PES University has tie-ups with several reputed companies in the IT industry, and the CSE branch has a good track record of placements. If you perform well in the program and maintain a decent CGPA, you can expect to land a job in a reputed company with a decent package. However, it's important to note that placement opportunities are not guaranteed, and your own skills and efforts play a crucial role in securing a job.
Cost: The cost of education is an important consideration for many students and their families. PES University charges a fee of 3 lakh/annum for the CSE program through the PESSAT, which can be a significant financial burden for some. If you have other options that are more affordable and offer similar quality of education and placement prospects, you may want to consider them as well. However, if you are convinced that PES University is the best option for you and you can afford the fees, then it could be worth the investment.
Scholarships and financial aid: PES University offers scholarships and financial aid to meritorious and deserving students. If you have a good academic record or are from an economically weaker section, you may be eligible for financial assistance that can reduce the cost of education. It's worth exploring these options to see if you can reduce the financial burden.
In conclusion, whether the PES University CSE branch is worth paying 3 lakh/annum through the PESSAT depends on your individual circumstances and priorities. If you value high-quality education and good placement prospects and can afford the fees, PES University could be a good choice. However, if you have other options that are more affordable or offer better value for money, you may want to consider them as well."
74,PES University - [PESU],Is PES University No.1 or RVCE?,"My brother studied in this institute, so I might be able to help you with the question. Let me discuss how his first year went. 
Honestly, at first, you do feel that your first semester is tougher than other colleges. 
The faculty is good and very friendly and cooperative. 
The marking scheme, the assignments, and the volume of study, plus the skewed branch-wise ratio can result in excessive peer pressure. 
But once you've figured out how the system works it will be easier to manage.
Furthermore, from ex-students and present students, you will get to know both sides of the coin. You can then compare both of their experiences. You will get to know what changed and how tougher the first year became from before. 
Other than your dedicated departmental subjects. Both physics and chemistry are also equally difficult. They require some surreal level of effort to achieve a good GPA. You just have to stay focused and concentrate on your studies. It is easier to improve your GPA in the first year."
75,Heritage Institute of Technology - [HIT],Which is better: IEM or Heritage Institute of Technology?,"I have a few friends from Heritage Institute of Technology and here is their insight on the management quota admission at the institute. 
According to them, for IT, the management quota fee goes up to 12 lakhs. If you have a decent academic record you can bargain to bring it down to 10-11 lakhs. For ECE, the fees go up to 16 lakhs. 
However, before taking admission at Heritage through management quota you should know that you will not be missing out much if you choose to go to other colleges affiliated with MAKAUT. You will have almost similar placement opportunities and exposure."
75,Heritage Institute of Technology - [HIT],How much donation is needed to get B.Tech admission in Heritage Institute of Technology through management quota?,"Heritage Institute of Technology (HIT) is one of the best engineering colleges among all the affiliated colleges with Maulana Abul Kalam Azad University of Technology. The courses have NAAC and NBA accreditation and are AICTE approved. It is also recognized among the national engineering institutes with 154th NIRF Ranking for Engineering 2020.
The institute witnessed a 100% placement record during the last few years. Most of the students have bagged packages from more than one company. The CSE, ECE, and IT branches have an edge over the other branches in the institute.
The placements statistics (overall) are below:
Placement Percentage 80-90%
Average Package 8-10 LPA
Lowest Package INR 3-4 LPA
Highest Package INR 16-20 LPA
Recruiting Companies Wipro, Tech Mahindra, TCS, Cognizant, etc.
Usually, grabbing the package in a broader bracket is a cumbersome task. Overall, HIT is the best among all the colleges of any other WBUT."
75,Heritage Institute of Technology - [HIT],What is the placement scenario of Heritage Institute of Technology graduates?,"Taking donation money depends on how many seats are available. The donation fee will be high for the streams that have a lot of demand.
However, if there are seats that are vacant, you can try spot counseling and you will not be charged at all for this except for the fee required for admission.
The money that you might be asked to pay can vary depending on the financial situation of the candidates. Getting in touch with the management facility will help you in getting a clear idea. Keep in mind, however, that people who opted for the management quota had to pay huge amounts of money.
Almost 10% of the seats were kept aside for management quota candidates and they are given on the basis of ‘first come first’. Some people got admitted without paying anything at all except for the admission fee and some had to pay huge amounts of money to get in.
Another thing about getting admission through quota is you may lag behind your peers. Even if you do get admission, a lot depends on you as well."
75,Heritage Institute of Technology - [HIT],If I want to go into Techno India or the Heritage Institute of Technology of West Bengal through the management quota then how much money may I be asked to pay?,"The Placements cell coordinates with various industries and organizations for placements and internships of students. High numbers of students placed in companies like TCS (Tata consultancy services) and Infosys. These companies are mass recruiters for Heritage institute of technology. Placements statics of Heritage institute of technology are:
TCS, Wipro, star cements and Omics international are major recruiters, 371 out of 450 students placed in these companies in the year 2018.
Other recruiters are BYJU’s learning app, Extra Mark Education India Pvt. Ltd, Young optics, Tega industries, skipper limited and Careers Coms HR services.
Highest package offered in the institute is 16 Lakhs per annum by Microsoft in the year 2014.
Students have been placed in 55 plus companies in campus interviews.
Average placement of the HIT is between 3 to 4 lakhs per annum every year.
More than 70% of students placed in TCS in mass recruitment every year.
Maximum of students placed every year, so HIT have nearly 100% placements.
Except for placements, students of HIT also take part in summer internships and mock interviews sessions for each branch. The institute also signed a MOU with New Jersey institute of technology (NJIT) for students exchange program. There is also one ED–cell (Entrepreneurship development cell) in the institute for providing a platform to young entrepreneurs. So if the academics report is at least 6.75 one will get placed in companies."
75,Heritage Institute of Technology - [HIT],Which is better: KIIT University or Heritage Institute of Technology?,"Both the Heritage Institute of Technology and BP Poddar Institute of Management and Technology are technical colleges affiliated to the Maulana Abul Kalam Azad University of Technology (MAKAUT), West Bengal. 
Before deciding which is better, let us first understand each college’s pros and cons.
Pros
Heritage Institute of Technology 
Huge campus, serene environment, great infrastructure, great area for hangouts
Good faculty and plenty of options to choose your specialization
Good placements. There is a high probability that you will end up in TCS
BP Poddar Institute of Management and Technology
Situated closer to the airport and has multiple transportation options
Haldiram’s, Eco Park, CC2, and many other outdoor options are present
Placements are decent and many companies such as EY, Bosch visit here for campus placements
Ragging is completely absent with some minor “intro” or some small tasks
Cons
Heritage Institute of Technology
The location is the biggest problem as you will not find any public transport nearby. You will have to walk miles to get a small cigarette shop. And forget about dining options and restaurants nearby.
BP Poddar Institute of Management and Technology
The faculty are decent but you will need the help of lab assistants more often than the professors
Fests and other celebrations are not as prevalent as other campuses
The canteen is very small
Infrastructure is very limited with no playground, no auditorium, and no grand construction
Uniform is compulsory
Both are equally good colleges and ultimately you will be getting the certificate from the same university with almost the same level of teaching. You will get around a 15% chance of getting a job in a core sector company. So decide for yourself what you want looking at the pros and cons of both the colleges."
75,Heritage Institute of Technology - [HIT],What is the average salary offered during placement at heritage institute of technology?,"Being one of the oldest engineering colleges in India, IIEST Shibpur is known for its legendary status, well-equipped campus, and a thorough specialization across more than 48 courses. HITK on the other hand is a private autonomous college with a Grade B++ NAAC Accreditation, approved by AICTE, and offers 25 programs across 2 streams.
We can compare the two institutions based on the following factors:
Ranking: IIEST Shibpur is ranked at 19 by NIRF under engineering institutes in India whereas HITK Kolkata has been ranked at the 150th position by NIRF under the same category.
Courses: IIEST Shibpur offers 48 courses in 5 streams with 29 specializations and also offers programs in Management, Architecture, Science, IT, and software. HITK offers a total of 15 courses in Information Technology and Engineering across BTech, MTech, and MCA degree programs with about 8 specializations for undergraduate BTech degree students.
Infrastructure: The campus at IIEST Shibpur is well structured with classrooms, laboratories, research labs, a library, high-speed internet across the campus, a sports complex, and 17 hostel buildings. HITK has a top infrastructure with fully air-conditioned classrooms, a 20,000 square feet library, sports complex, hostels, and an auditorium.
Placement Services: In terms of placements, IIEST observes nearly 90+ companies and offers an average median salary of 6.5 LPA with the highest salary package being 39.12 LPA. It sees top companies like Microsoft, Amazon, Deloitte, and more for recruitments. HITK offers an average median salary of 3.4 LPA and does not see many core companies for recruitments. Some of the top companies for placements are TCS, Apollo Paints, HDFC Bank, and IBM.
Based on ranking, campus and placement services students who are looking to join an undergraduate or graduate degree program in Engineering can make their choice accordingly. Both the colleges offer detailed course modules but if your JEE scores are good, it will be comparatively better to opt for IIEST Shibpur."
75,Heritage Institute of Technology - [HIT],"Which is better, Heritage Institute of Technology or BP Poddar Institute of Management and Technology?","Heritage is a very good institute if pursuing CSE is your goal. If we talk about the ranking of the private institutes in West Bengal, then IEM (Institute of Engineering and Management) is the best in the state, followed by Heritage Institute of Technology. Techno India Salt Lake is third in the ranking.
Heritage Institute of Technology will give you a lot of opportunities. 
The coders in the institute can compete with some of the best in the country. 
The environment of the place is also very good. 
It is superior in terms of management, labs, infrastructure, faculty, labs, etc.
Categories CSE at Heritage Institute of Technology
Course Fee 4.04 lakh
Placement Percentage 80-90%
Highest CTC 24 LPA
Average CTC 16 LPA
The companies that visit the institute are Microsoft, Amazon, Intel, Capgemini, Oracle, etc. TCS is the biggest recruiter of students graduating from Heritage."
75,Heritage Institute of Technology - [HIT],Which is better HITK Kolkata or IIEST Shibpur?,"The fee structure for B.Tech students of Heritage Institute of Technology, Kolkata is given below for your reference.
Tuition fee (per semester) – INR 44,000 (1st and 2nd semester), INR 45,100 (3rd and 4th semester), INR 46,200 (5th and 6th semester), and INR 47,300 (7th and 8th semester)
Admission fee (one-time fee) – INR 5,000
Library fee (one-time fee) – INR 6,000
Students’ welfare and sports & games fee (one-time fee) – INR 4,000
Caution deposit (one-time fee and refundable) – INR 10,000
University students’ development fee (INR 500 paid yearly to MAKAUT) – INR 2,200 (one-time fee)
Admission kit (one-time fee) – INR 1,000
Thus the total fee amounts to INR 72,200 when you take admission. Since you would have paid INR 20,000 during counseling, you need to pay an additional amount of INR 52,200 after taking the admission. There is a tuition fee waiver scheme implemented by the college according to which you need not pay the tuition fee. In that case, the fee is INR 28,200 and thus you will need to pay only INR 8,200 after taking admission.
The hostel fee is an additional INR 4,500 per month including the mess if you want to take this facility."
76,Sri Krishna College of Technology - [SKCT],I am not writen tancet exam I am wish to join MCA in your college can i join here without tancet exam,"Shri Krishna College of Technology (SKCT ) is affiliated to Anna University and is approved by AICTE, the institute has also received an “A” grade from NAAC and the same goes for Bannari Institute of Technology (BIT). The colleges offer Bachelor of Engineering in ECE.
Rankings-
SKCT- SKCT has been ranked 151 out of 200 colleges in India by NIRF 2020 rankings.
BIT- NIRF has ranked BIT in the 151-200 band by NIRF. It is also ranked in the 46th position among the top 165 private engineering colleges by India Today.
Admission-
SKCT- The eligibility criteria for SKCT are 10+2 with 50% and students are selected for admission via TNEA Counselling. SKCT cut off is usually around 6916-9105 ranks.
BIT- BIT has a minimum requirement of 10+2 and no particular marks requirement, unlike SKCT. Eligible students need to appear for TNEA counseling to get admission. BIT’s usual cut-off is 3254-9784.
Course Fees-
SKCT- It charges INR 50,000 for first-year tuition fees and the total course fee is INR 2 LPA.
BIT-The first-year tuition fee for BIT is INR 60,000 and the total course fee is approximately INR 2.4 LPA
Placements-
SKCT- SKCT has a placement record of 87.9% for students placed in core companies. Top recruiting companies from the core-sector are Soliton, Accenture. TCS, Virtusa, Amazon, Zohi, Infosys, etc. The lowest salary package offered at SKCT is 3.5 LPA and the highest goes up to 28 LPA. ECE at SKCT has an 81.8% placements record.
BIT- BIT has an almost 85% placement record. Top recruiters which visit the campus include Infosys, TCS Ninja. In 2019 the lowest salary package was 2.5 LPA while the highest was 25 LPA.
Between the two colleges, SKCT can be a better choice for ECE as the course fees are also less than BIT while the placement record is higher."
77,PSNA College of Engineering and Technology,No data found,No data found
78,BV Raju Institute of Technology - [BVRIT],Which is the better college: MGIT or BVRIT?,"GRIET (Gokaraju Rangaraju Institute of Engineering & Technology) has a good infrastructure and best faculties are available to the students. BVRIT is one of the emerging institutes of technology and research in our country. NIRF 2020 has ranked GRIET and BVRIT at 172 and 199 for BTech.
Facilities:
GRIET – GRIET provides the students with facilities like transportation, sports ground, canteen, library and facilities for physically handicapped students. Hostel facilities are only available for the girls.
BVRIT - BVRIT campus is spread over a huge area with facilities like library, sports ground, hostel, yoga centre and gymnasium. College library has a collection of 20,000 volumes of books and 2673 titles with the seating capacity of 150 students.
Admission:
BVRIT – At BVRIT, admission to Category A seats for BTech engineering courses are given on the basis of rank scored in TS EAMCET. Category B seats are filled by College as per the guidelines of technical education.
GRIET - 70% of the seats in B.Tech are allotted on merit basis while remaining seats are allotted to the management/NRI candidates. Admission is given to any Engineering course on the basis of the score of the common entrance test (EAMCET).
Placements:
GRIET -
At GRIET 834 students were placed this year.
Top recruiters visiting GRIET campus are Infosys, Wipro, IBM, Capgemini, Hyundai, etc.
Highest salary package offered to any student of GRIET is 40.6 lakh per annum.
The average salary received by the students was 5 LPA.
BVRIT -
252 students of BVRIT got placement this year.
Highest salary offered to any student at BVRIT was 30 LPA.
The average CTC was recorded around 4.04 LPA.
The major recruiters at BVRIT are Amazon, American Express, Accenture, IBM, Capgemini, etc.
Extracurriculars:
At GRIET, students have a Robotic club and Gaming club which help in bringing out innovation and development of new technologies. Students participate in events like the annual day, sports day, alumni day, etc.
At BVRIT, students have many organisations like a cultural club, sports club, foss club & departmental clubs like DEPTHA and TECHBLITZ.
GRIET has been proven as the better college than BVRIT due to the better infrastructure, facilities and placements."
78,BV Raju Institute of Technology - [BVRIT],Should I prefer GRIET or BVRIT?,"BVRIT (BVRIT Hyderabad College of Engineering for Women) is clearly better than GRIET for CSE students. There is not any significant difference between the two in terms of teaching and pedagogy as the syllabus is more or less the same for every technical college in the Hyderabad region.
The number of students in a typical CSE branch is way much more than that of IT in BVRIT. The faculty are also top-notch and know what they are teaching very well. Yes, of course, there might some very orthodox and traditional teachers who might not inspire students and do not adapt according to the changing market conditions, but these types of professors are lower in number here.
In the end, more than the college, it is your own self-determination that will make you a successful person. A facility with good internet connectivity, self-learning, and competitive coding culture is all you need to succeed at any of the two colleges."
78,BV Raju Institute of Technology - [BVRIT],"Which is the best engineering college in Hyderabad among Guru Nanak, Vardhaman, BV Raju, VNR, and Malla Reddy?","Both GRIET (Gokaraju Rangaraju Institute of Engineering and Technology) and BVRIT are reputed colleges of Hyderabad. GRIET has been ranked 172 while BVRIT 199 by NIRF ranking, 2020 for BTech.
Admission:
BVRIT –
At BVRIT, admission to Category A seats for BTech engineering courses is given on the basis of rank scored in TS EAMCET. Category B seats are filed by College as per the guidelines of technical education.
The total course fee for BTech at BVRIT is 3.6 lakhs.
GRIET -
70% of the seats in B.Tech are allotted on merit basis while remaining seats are allotted to the management/NRI candidates.
Admission is given to any Engineering course on the basis of the score of the common entrance test (EAMCET).
At GRIET the total course fee for BTech is 4.88 lakhs.
Facilities:
Both the colleges provide the students with transportation, sports ground, canteen, library and facilities for physically handicapped students. BVRIT campus has hostels for students, yoga centre and gymnasium.
Placements:
At both the colleges, the placement rate is quite good.
BVRIT -
252 students of BVRIT got placement this year.
Highest salary offered to any student at BVRIT was 30 LPA.
The average CTC offered was around 4.4 LPA.
The major recruiters at BVRIT are Amazon, American Express, Accenture, IBM, Capgemini, etc.
GRIET -
At GRIET 834 students were placed this year.
Highest salary package offered to any student of GRIET is 40.6 lakh per annum.
The average CTC offered was recorded around 5.05 LPA.
The top recruiters at the institute are Microsoft, Byju’s, Cisco, DBS Bank, etc.
Extracurricular:
Many events are organised by GRIET and BVRIT for the students like Annual Day and Alumni day. At BVRIT, students have many organisations like the cultural club, sports club, foss club & departmental clubs like DEPTHA and TECHBLITZ. At GRIET, students have a Robotic club and Gaming club to inculcate new technological advances along with the studies.
GRIET Hyderabad has been proven as the better college than BVRIT Hyderabad due to the better infrastructure, facilities and placements. GRIET also has a better NIRF Ranking."
79,University of Petroleum and Energy Studies - [UPES],Is it worthwhile doing an MBA in UPES Dehradun?,"Every B-school has its unique strengths and so does UPES Dehradun which is famous for its domain-specific MBA. If you are willing to pursue an MBA in oil and gas, power management, or energy trading, choosing UPES Dehradun will be the right decision. It offers a plethora of opportunities in these domains and the ROI is also great. There are some industry-specific courses too but their placements are just average.
The best part about UPES is the diversity of the crowd. You will get the chance to interact with people from various backgrounds such as law, management, engineering, and design thus enhancing the learning experience manifolds. 
Ultimately, I will suggest you go for UPES Dehradun only if you are planning to pursue a domain-specific MBA, else you can go for better B Schools."
80,Vardhaman College of Engineering - [VCE],What is your review of Vardhaman College of Engineering?,"Vardhaman College of Engineering has received a very good rating over time. It comes with good infrastructure and has earned itself a reputation in Hyderabad.
Following are the factors that you should consider before opting for the college:
Branch Ratings: It can be given a good rating for both CSE and IT branches. However, other branches like ECE and EEE have earned an average rating, while Aerospace Engineering, Mechanical Engineering, and Civil Engineering have ratings below average.
Amenities (Labs, Hostels, etc.): The computer labs are equipped with every crucial facility. In addition, the campus buildings, hostels, and other amenities are relatively well built. The hostel food is somewhat acceptable as well.
Library: It is well built but the major downside is that it lacks certain important books. Surprisingly, you can put forward requests for specific books as and when required, but they rarely arrive.
Faculty: The faculty of Vardhaman College of Engineering can be mostly rated as “average.” The reason is quite simple. A handful of the faculty members are completely or partially not extremely concerned about the issues students usually face. It can be any professor, let alone the HOD.
Placement: The college often receives offers from various companies, especially companies that are IT-related. It is a major drawback. Students from ECE, EEE, or the Mechanical Engineering department often only get offered job profiles that are commonly IT-related. It can only be good if you are interested in taking up your career in the IT sector.
Sports and Extracurricular Activities: It has a well-equipped cricket ground with a turf pitch. Besides that, it comes with a good football field, basketball court, volleyball court, and certain indoor game amenities.
The disadvantage is that students are usually not allowed to use any of these until it is during the cultural fests. Simultaneously, any extracurricular or co-curricular activity is surprisingly not very encouraging. It's the reason why you cannot take up research projects until extremely necessary."
80,Vardhaman College of Engineering - [VCE],"How do I reach Vardhaman College of Engineering, Hyderabad from Gachibowli?","Initially, students did not receive placement opportunities at Vardhaman College of Engineering. The year 2018 saw 40% of engineers getting placed, comparably higher than 2017 where it stood at 35%.
Cocubes is a decent source if you want to find job opportunities. The institute would rather make you sit for the Cocubes exam. You will have an upside if you score above 550.
Here are the latest placement stats of Vardhaman College of Engineering,
Highest Salary Package INR 12 LPA
Top Recruiting Companies Jaro Education, Synopsys, Deloitte, TCS, DBS Bank
For ECE, the options are varied,
You should prepare for the C-DAC PG Diploma for which you are required to clear the CAT examination.
You should get to do internships and know what are the fields that interest you.
Be thoroughly prepared with your core subjects since they will help you in your interviews.
If possible, publish your research papers.
Hope this helps you know more, wish you all the best!"
81,BMS Institute of Technology and Management - [BMSIT],Which is better for computer science: BMS Institute of Technology or MS Ramaiah?,"BMS Institute of Technology and Management (BMSIT) is affiliated to Visvesvaraya Technological University, Belagavi. It is ranked 169 for BTech by NIRF 2020. It is set by BMS Educational Trust and is recognized by AICTE and NBA. They have 162 faculty members. 
Acharya Institute of Technology (AIT) is affiliated to Visvesvaraya Technological University, Belagavi with a faculty strength of 300 members. The student population is 4,432 across all the departments. It is an autonomous institution recognized by UGC and AICTE.
Tabulated below is a brief overview of the both institutions:
Categories
BMSIT
AIT
Department
Telecommunication Engineering
CSE
Course Fee
53,460 (1st year)
3,01,175 (1st year)
Cut Off
14022 (KCET)
10718 (KCET)
Placement Percentage
70%
90%
Highest CTC
26 LPA
21 LPA
Average CTC
3.5 LPA
3.5 LPA
Placements 
BMSIT - 
91 companies participated in the placement program.
430 offers were made wherein a total of 345 students were placed.
The top recruiting companies include Reliance, Byju’s, Wipro, Capgemini, Dell, Fidelity, L&T, MindTree, Mu Sigma, etc.
Students opting for Telecommunication Engineering can work as Electronic and Telecommunication Engineer, Accounts Executive, Telecom Engineer, Software Engineer, Telecom Security Engineer and many more.
AIT 
35 companies visited the campus wherein 194 students were placed.
Some of the recruiters include Infosys, Pingala, HSBC, Byju’s, OG Healthcare, TCS, Wipro, HP, etc.
CSE graduates can work as System Database Administrator, Computer Programmer, Engineering Support Specialist, Software Developer, Software Engineer, Lecturer or Professor, Computer Operator, Research Analyst, etc.
Facilities 
BMSIT 
They have a student strength of more than 3206 students.
They provide separate boys and girls hostels.
Their food court can accomodate 200 students at a time.
They provide transportation services and indoor and outdoor sports facilities.
AIT
They have a student strength of 4423 students across all departments.
Their campus area is 120 acres.
They have 12 hostels, 5 for boys 7 for girls accommodating 1500 students all over.
They have 1175 computers in total.
They also provide sports, medical and library facilities.
CSE will be a better choice than Telecommunication Engineering because there is a constant demand for computer engineers in today’s rapidly growing corporate industry. CSE is the most in demand engineering course. Due to its scope and popularity it is better to choose CSE for moving your career ahead. But students interested in pursuing Telecommunication Engineering can always go for that."
82,B. N. M. Institute of Technology - [BNMIT],No data found,No data found
83,KLE Technological University,Is it worth joining KLE Technological University?,"Yes, it is worth joining the KLE Technological University. One of my friends graduated from KLETECH and here are some snippets of his experience at the institute.
College Management - The staff in the administration especially the vice-chancellor, has great aspirations. They are trying to introduce new education methods like flipped classrooms, practical learning, industry-collaborated projects.
Faculty - The faculties are very cooperative. They try to finish the syllabus in time.
Atmosphere - The college atmosphere encourages you to pursue whatever you want. If you want to start a company you can take the help of CTIE. If you have a start-up plan, you can take help from startup street.
Students - Fellow students are friendly with almost no raggings. Girls-Boys interaction is a bit less.
Placements - The placement percent is increasing every year for CSE, ECE, and EEE but the Mechanical branch is struggling a bit because of the less market demand.
Top recruiters are Accenture, Infosys, TCS, Hexaware, Mindtree, Wipro, EVRY, DCX Technologies, etc. The top roles offered are developer, programmer, cybersecurity, etc.
Vikas classes are of great help to the students in terms of placements but effective only in the 6th sem.
Particulars Stats
Placement percent 90%
Highest salary INR 30 LPA
Average salary INR 6 LPA
Median salary INR 4 LPA
Overall, joining KLE Technological University will definitely be worth your time and money."
83,KLE Technological University,How good is KLE Technological University?,"KLE Technological University is a very popular and reputed university. But like any other university, it also has some advantages and disadvantages. Some of my friends are from this institute, and here’s what they have mentioned about it.
Advantages:
KLE Technological University is an autonomous university so it has an edge over VTU or any other educational body.
The infrastructure is very beautiful and spacious. Life at the college campus is completely enjoyable.
There are also various sports and cultural events held at the campus.
This university focuses more on practical-based learning rather than relying on old-school methods or more bookish learning.
The students are assigned to make projects from the 1st semester itself.
The coding culture of this college is very good and it also has a start-up culture.
New ideas by students are appreciated and encouraged.
There is also a UPSC training block inside the campus. It provides coaching to the students who want to prepare for IAS/IPS exams.
Disadvantages:
This university is located at Hubli, so there will be a lack of opportunities for the students to visit the industrial sites.
Most of the students studying here think that engineering is easy and thus they are not focused on their studies. This affects the competitive environment and makes the students careless.
The seniors are not cooperative.
The placements are mediocre.
Companies that participate in the placement drive are mass recruiters like TCS or IBM. They generally offer students lower packages.
Categories KLE Technological University
Course Fee 2.28 lakh
Highest CTC 14 LPA
Average CTC 7-8 LPA
Hence, KLE Technological University is a mediocre college. If you want to study there it is completely your choice. If you are interested in appearing for UPSC exams you can go for it. Other than that, this college does not really stand out."
83,KLE Technological University,How are the placements for CSE and ECE at BVBCET (KLE Technological University)?,"In KLE Technological University (BVBCET), the hostel facilities are quite good, as evident from most reviews over the internet. There are several options in the types of rooms and accommodation at the institute, with varying fee structures for each.
In the hostels of KLE Technological University, there are three types of rooms, 2, 3, and 4 shared. The present fees for different types of rooms are listed below.
Room Type Amount
Double Room Attached 56,025/-
Double Room Non-Attached 50,025/-
Triple Room Non-Attached 47,025/-
Four-seated Room Non-Attached 44,025/-
The mess fee is 30,000 annually at present. Other than that, it is approximately close to 2600 per month additionally. The quality of food supplied at the mess is quite good, which is far better than the hostels of any other institute in Karnataka.
These are some of the highlights regarding the quality of hostels and mess, and a detailed description of the fee they charge for different kinds of accommodation in the institute."
84,RMK Engineering College - [RMKEC],No data found,No data found
85,MIT World Peace University - [MIT-WPU],Is MIT Pune or VIT Pune a better college?,"Yes, MIT-WPU dedicated placement cell.
Training to enhance and improve your skills required for getting placement.
Tie-up and partnership with industry and R&D institutions
100% Placement Assistance
Assistance to pursue higher studies"
85,MIT World Peace University - [MIT-WPU],What is the cutoff for MIT Pune and VIT Pune through the JEE Mains?,"MAEER’S MIT is also known as Maharashtra Institute of Technology College of Engineering. Both MAEER’S MIT and MIT Pune fall under the MAEER’S group of Institutions. Both the colleges share the same campus based in Kothrud and as well as the faculty on several occasions.
Eligibility Criteria
Students need to secure at least 80 points in JEE mains to get admission to MITCOE.
Students need to secure a rank of 3k-5k in JEE to secure a seat in MIT Pune.
Students need at least 50% in their 12th.
There are separate examinations for admission in BBA and other departments where students need to score at least 60 points to qualify.
Infrastructure
The infrastructure of both MITCOE and MIT are the same since they share the same campus.
Academics and Faculty
MIT College of Engineering
The faculty in MITCOE is average compared to MIT Pune.
There are more junior professors than senior professors. Teachers are highly-qualified, most have an MTech or Ph.D., and some are pursuing one.
There are two shifts for conducting classes- morning and evening.
MIT Kothrud
The faculty of MIT Kothrud is slightly better than MITCOE with all the professors having a Ph.D. in their respective fields.
They have at least 5-year work experience.
The curriculum for both the universities is decided by MIT World Peace University and is up-to-date.
Placements
MIT has a centralized placement system. MITCOE has a placement percentage of 75-90% with an average salary of 3.5-5 LPA.
Mass recruiters like Wipro, TCS, and Infosys visit the college.
More than 80% of MIT students get placed on an average each year.
More than 700 companies come to place students with an average salary between 5-6LPA.
Overall, there is not much difference between the two colleges when it comes to the quality of education and college experience. However, there is a minute difference in fee structure which is almost negligible. So, students can close their eyes and apply to any of the colleges."
86,Vishwakarma Institute of Information Technology - [VIIT],Is there any difference between VIT Pune and VIIT Pune?,"Yes, both VIT Pune and VIIT Pune are completely different colleges. Both have been established under the flagship of the prestigious VIT Group of Institutions. VIT and VIIT are a part of the same Management working under different names but are different colleges.
Both the colleges are owned by the Bansilal Ramnath Agarwal charitable trust VIT is its main Campus and is better rested than VIIT. It’s located in Bibwewadi, Pune. VIIT is its secondary campus and is also autonomous. It has been ranked among the top engineering institutes in Pune, MH, but less rated than VIT. It’s located in Kondhwa, Pune.
Obviously, VIT is among the top colleges in Pune and is much better than VIIT, especially in terms of placements. It also offers more exposure through activities like Robotics, Sports, or cultural or technical fest. 
Hope this helps you!"
86,Vishwakarma Institute of Information Technology - [VIIT],"Which is better, a CSE at VIIT Pune or an ENTC at VIT Pune, considering the future of the branch and the college?","My friend is currently in his final year of CSE in VIT and is also working at IBM, Pune for my semester-long internship. VIT and VIIT have a common Training and Placement Officer who oversees the placements of both colleges. In my opinion, VIT CSE is way better than EnTC in terms of placements. My friends in EnTc who score better than my friend in VIIT CSE are still struggling for decent jobs. VIIT CSE students get offers from companies that visit the campus almost every week. Although VIT allows EnTC students to appear for software jobs, most software companies prefer taking CSE students mainly because they have studied the relevant subjects for 4 years.
Moreover, VIT is autonomous. I would recommend you choose CSE even if the colleges are similar because the CSE curriculum and syllabus will guarantee your entry into the Software or IT industry. Another added advantage is that VIT has a system of compulsory semester-long internships in either of the semesters of the 4th year. Students receive internship offers from big companies that likely get converted into placement offers for CSE. This may not be the case for any other college in the entire Pune. 
My friends in EnTC are now struggling to pursue higher studies or jobs in the Software industry. So go for VIT without any second thoughts."
86,Vishwakarma Institute of Information Technology - [VIIT],"Out of VIT Pune and Symbiosis Institute of Technology Pune, which should I choose?","There are several parameters to compare the two colleges. Some of these are-
Brand- Symbiosis is a brand in India. Any college under Symbiosis International University automatically gets the tag of a good college. VIT Pune is also a well known brand which was established much before SIT. VIT Pune was established in 1983 while SIT came into existence in 2008.
Placements- VIT Pune has a better placement scenario. As far as SIT is concerned, CS/IT and ENTC have an average placement record. On the other hand, Mechanical and Civil have a low placement rate. But the fact is that Mechanical is facing placement shortage at present.
Crowd- The SIT campus has a diverse crowd. It caters to students from all over India, and NRIs. VIT is mainly preferred by students of Maharashtra and its neighboring states.
Infrastructure- Both the colleges have good classrooms and laboratories.
Faculty- I don’t know much about VIT, but the faculty of SIT is highly qualified.
Campus- The SIT campus is located far from the city, but it is huge and has a scenic view. The campus is beautiful and has all the sports facilities.
Both the colleges are equally good. You may choose any of them on the basis of their location, crowd and other factors."
