Serial No.,College Name,Info Data
141,Manav Rachna International Institute of Research and Studies - [MRIIRS],"Manav Rachna International Institute of Research and Studies (MRIIRS), Faridabad, formerly known as Manav Rachna International University, the institute provides 100% placement assistance to students. MRIIRS offers undergraduate, postgraduate and doctoral programs in the discipline of Engineering, Management, Journalism and Mass Communication, Design and many more. As per recent updates, MRIIRS Admission 2024 will begin soon. Interested candidates can apply on the official website after checking the eligibility."
142,Pandit Deendayal Energy University - [PDEU],"Pandit Deendayal Energy University (PDEU) is a private university founded by GERMI in 2007. Its former name was Pandit Deendayal Petroleum University (PDPU). It is located in Gandhi Nagar, Gujarat, India. PDEU is approved by AICTE and recognized by UGC. PDEU is accredited with an NAAC “A++” grade. The university is spread over an area of 100 acres. PDEU has also been recognized by the Scientific and Industrial Research Organization, Govt. of India. Pandit Deendayal Energy University (PDEU) is ranked 101-150 under the “Engineering” category by NIRF 2023."
143,Alliance University,"Alliance University is a private university established in 2010 in the city of Bangalore, Karnataka. Alliance University has been ranked at 71st position in Management by NIRF for the year 2024. Alliance University offers undergraduate, postgraduate, doctoral, and executive courses in the fields of business, engineering, technology, film & media studies, design & creative arts, public policy, economics, sciences, liberal arts and humanities, commerce, and law ."
144,"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]","Pandit Deendayal Energy University School of Technology (PDEU SOT) is located in Gujarat, Gandhinagar. It is a private University established by GERMI through the State act passed on April 4, 2007. The University offers various courses through its four schools. The various schools are:"
145,Amity University,"Amity University Kolkata is a constituent of Amity University established in 2015. The university is approved by UGC and holds the membership of AIU. Amity University Kolkata offers more than 20 programs, in the fields of Architecture, Commerce, Design, Arts, Engineering, Fashion, Law, Management, etc. The university has established 11 research centres in Bio-Design, Computer Graphics, Decision & Ethics, Design Research, Information Technology, Financial Analytics, Robotics, Computer Research in Music & Acoustics, Humanities, Language & Information and Applied & Behavioural Sciences. It has been ranked  in West Bengal by Education World under Private Multidisciplinary University."
146,VIT Bhopal University,"VIT Bhopal is authorized by University Grants Commission (UGC). VIT Bhopal was established in 2017, which is a deemed university located on the outskirts of Bhopal. It ranks among the top universities in India. As per NIRF Ranking, it stands in 65th position amongst all the universities of India."
147,Acharya Institute of Technology - [AIT],
148,MVJ College of Engineering - [MVJCE],"MVJ College of Engineering (MVJCE), Bangalore is an autonomous institute established in the year 1982 to impart education in the field of engineering, management and much more. MVJCE is affiliated to VTU, approved by AICTE and accredited by NAAC and NBA. MVJ College of Engineering is also recognised by UGC with 2(f) & 12(B) status and received the autonomy status in the year 2019-20. The college is positioned 6th in Visvesvaraya Technological University (VTU), Belagavi for Academic Performance in 2022-23. MVJCE is positioned 85 among the private sector T-School Employability Ranking 2023 in the survey conducted by Dataquest Cybermedia, 2023. Further, the college also ranked 73rd  among The Overall Top 100 (Government and Private Institutions), 93rd  among Top 100 T-Schools based on the Employability Index and 62nd among the private sector T- School Employability Ranking 2022 in the survey conducted by Dataquest Cybermedia, 2022."
149,DIT University - [DIT],"Dehradun Institute of Technology was formed in 1998 by the Unison group and was established by Govt. of Uttarakhand vide Act No.10. It is a private institution that has partnerships with ASSOCHAM India, FICCI, and CII. DIT University and its degrees are recognized by the UGC, New Delhi, and by the Nepal Engineering Council. DIT University is a member of the Association of Indian Universities. The Pharmacy Council of India has approved the B.Pharm Program, and the Council of Architecture has approved the BArch Program."
150,Bharath University - Bharath Institute of Higher Education and Research - [BIHER],"Bharath Institute of Higher Education and Research (BIHER) also known as Bharath University, is a multi-campus, multi-disciplinary research university known for providing high-quality education to around 10,000 students. The institute facilitates the guidance of 1,300 teaching faculty members to provide Undergraduate, Postgraduate programs in fields of Management, Engineering and facilitate Ph.D. research. BIHER is accredited by NAAC with ‘A’ grade and approved by AICTE with four campuses located in Tamil Nadu and Puducherry."
151,GLA University,
152,J.S. University - [JSU],"J.S. University is a private university established in 2015 by the Sri Jagdish Jan Kalyan Educational Trust in Shikohabad of the Firozabad district of Uttar Pradesh. The university is recognized by UGC and AICTE. It is also approved by NCTE, BCI, PCI, INC and the state of Uttar Pradesh. J.S. University provides courses at the undergraduate, postgraduate, and doctoral levels in the streams of humanities, management, engineering, sciences, commerce, law, and more."
153,Amity University,"Amity University Mumbai was established in the year 2014. The university was established under Maharashtra Govt. Act. The campus offers a variety of courses in various undergraduate and postgraduate programs like B.A., B.Tech, B.C.A., M.Sc., M.F.A., M.B.A., M.Tech, and more."
154,NIMS University,"NIMS University Jaipur is a self financed university in Rajasthan established in the year 2008. The University is recognised under Sections 2(f) of the University Grants Commissions Act and also a member of Association of Indian Universities (AIU). NIMS Jaipur is accreditated by NAAC and recognized by AICTE, DCI, MCI, PCI, RNC, INC, BCI, and RPC. The university was awarded as ""Best University"" in North India by CEGR, 2023 and also ranked in band 101 - 150 (university category), NIRF 2022 and 2021."
155,"Vels Institute of Science, Technology & Advanced Studies","Vels Institute of Science, Technology and Advanced Studies (VISTAS), Chennai, popularly known as Vels University is a deemed-to-be university approved by UGC. The university also holds the approval of AICTE, PCI, BCI, DGS, GOI & MHRD.  As per the NIRF Report 2023, Vels University's Overall ranking is 101 out of 200 colleges in India. The university has been ranked fifth among the top 10 private engineering colleges in Tamil Nadu by the Times of India Engineering Survey and top among 50th South India’s Private Business Schools by Business World."
156,Techno India University,"Techno India University (TIU), Kolkata was established in 2002 by Techno India Group. It is a private university located in Bidhannagar Salt Lake, Sector 5 in Kolkata. The college is accredited by the NBA, approved by AICTE, New Delhi, and affiliated with WBUT (West Bengal University of Technology). The aim of the university is to facilitate and promote studies, research, innovation, technology, incubation, and extension work in the various fields of study and attain distinction in higher education. Check Techno India University Admission."
157,Vishwakarma Institute of Technology,"My friend at VIT Pune shared his first-day experience at the college. He faced a huge cultural shock as he hails from Delhi and was suddenly in a completely different environment. He received a warm welcome from his batchmates. He seemed out of place as most of his batchmates tale din Marathi. He asked them about the syllabus that had already been covered. In the second lecture, he was told that a class test was scheduled for the day after. Luckily, the professor postponed the test when my friend informed him that he was a new student."
158,JECRC University - [JU],"JECRC University is a private university established by the JECRC Foundation National Society for Engineering, Research and Development (NSERD) in 2012 in Jaipur, Rajasthan. JECRC stands for Jaipur Engineering College and Research Centre. The university is spread over an area of 32 acres. It has more than 22,000 alumni and 16,000+ active students. JECRC University is approved by UGC and BCI. It is also accredited by NAAC and the NBA. JECRC University offers UG, PG, and Ph.D. courses. It has 11 schools or departments to offer higher education in Engineering & Technology, Computer Applications, Sciences, Business, Law, Design, Economics, Hospitality, Allied Health Sciences, Mass Communication, etc. . Admission to the JECRC University is done based on entrance exams followed by Group Discussion and Personal Interviews. The university also offers and"
159,Birla Institute of Technology and Science - [BITS],"BITS Hyderabad is one of the campuses of BITS Pilani established in 2008. The institute spreads over 200 acres of land at Jawahar Nagar, Shameerpet, Hyderabad. As per IIRF Ranking 2023, the BITS Hyderabad is ranked 47 in the Engineering category among Indian colleges."
160,NIST University,"NIST University, Odisha offers UG, PG and PhD program in the dicipline of Engineering, Science, and Management. The fees for the flagship course B.Tech is INR 4.70 Lacs whereas NIST University fees range from INR 1 Lacs to 5 Lacs. Admission to B.Tech is on the basis of valid score in JEE Main whereas for M.Tech preference will be given to students who have valid GATE scores. Final admission for M.Tech is on the basis of OJEE counselling."
161,Silicon University,"Silicon University, Bhubaneawar is a private institution and was established in 2001 under the affiliation of Utkal University. Then in the year 2002, the institution came under the affiliation of Biju Patnaik University of Technology. The University is recognized by the Odisha Government and is approved by the All India Council for Technical Education (AICTE). Silicon University, Bhubaneawar ranked in the band 151-300 for Innovation by NIRF 2023 and was categorized under ‘Band-Performer’ in the category of ‘Private or Self-Financed College/Institutes (Technical)’ in ARIIA 2021. The Institute is approved by University Grants Commission (UGC)."
162,Centurion University of Technology and Management - [CUTM],"Centurion University of Technology and Management (CUTM), Paralakhemundi is the first Multi-Sector Private State University in Odisha established by Odisha Act 4 of 2010. Centurion University has pioneered a unique model for delivering Industry-Aligned Skill Integrated Higher Education. This model has been widely recognized globally by the United Nations, World Bank, Niti Ayog, Central and State Governments as well as leading firms such as EY."
163,Sanskriti University - [SU],AICTE is approved by the Institutions and University Grants Commission (UGC) approved for any university.
164,Adamas University,
165,Ganpat University - [GUNI],"Ganpat University is a private university situated in the Mehsana district of Gujarat, India. Established in 2005, Ganpat University is spread over 300 acres of land and approved by UGC & AICTE. Ganpat University Mehsana is a member of AIU, ACU, FICCI, AIMA, CII, IAU and other prominent organizations. The university is accredited with NAAC “A” Grade and ranked 101 under the “Overall” category by NIRF Innovation Ranking 2023."
166,CEPT University,"CEPT University, also known as the Centre for Environmental Planning and Technology, is located in Ahmedabad, India. CEPT has been rated 5th in the GSIRF Ranking 2022 and ranked 4th in the Overall University category. CEPT is a UGC-recognized University. It offers UG, PG, and Research-based programs in several disciplines, such as Management, Design, Engineering, Architecture, etc. According to the NIRF 2021 placement data for CEPT University, the median package for UG (5-year) programs was INR 5.20 LPA while the median package offered to the PG (2-year) program stood at INR 5.45 LPA."
167,Birla Institute of Technology and Science - [BITS],"Established in 2004, BITS Pilani K K Birla Goa campus is spread across 180 acres. BITS Goa is one of four BITS Pilani campuses managed by the Aditya Birla Group. It is accredited with NAAC “A” grade."
168,Mahatma Gandhi Institute of Technology - [MGIT],"Mahatma Gandhi Institute of Technology popularly known as MGIT Hyderabad is a private engineering institution situated in Hyderabad. Established in 1997 by the Chaitanya Bharathi Educational Society, MGIT is affiliated with Jawaharlal Nehru Technological University Hyderabad (JNTUH) and has received an 'A++' grade from NAAC. As per the IIRF Ranking 2023, MGIT B.tech Ranking is 100 out of 170 colleges in India."
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],"Prasad V. Potluri Siddhartha Institute of Technology (PVPSIT), established in 1998 and affiliated to the Jawaharlal Nehru Technological University, Kakinada, is one of the top-ranking private Engineering Institutes of India. The College has been accredited with ‘A+’ Grade (CGPA – 3.38 on a 7-point scale) by NAAC in 2017 and is approved by AICTE. The Institute was given autonomous status by UGC in 2012. PVPSIT College offers different Engineering and Management courses under UG and PG Programmes. In fact, all the UG courses offered by the Institution have been accredited by NBA in 2022 for the next 3 years. Check"
170,RKDF University,"RKDF University, Bhopal, established in 2012, is sponsored by the AYUSHMATI EDUCATION AND SOCIAL SOCIETY and approved by UGC. RKDF University is one of the growing universities of central India with over 40,000 students and 1,500 faculty, offering a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Pharmacy, Management, Education, Science and Humanities. Admission to the courses depends on the performance of the candidates in various National entrance examinations and the last qualifying examination."
171,SunRise University - [SRU],"SunRise University is a private university, located in Alwar, Rajasthan and was established in 2011. The university is recognized by UGC and AICTE. It is also approved by the Government of Rajasthan, BCI, PCI, RCI, Rajasthan Paramedical Council, etc. The university is spread over an area of more than 35 acres. SunRise University offers 200+ Polytechnic Diploma, UG, Integrated, PG Diploma, PG, Ph.D., and M.Phil. courses in various specializations across different streams. The university has 18 schools and 35 departments that offer higher education in the relevant disciplines. Admission to all the courses is merit-based except Ph.D. and M.Phil., where the applicant needs to appear for the Entrance Test and Personal Interview conducted by the university."
172,Uttaranchal University,"Uttaranchal University was established in 2013 and is a group of institutes that includes Law College Dehradun (2002), Uttaranchal Institute of Management, Uttaranchal Institute of Technology (2006), Uttaranchal Institute of Pharmaceutical Science, School of Agriculture, University Polytechnic and school of applied and life science (2016). School of Hospitality Management and School of Media and communication studies (2018), School of Liberal Arts (2019). It is accredited by NAAC with a grade of A+."
173,OPJS University,"Om Prakash Joginder Singh [OPJS] University established by the Government of Rajasthan as per Ordinance No. 16 of 2013, of the Rajasthan State Legislature in Churu district of Rajasthan. The Eco-Friendly University was promulgated by the Honourable Governor of Rajasthan in August 2013. The University has received accreditations from UGC, Bar Council of India, and Council of Architecture."
174,"PDM University, Bahadurgarh","PDM University is a private university located in Bahadurgarh (Delhi-NCR). Established in 1995, the university recognised by the UGC. PDM University offers 120+ UG & PG courses including BTech, B.Com, BBA, BCA, BFA, B.Pharm, MTech, M.Pharm, MBA, MCA, MA, MDS, and many more. Students have a wide choice to opt for their preferred program in the field of Arts, Commerce, Management, Engineering, etc. This university has academic collaboration with companies like IBM, SAP, CISCO, Microsoft, etc."
175,Centurion University of Technology and Management - [CUTM],"Centurion University of Technology and Management (CUTM) is a multi-sector private state university having different campuses. Centurion University Vizianagaram was established in 2017 in Andhra Pradesh. The university has offices in Visakhapatnam and Vijayawada. Centurion University Vizianagaram is accredited with “A” Garde by NAAC. It is approved by UGC. Admission to all the courses at CUTM is done based on the merit in Centurion University Entrance Exam (CUEE). The main campus of CUTM is located in Centurion University of Technology and Management Vizianagaram hasto offer higher education in different fields. The university offers UG, PG, Doctoral and Diploma programmes in Engineering and Technology, Management, Life Sciences, Law, Pharmacy, Nursing, Agriculture, Allied Health Sciences, etc."
176,RKDF University,"RKDF University Ranchi is a private institute established on 6th December, 2018 by Ayushmati Education and Social Society under the Jharkhand Government Act. It is approved by UGC, BCI and holds the membership of AIU. RKDF University Ranchi offers regular full-time UG, PG, Diploma and Doctoral courses in the fields of Engineering, Pharmacy, Management, Computer Application, Library Science, Agriculture, Journalism and Mass Communication, Fashion Designing, Interior Designing, Arts, and others. Admission at RKDF University Ranchi is conducted in the online and offline modes."
177,MLR Institute of Technology - [MLRIT],"MLR Institute of Technology is one of the best educational institutions that is ranked 6th in Telangana and 65th in India under Top Private Engineering Institutes by Times Engineering Institutes Ranking Survey 2024. It is also ranked 10th in Telangana and 89th in India under Best Engineering Colleges by The Week 2024. The institute offers a number specializations in B.Tech and M.Tech. Admissions to all the courses of MLR Institute of Technology are entrance-based. Admissions to the B.Tech courses are based on TS-EAMCET., while admissions to M.Tech are on or TS-PGCET Entrance exam scores. Admissions to the MBA courses are based on scores."
178,BML Munjal University - [BMU],
179,Shoolini University,"Shoolini University, Solan is a private university established in the year 2009. Shoolini University is approved by UGC, AICTE, BCI, and PCI. The university is accredited with B++ Grade by NAAC and is ISO-certified. As per NIRF Rankings 2023, Shoolini University is ranked at 73rd position among all the Indian Universities. Shoolini University Solan has been ranked as the Number 1 Private University in India by The World University Rankings 2024 and QS World University Rankings 2024. The university offers UG, PG, and PhD programs in the fields of Management Science, Science, Law, Agriculture, Food Technology, Engineering, Design, Liberal Arts, etc. Shoolini also offers online and distance education programs."
180,Banasthali Vidyapith,"Banasthali Vidyapith University, Jaipur offers courses from elementary to doctoral levels. Banasthali University offers a variety of Undergraduate, Graduate, and Doctoral level Programs under distinct Departments. Admission to the same is based on performance in the qualifying examination; however, for some programmes, a university-level aptitude test is also administered."
181,Amity University,"Amity University Jaipur was established in 2008 as a constituent of Amity University. It is recognized by UGC and approved by AICTE, COA, BCI, PCI and the Rehabilitation Council of India. Amity University Jaipur is accredited by NAAC “A+”. The university is spread over an area of 152 acres. It has 187 distinguished faculty members and scientists. Amity University Jaipur has 13 institutes and is a member of the Association of Indian Universities, the Association of Commonwealth Universities, and The Institute of Engineering and Technology and is accredited by ASIC UK. Amity University Jaipur is ranked in India and . It is also ranked by NIRF rankings 2023."
182,CMR University - [CMRU],"CMR University is a private university established in the year 2013 under the CMR University Act. The university is located in Bangalore, Karnataka with a campus covering an area of 60 acres. The university is recognized by UGC and accredited by the Association of Indian Universities (AIU).  Being part of the esteemed CMR Group of Institutions, CMR University benefits from over 30 years of academic expertise and a rich tradition of excellence in education. As per the 2022 ranking, CMR University is ranked 6th among Best State Private Universities & South Zone and 15th among the top 100 Universities Overall. The university is also ranked 15th across India by R World Institutional Ranking in the MHW Ranking 2022.The university offers 70+ UG, PG and PhD courses in the areas of . The university is focused on creating a vibrant learning atmosphere that helps students develop the essential skills and knowledge needed for success in their respective fields."
183,Bangalore Institute of Technology - [BIT],"Bangalore Institute of Technology was established in 1979 in Bangalore, Karnataka. BIT Bangalore is affiliated with Visvesvaraya Technological University (VTU). The college is approved by AICTE and recognized by UGC. It is also accredited by the NBA and NAAC “A+” grade. According to The Week 2024, Bangalore Institute of Technology is ranked 4th in Bangalore and 27th in India under the Engineering category."
184,Poornima University - [PU],"Poornima University is a private university established in 2012 located in Jaipur, Rajasthan. The university is spread over an area of 32 acres. The university is approved by UGC, NCHMCT, COA, CTE, and AIU. Poornima University is the youngest university in Rajasthan that has achieved a “Diamond” rating by QS I-GAUGE. Poornima University has been ranked in 34th position among the Best B-Schools in North India by India Today. It has also been ranked at 23rd position among the “Best Private University” in India by Times B-School. Poornima University offers admission to Undergraduate, Postgraduate, Diploma, and Doctoral courses in the fields of Engineering, Architecture, Management, Commerce, Design, Science, Public Health, Computer Applications, and Hotel Management."
185,Sikkim Manipal University - [SMU],"Sikkim Manipal University is recognised by the University Grants Commission (UGC) and the All India Council of Technical Education (AICTE). It was established in 1995 in Gangtok, Sikkim. Sikkim Manipal University (SMU) offers 16 undergraduate, 18 postgraduate, diploma in medical biotechnology, and doctoral courses in all fields. Sikkim Manipal University has divided these courses in the two campuses- Sikkim Manipal Institute of Technology (SMIT) and Sikkim Manipal Institute of Medical Sciences (SMIMS). Sikkim Manipal University course admissions are based on both merit and entrance exams."
186,Monad University,"Monad University, established in 2010, is a private university founded by Monad Education Society. The university offers undergraduate, postgraduate and diploma course in arts, science and commerce field."
187,Graphic Era University - [GEU],"Graphic Era University (GEU), formerly known as Graphic Era Institute of Technology, is one of the leading universities in developing India as it has become a popular university in a concise span of time. It has also been ranked 65th by the NIRF 2023 in Management. The Institute also secure rank 55th in University, 62nd in Engineering and 89th in Overall category. The university offers Undergraduate, Postgraduate, and Doctoral programs in streams like Engineering, Management, Computer Application, Humanities & Social Sciences, Commerce, Life Sciences, Hotel management, and Hospitality. Among these the most popular courses are B.Tech, B.Sc, and B.E."
188,Chandigarh Group of Colleges - [CGC] Landran,"Chandigarh Group of Colleges (CGC), Landran which is one of the most premier colleges was established in 2001. The institute offers undergraduate and postgraduate courses in the field of Engineering, Business Management, Hotel Management, etc. Admission to CGC Landran is done on the basis of GATE, JEE Main, MAT, Punjab MET scores. The candidates can apply for admission through online and offline mode. Additionally, the institute provides 100% placement assistance to its students. The highest package offered to the students was INR 45.5 LPA."
189,Mody University,"Mody University was established in the Sikar district of Rajasthan in the year 1998. The prime goal behind the formation of the university was to help women achieve their career perspectives. Mody University provides an opportunity for them to study and ensures that it offers them all the facilities and help. The University has been approved and recognised by BCI, UGC and NBA. It offers undergraduate and postgraduate courses in different disciplines like Arts, Science, Commerce, Engineering, Management, Law, Fashion, Interior Design, Architecture, Physiotherapy, Agriculture etc."
190,Brainware University,"Brainware University is a UGC-recognized, private state university in West Bengal established in 2016. The university is approved by the Ministry of Education, Government of India, Ministry of MSME, PCI, AIU, INC, WBNC, BCI, Directorate of Medical Education, Government of West Bengal. Brainware University is sanctioned by the Department of Scientific and Industrial Research (DSIR) as a Scientific & Industrial Research Organisation (SIRO). As per the IIRF Ranking 2023, Brainware University has been awarded as the No. 1 Technical University of West Bengal."
191,Institute Technology & Management - [ITM],No data found
192,Sandip University,"Sandip University, Madhubani Bihar is one of the most renowned private universities located in Sijoul of Madhubani District, Bihar. The University offers multiple courses at the undergraduate and postgraduate levels in different fields including Engineering, Computer Science, Commerce and Management, and Education. Graduates from the university are placed in top recruiting companies such as Amazon, TCS, BYJU’s, etc. Admission to SUN is both merit and entrance-based and the accepted scores for the same are JEE Main and SU JEE."
193,Malla Reddy Engineering College - [MREC],"Malla Reddy Engineering College Hyderabad is a private technical institution established in the year 2002. It is affiliated to Jawaharlal Nehru Technological University, Hyderabad and has been approved by AICTE. MREC Hyderabad is spread across 30 acres with excellent infrastructural facilities.The institute has been ranked at #122 out of 246 for B.Tech by India Today in 2023."
194,Amity University,"Amity University Gurugram is a private university established in 2010 by the Amity Education Group. The university is approved by UGC & AICTE and holds the membership of AIU. Amity Gurgaon is accredited by NAAC with an “A+” Grade. It is also accredited by INC, BCI, PCI, COA, and IET, UK. Amity University Gurgaon campus is spread over an area of 110 acres. It is the only India and Asia’s second university to be awarded LEED (USA) Platinum certification. It offers UG, PG, and Doctoral courses in the fields of Commerce, Computer Science, Engineering, Literature, Management, Finance, Mass Communication, Travel and Tourism, Social Science, etc."
195,Shobhit University,"Shobhit Institute of Engineering & Technology, popularly known as Shobhit University is a Deemed University that is located in Meerut, Uttar Pradesh and was founded in the year 2006. It has been accredited by NAAC “A” grade  and approved by UGC. Shobhit University NICE School of Business Studies is ranked 16 in the Top Private B-School by Outlook-ICare India's Best B-Schools Ranking 2024. According to India Today University Ranking 2023, the university has been ranked in India's Top 23 Technical Universities. Further, the Law Programmes offered by the institute are recognized by the Bar Council of India."
196,Sri Sri University - [SSU],"Sri Sri University is a private university established in 2009 and located in Bhubaneswar. It is recognized by the UGC and AICTE. The university has an NAAC Grade “A” with a 3.25 score. Sri Sri University is ranked 1st in Odisha and 6th in India by UI GreenMetric 2023 Rankings. Sri Sri University offers various UG, PG, Diploma, Integrated, and Certificate programs. The courses are offered under 9 faculties such as Agriculture, Architecture, Management Studies, Engineering and Technology, Arts, etc."
197,Garden City University - [GCU],"Garden City University Bangalore, Karnataka established in 1992. The university offers various UG, PG, Diploma, and Ph.D. programs across arts, commerce, management, science, and medical streams from its 7 schools of study. Under UG, it offers BA, B.Sc, B.Com, BHM, BPT, BBA & BCA & under PG level it offers MA, M.Com, MBA, MCA, M.Sc, MTTM, and LL.M. Admissions to the university are based on entrance exams followed by personal interview. The application process can be done online on the official website of the university."
198,Madras Institute of Technology- [MIT],"Madras Institute of Technology (MIT) is a private engineering institute located in Chennai, Tamil Nadu. It was established in 1949 by C. Rajam. The institute is one of the 4 constituents of Anna University but in the year 1978, it was merged in Anna University. It is affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
199,Malla Reddy College of Engineering - [MRCE],"Malla Reddy College of Engineering (MRCE) Secunderabad, (formerly CM Engineering College) is a private college, established in 2005, recognized by UGC under section 2(f) & 12(B) of the UGC Act, 1956, approved by All India Council of Technical Education (AICTE), New Delhi, affiliated to Jawaharlal Nehru Technological University Hyderabad, and accredited by NBA, located in the Secunderabad, Telangana. MRCE Secunderabad offers a perfect blend of quality educative system and non-conventional learning methods. The college offers undergraduate and postgraduate programs in Engineering and Management under numerous departments such as:"
200,Indus University,"Indus University, established in 2012, is one of the best Universities in the state of Gujarat. The University offers undergraduate and postgraduate degrees and research programs like B.Tech, MBA, BBA, etc. in the field of Science and Technology. The Indus University Fees for the B.Tech program is INR 96,000 per year and that for the MBA program is INR 85,000 per year. During the Indus University Placements 2022, the highest package offered was INR 12 LPA while the second highest package stood at INR 10 LPA."
201,Academy of Maritime Education and Training University - [AMET],"Academy of Maritime Education and Training (AMET), established in 1993, is a maritime educational academy situated in Chennai, Tamil Nadu. It is a technology-oriented institute for higher education, which was regarded as a University under section 3 of the University Grants Commission Act, 1956. This institute offers  UG, PG, Ph.D., and various other courses in streams of engineering, and maritime education and training."
202,IFTM University,"IFTM (Institute Of Foreign Trade And Management) University was established in the year 1996 by Entrepreneurs Sri Onkar Saran Kothiwal and renowned economist Dr. R.M. Dubey as an institute and later in 2011, it was recognized as a university by U.P Government. It is located at Moradabad, Uttar Pradesh. It is approved by All India Council for Technical Education and Pharmacy Council of India and Bar Council of India. It is credited by National Board of Accreditation. It also has another institute i.e College of Engineering Technology"
203,Marwadi University - [MU],"Marwadi University (MU), Rajkot was inaugurated in 2016 and is accredited with “A+” grade by NAAC. The university offers undergraduate, postgraduate and doctoral courses in Engineering, Management, Science and Computer Applications. Admission to MU Rajkot depends on the performance of the candidates in various national entrance examinations."
204,Glocal University,Glocal University (GU) is a well-known private and coeducational institution established in 2012 at Saharanpur. It is a non-profit deemed educational organisation mentored by the Uttar Pradesh Private Universities Act 2021 and recognised by University Grants Commission. The university has been ranked 397th amongst India’s top universities by the uniRank online ranking portal.
205,Indraprastha Institute of Technology and Management - [IITM],"Indraprastha Institute Technology & Management (IITM) located in Delhi, was established in 2002. IITM was set up in 1999 and is affiliated with Guru Gobind Singh Indraprastha University (GGSIPU), New Delhi. The Institute is accredited 'A' Grade by NAAC. The Institute has been rated as Category 'A+' by the State Fee Regulatory Committee (SFRC) and Category 'A' by JAC, Govt. of NCT of Delhi. The Institute is also offering AICTE-approved MBA & MCA programs along with GGSIPU-affiliated BBA, BCom (H), BCA& BA(JMC) programs."
206,SAGE University,"SAGE University, Bhopal is a leading institute in the educational hub Bhopal. It has a total of 11 departments i.e. Advanced Computing, Agriculture, Art, Humanities, & Social Sciences, Commerce, Computer Application, Design, Engineering & Technology, Journalism and Mass Communication, Management, Performing Arts, and Sciences. The institute provides a total of 80 courses out of which 39 are UG courses and 41 are PG courses. Check: SAGE University, Bhopal Courses and Fees"
207,YBN University - [YBN],"YBN University is new in the group of education institutes in India. The university offers a total of 280 courses through UG, PG, and Doctoral programs. Graduates from YBN University are placed in well-reputed companies such as Infosys, BYJU’s, Amazon, Priya Industries, NIIT, Smartprix, Wipro, SAP, Capgemini, etc."
208,RIMT University,"RIMT University, Punjab was established in the year 1998, under the recognition of AICTE, BCI, PCI, and COA. The university is approved under the University Grants Commission(UGC) and the Punjab State Legislature."
209,AMC Engineering College - [AMC],"AMC Engineering College also referred to as AMCEC was established under the stewardship of Dr. K. R. Paramahamsa in the year 1993. AMCEC is a 52 acres sprawling green campus. It is approved by AICTE (All India Council for Technical Education), Govt., of India and affiliated to VTU (Visvesvaraya Technological University) and courses are accredited by NBA & NAAC."
210,Aditya Engineering College - [AEC],"Aditya Engineering College is an autonomous private engineering college situated in eco-friendly area of 180 acres thick greenery environment at Surampalem, Andhra Pradesh. College was established in 2001 with a vision to induce higher plans of learning by impacting technical education with international standards, applied research, creative ability to emerge as the premier institute. College is affiliated with Jawaharlal Nehru Technological University (JNTU) and college also awarded “ A++ “ grade from NAAC."
211,Maharaja Agrasen Institute of Technology - [MAIT],"Maharaja Agrasen Institute of Technology, located in Delhi, was established by the Maharaja Agrasen Technical Education Society. It is affiliated with Guru Govind Singh Indraprastha University and is also an ISO 9001-2015 Certified Institute. MAIT offers full-time programs for undergraduate and postgraduate degrees and is approved by the All India Council for Technical Education. MAIT offers Bachelor's degrees in 13 engineering disciplines and a postgraduate degree in MBA. Admission to these courses is based on an Entrance exam. MAIT's  programs are semester-based, with each program divided into eight semesters. MAIT, Delhi also holds an excellent placement rate and maintains a record of placing 600+ students. In 2023, a total of 846 students were placed with the highest package of INR 51 LPA and the average package of INR 3-5 LPA."
212,Maharaja Surajmal Institute of Technology - [MSIT],"Maharaja Surajmal Institute of Technology (MSIT) is an AICTE-approved private engineering institute under the Guru Gobind Singh Indraprastha University The university is located in the Institutional area of Janakpuri, New Delhi. MSIT holds an ISO 9001:2015 Certification and has been accredited by the NAAC with an ""A"" grade. MSIT was established in 2001 and spans an eight-acre campus surrounded by ecologically friendly surroundings."
213,Panimalar Engineering College,"Panimalar Engineering College is a Christian minority institution affiliated with Anna University and accredited by AICTE. Its mission is to provide superior engineering education to aspiring kids. In conformity with the overall policy of the Tamilnadu government, the trust established Panimalar Engineering College in the year 200. This college also assures that the students who graduate are academically smart, ethically upright, and empowered persons. The Panimalar Engineering College is Affiliated with Anna University."
214,MATS University,"MATS University, Raipur run by Shri Bhagwan Mahavir Jain Education and Cultural Society, is a private university of Chhattisgarh state, established by the Government of Chhattisgarh in 2006. The university has two campuses – one is at the heart of the city, next to Pandri Bus Stand, Raipur while the main campus is spread across 130 acres of green lush land in Aarang in the outskirts of Raipur with a well-connected network of public transport. The university is recognized by UGC and approved by NCTE, AICTE, AIU, and BCI. The university is accredited by NAAC with a . In 2023, a Super Indian Award was given to the Hon'ble Chancellor Sir of MATSUniversity for Exemplary Work in the field of Higher Education."
