Serial No.,College Name,Course,Fees,Eligibility,Application Date
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,"D.Voc
4 Courses","25,000 (1st Year Fees)",10th,-
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,"ME
4 Courses","80,000 (1st Year Fees)",Graduation,20 June - 01 Jul 2024
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,"BE {Lateral}
7 Courses","86,000 (1st Year Fees)",10+3,-
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,"Polytechnic
1 Course","45,000 (1st Year Fees)",10+2,-
369,Sethu Institute of Technology,"BE
10 Courses","50,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
369,Sethu Institute of Technology,"B.Tech
7 Courses","50,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
369,Sethu Institute of Technology,"ME
5 Courses","50,000 (1st Year Fees)",Graduation,15 Apr - 14 May 2024
370,Siliguri Institute of Technology - [SIT],"B.Tech
7 Courses","92,500 - 3.93 Lakhs (Total Fees)",10+2,28 Dec - 27 Jan 2024
370,Siliguri Institute of Technology - [SIT],"B.Tech {Lateral}
6 Courses",2.37 Lakhs - 3.93 Lakhs (Total Fees),10+3 with 45% + WBJEE,-
370,Siliguri Institute of Technology - [SIT],"BBA
2 Courses","67,333 (1st Year Fees)",10+2,-
370,Siliguri Institute of Technology - [SIT],"Polytechnic
3 Courses","54,000 (Total Fees)",10th,-
370,Siliguri Institute of Technology - [SIT],"BCA
1 Course","67,333 (1st Year Fees)",10+2,-
371,Trichy Engineering College - [TEC],"BE
7 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
371,Trichy Engineering College - [TEC],"B.Tech
1 Course",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
371,Trichy Engineering College - [TEC],"BE {Lateral}
6 Courses",1.65 Lakhs (Total Fees),10+3 with 50% + TNEA,-
371,Trichy Engineering College - [TEC],"ME
2 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
372,JSS Academy of Technical Education - [JSSATE],"B.Tech
10 Courses",1.19 Lakhs (1st Year Fees),10+2 with 45% +Jee Mains,11 June - 30 Jul 2024
372,JSS Academy of Technical Education - [JSSATE],"MBA
1 Course",1.19 Lakhs (1st Year Fees),Graduation with 50% +CUET,26 Dec - 10 Jul 2024
372,JSS Academy of Technical Education - [JSSATE],"B.Tech {Lateral}
9 Courses",1.19 Lakhs (1st Year Fees),Diploma with 45% + UPTAC,-
372,JSS Academy of Technical Education - [JSSATE],"M.Tech
3 Courses",1.19 Lakhs (1st Year Fees),Graduation+ 50% + GATE,26 Dec - 10 Feb 2024
372,JSS Academy of Technical Education - [JSSATE],"BE
1 Course",3.67 Lakhs (Total Fees),-,11 June - 30 Jul 2024
373,Vaagdevi College of Engineering - [VCOE],"B.Tech
7 Courses",1.08 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
373,Vaagdevi College of Engineering - [VCOE],"M.Tech
8 Courses","64,500 (1st Year Fees)",Pass in Graduation,-
373,Vaagdevi College of Engineering - [VCOE],"B.Tech {Lateral}
9 Courses",1.05 Lakhs (1st Year Fees),10+3,-
373,Vaagdevi College of Engineering - [VCOE],"MBA
1 Course","58,000 (1st Year Fees)",Graduation,7 Mar - 30 Apr 2024
373,Vaagdevi College of Engineering - [VCOE],MCA,"45,500 (1st Year Fees)",Graduation + TS ICET,7 Mar - 30 Apr 2024
374,Jharkhand Rai University - [JRU],"B.Tech
2 Courses","70,000 - 80,000 (1st Year Fees)",10+2 (PCM),15 Aug 2024
374,Jharkhand Rai University - [JRU],"B.Sc {Hons.}
1 Course","80,000 (1st Year Fees)",10+2 with Science,15 Aug 2024
374,Jharkhand Rai University - [JRU],"BCA
1 Course","60,000 (1st Year Fees)",10+2,15 Aug 2024
374,Jharkhand Rai University - [JRU],"MBA
1 Course","80,000 (1st Year Fees)",Graduation,15 Aug 2024
374,Jharkhand Rai University - [JRU],"D.Pharm
1 Course",1.2 Lakhs (1st Year Fees),10+2 with science,15 Aug 2024
375,Shridhar University,"B.Tech
9 Courses","99,300 - 1.17 Lakhs (1st Year Fees)",10+2 with 45% + JEE Main,no data found
375,Shridhar University,"B.Sc
15 Courses","38,300 - 64,300 (1st Year Fees)",10+2,no data found
375,Shridhar University,"M.Sc
13 Courses","59,300 - 82,300 (1st Year Fees)",Graduation,no data found
375,Shridhar University,"Polytechnic
6 Courses","61,300 - 71,300 (1st Year Fees)",10th,no data found
375,Shridhar University,"Lateral Polytechnic
6 Courses","61,300 (1st Year Fees)",10+2,no data found
376,University of Engineering and Management - [UEM],"B.Tech
17 Courses",1 Lakh - 1.7 Lakhs (1st Year Fees),10+2,27 June - 17 Jul 2024
376,University of Engineering and Management - [UEM],"MBA
8 Courses",1 Lakh - 1.8 Lakhs (1st Year Fees),Graduation with 50%,-
376,University of Engineering and Management - [UEM],"BBA {Hons.}
2 Courses","70,000 (1st Year Fees)",10+2,-
376,University of Engineering and Management - [UEM],"M.Tech
16 Courses","70,000 (1st Year Fees)",Graduation with 50%,-
376,University of Engineering and Management - [UEM],"M.P.T
4 Courses","80,000 (1st Year Fees)",BPT with 50%,-
377,Amrita Vishwa Vidyapeetham,"M.Tech
18 Courses","90,000 - 2 Lakhs (1st Year Fees)",Pass in Graduation + GATE,31 July 2024
377,Amrita Vishwa Vidyapeetham,"B.Tech
12 Courses",2.5 Lakhs - 6 Lakhs (1st Year Fees),10+2 with 75% + AEEE,2 Jan - 09 Jun 2024
377,Amrita Vishwa Vidyapeetham,"B.Sc + M.Sc
4 Courses",1 Lakh - 2.1 Lakhs (1st Year Fees),10+2,31 July 2024
377,Amrita Vishwa Vidyapeetham,"MBA
7 Courses",5.35 Lakhs - 5.45 Lakhs (1st Year Fees),Pass in Graduation + CAT,31 July 2024
377,Amrita Vishwa Vidyapeetham,"M.Sc
5 Courses","75,000 - 1.2 Lakhs (1st Year Fees)",Graduation,31 July 2024
378,International Institute of Information Technology - [I²IT],"BE
3 Courses",1.11 Lakhs (1st Year Fees),10+2 with 50% + JEE Mains,16 Aug 2024
379,CMR Engineering College - [CMREC],"B.Tech
7 Courses","75,000 (1st Year Fees)",10+2 + EAMCET,3 Mar - 02 May 2024
379,CMR Engineering College - [CMREC],"M.Tech
2 Courses","60,000 (1st Year Fees)",Graduation,-
379,CMR Engineering College - [CMREC],"B.Tech {Lateral}
5 Courses","75,000 (1st Year Fees)",10+2 with 45% + TSECET,-
380,Lingaya's Vidyapeeth,"B.Tech
15 Courses",1.2 Lakhs - 1.67 Lakhs (1st Year Fees),10 +2 with 50%,29 May - 07 Aug 2024
380,Lingaya's Vidyapeeth,"BCA
5 Courses","74,000 - 92,000 (1st Year Fees)",10+2 with 50%,-
380,Lingaya's Vidyapeeth,"Ph.D
18 Courses","90,000 - 1.05 Lakhs (1st Year Fees)",Post Graduation with 55%,-
380,Lingaya's Vidyapeeth,"B.Tech {Lateral}
12 Courses",1.42 Lakhs - 1.67 Lakhs (1st Year Fees),Diploma with 50%,-
380,Lingaya's Vidyapeeth,"BBA
8 Courses","74,000 (1st Year Fees)",10+2 with 55%,-
381,Matrusri Engineering College,"BE
8 Courses",1.03 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
381,Matrusri Engineering College,"BE {Lateral}
8 Courses",1 Lakh (1st Year Fees),10+2 with 45% + TSECET,-
382,Vemana Institute of Technology,"BE
8 Courses",3.2 Lakhs - 7.63 Lakhs (Total Fees),10+2 with 45% + KCET,24 May - 17 Jun 2024
382,Vemana Institute of Technology,"BE {Lateral}
6 Courses",3.13 Lakhs (Total Fees),10+3 with 45% + DCET,-
382,Vemana Institute of Technology,"M.Tech
3 Courses",1.51 Lakhs (Total Fees),Graduation with 50% + Karnataka PGCET,27 May - 17 Jun 2024
383,SRM University Delhi NCR,"B.Sc {Hons.}
5 Courses","91,000 - 1.86 Lakhs (1st Year Fees)",10+2 with 50%,20 Jan - 03 Jul 2024
383,SRM University Delhi NCR,"B.Tech
10 Courses",2.16 Lakhs - 3.41 Lakhs (1st Year Fees),10+2 with 50%,10 Nov - 15 Jun 2024
383,SRM University Delhi NCR,"BBA
2 Courses",1.46 Lakhs - 1.91 Lakhs (1st Year Fees),10+2 with 50%,20 Jan - 03 Jul 2024
383,SRM University Delhi NCR,"BA {Hons.}
4 Courses","91,000 (1st Year Fees)",10+2 with 50%,20 Jan - 03 Jul 2024
383,SRM University Delhi NCR,"BCA
1 Course",1.11 Lakhs (1st Year Fees),10+2 with 50%,20 Jan - 03 Jul 2024
384,SRM University Sikkim,"B.Sc
7 Courses","43,000 - 76,000 (1st Year Fees)",10+2,-
384,SRM University Sikkim,"MA
3 Courses","55,000 (1st Year Fees)",Graduation,-
384,SRM University Sikkim,"MBA
4 Courses",1.3 Lakhs (1st Year Fees),Graduation,-
384,SRM University Sikkim,"BCA
1 Course","60,000 (1st Year Fees)",10+2,-
384,SRM University Sikkim,"B.Tech
3 Courses",2.25 Lakhs (1st Year Fees),10+2,10 Nov - 15 Jun 2024
385,The Northcap University - [NCU],"B.Tech
11 Courses",3 Lakhs (1st Year Fees),10+2 with 50%,15 Aug 2024
385,The Northcap University - [NCU],"BA {Hons.}
3 Courses",1.15 Lakhs - 2.1 Lakhs (1st Year Fees),10+2 with 50%,15 Aug 2024
385,The Northcap University - [NCU],"MBA
4 Courses",4.25 Lakhs (1st Year Fees),Graduation with 50%,15 Aug 2024
385,The Northcap University - [NCU],"BCA
3 Courses",1.5 Lakhs (1st Year Fees),10+2 with 50%,15 Aug 2024
385,The Northcap University - [NCU],"BBA
7 Courses",2.2 Lakhs - 2.45 Lakhs (1st Year Fees),10+2 with 50%,15 Aug 2024
386,LNCT University - [LNCTU],"B.Tech
12 Courses","85,000 - 1.3 Lakhs (1st Year Fees)",10+2,31 July 2024
386,LNCT University - [LNCTU],"B.Sc {Hons.}
2 Courses","80,000 (1st Year Fees)",10+2 with 50%,31 July 2024
386,LNCT University - [LNCTU],"Diploma
15 Courses","30,000 - 83,500 (1st Year Fees)",10+2 with 45%,31 July 2024
386,LNCT University - [LNCTU],"BCA
3 Courses","50,000 (1st Year Fees)",10+2 with 45%,31 July 2024
386,LNCT University - [LNCTU],"BBA
6 Courses","40,000 - 65,000 (1st Year Fees)",10+2 with 50%,31 July 2024
387,Jaipur Engineering College and Research Centre,"B.Tech
7 Courses","92,000 (1st Year Fees)",10+2 with 45% + JEE Main,27 June - 17 Jul 2024
387,Jaipur Engineering College and Research Centre,"B.Tech {Lateral}
7 Courses","92,000 (1st Year Fees)",10+3 with 45% + RPET,-
388,Avantika University,"B.Des
5 Courses",4.25 Lakhs (1st Year Fees),10+2 with 50% + UCEED,30 June 2024
388,Avantika University,"B.Tech
6 Courses",2.29 Lakhs (1st Year Fees),10+2 with 50% + JEE,30 June 2024
388,Avantika University,"MBA
6 Courses",2.74 Lakhs (1st Year Fees),Graduation with 50%,31 Jan - 30 Jun 2024
388,Avantika University,"BCA
1 Course","90,000 (1st Year Fees)",10+2 with 50%,30 June 2024
388,Avantika University,"M.Des
4 Courses",4.25 Lakhs (1st Year Fees),Graduation with 50% + CEED,30 June 2024
389,Dayananda Sagar University - [DSU],"B.Tech
12 Courses",3.02 Lakhs - 4.72 Lakhs (1st Year Fees),10+2 with 45%,24 May - 17 Jun 2024
389,Dayananda Sagar University - [DSU],"B.Sc
11 Courses",1.42 Lakhs - 1.72 Lakhs (1st Year Fees),10+2,31 Aug 2024
389,Dayananda Sagar University - [DSU],"MBA
8 Courses",6.02 Lakhs (1st Year Fees),Graduation with 50%,27 May - 17 Jun 2024
389,Dayananda Sagar University - [DSU],"M.Sc
11 Courses",1.32 Lakhs - 1.82 Lakhs (1st Year Fees),Graduation,31 Aug 2024
389,Dayananda Sagar University - [DSU],"BBA
3 Courses",2.02 Lakhs (1st Year Fees),10+2 with 50%,31 Aug 2024
390,C. U. Shah University,"B.Sc
12 Courses","25,300 - 41,100 (1st Year Fees)",10+2,no data found
390,C. U. Shah University,"B.Tech
7 Courses","77,800 (1st Year Fees)",10+2 with 45% + GUJCET,no data found
390,C. U. Shah University,"BCA
1 Course","25,300 (1st Year Fees)",10+2,no data found
390,C. U. Shah University,"M.A
11 Courses","22,100 (1st Year Fees)",Graduation,no data found
390,C. U. Shah University,"M.Sc
9 Courses","42,100 - 43,100 (1st Year Fees)",Graduation,no data found
391,Techno Main Salt Lake,"B.Tech
15 Courses",3.67 Lakhs (Total Fees),10+2,28 Dec - 27 Jan 2024
391,Techno Main Salt Lake,"B.Tech {Lateral}
15 Courses",3.31 Lakhs (Total Fees),10+2,-
391,Techno Main Salt Lake,"M.Tech
2 Courses",2.73 Lakhs (Total Fees),Graduation,-
391,Techno Main Salt Lake,"MBA
1 Course",5.17 Lakhs (Total Fees),Graduation,-
391,Techno Main Salt Lake,MCA,2.52 Lakhs (Total Fees),Graduation + WBJEE,-
392,P.P. Savani University,"B.Tech
11 Courses","97,650 (1st Year Fees)",10+2,1 Apr - 03 Jul 2024
392,P.P. Savani University,"B.Sc
4 Courses","80,000 - 1.25 Lakhs (1st Year Fees)",10+2,-
392,P.P. Savani University,"M.Sc
7 Courses",1 Lakh - 1.5 Lakhs (1st Year Fees),Graduation,-
392,P.P. Savani University,"B.Des
4 Courses","85,000 - 2.5 Lakhs (1st Year Fees)",10+2,-
392,P.P. Savani University,"BCA
1 Course","95,000 (1st Year Fees)",10+2,-
393,VIT University - [VIT- AP],"B.Tech
15 Courses",1.98 Lakhs (1st Year Fees),10+2 + VITEEE,10 Apr - 25 Jul 2024
393,VIT University - [VIT- AP],"B.Sc + M.Sc
1 Course","58,000 (1st Year Fees)",10+2 with 50%,17 Nov - 15 May 2024
393,VIT University - [VIT- AP],"B.Tech + M.Tech
2 Courses","98,000 (1st Year Fees)",10+2 with 65%,10 Apr - 25 Jul 2024
393,VIT University - [VIT- AP],"BBA
4 Courses","58,000 (1st Year Fees)",10+2 with 50%,15 May - 31 May 2024
393,VIT University - [VIT- AP],"M.Sc
3 Courses","63,000 - 83,000 (1st Year Fees)",Graduation with 60%,23 Feb - 26 Jun 2024
394,Usha Martin University - [UMU],"B.Tech
5 Courses",1.23 Lakhs - 1.47 Lakhs (1st Year Fees),10+2 with 45%+CUET,15 Aug 2024
394,Usha Martin University - [UMU],"B.Sc {Hons.}
1 Course",1.12 Lakhs (1st Year Fees),10+2,15 Aug 2024
394,Usha Martin University - [UMU],"Polytechnic
5 Courses","77,000 (1st Year Fees)",10th,15 Aug 2024
394,Usha Martin University - [UMU],"BCA
1 Course",1.17 Lakhs (1st Year Fees),10+2,15 Aug 2024
394,Usha Martin University - [UMU],"MBA
4 Courses",2.07 Lakhs (1st Year Fees),Graduation+ CUET PG,26 Dec - 15 Aug 2024
395,Sangai International University - [SIU],"B.Sc
13 Courses","20,000 (1st Year Fees)",10+2,no data found
395,Sangai International University - [SIU],"M.Sc
17 Courses","15,000 - 25,000 (1st Year Fees)",Graduation,no data found
395,Sangai International University - [SIU],"B.Tech
13 Courses","40,000 (1st Year Fees)",10+2,no data found
395,Sangai International University - [SIU],"Certification
27 Courses","8,000 (Total Fees)",10th,no data found
395,Sangai International University - [SIU],"Polytechnic
14 Courses","18,000 (1st Year Fees)",10th,no data found
396,Pranveer Singh Institute of Technology - [PSIT],"B.Tech
10 Courses",1.09 Lakhs (1st Year Fees),10+2 with 60% +JEE Mains,30 Apr - 31 Jul 2024
396,Pranveer Singh Institute of Technology - [PSIT],"BBA
1 Course",2.4 Lakhs (Total Fees),10+2 with 60%,30 Apr - 12 Aug 2024
396,Pranveer Singh Institute of Technology - [PSIT],"BCA
1 Course",2.4 Lakhs (Total Fees),10+2 with 60%,30 Apr - 12 Aug 2024
396,Pranveer Singh Institute of Technology - [PSIT],"MBA
1 Course",1.09 Lakhs (1st Year Fees),Graduation with 60% + CUET PG,26 Dec - 31 Jul 2024
396,Pranveer Singh Institute of Technology - [PSIT],"D.Pharm
1 Course",1.8 Lakhs (Total Fees),10+2 with 60%,30 Apr 2024
397,Rama University,MBBS,15.67 Lakhs (1st Year Fees),10+2,31 Aug 2024
397,Rama University,"Diploma
12 Courses","30,000 - 1.5 Lakhs (1st Year Fees)",10+2,31 Aug 2024
397,Rama University,"B.Tech
7 Courses","75,000 - 1.3 Lakhs (1st Year Fees)",10+2 with 50%,31 Aug 2024
397,Rama University,"M.Sc
17 Courses","70,000 - 1 Lakh (1st Year Fees)",Graduation,31 Aug 2024
397,Rama University,"B.Sc (Nursing)
1 Course",1.1 Lakhs (1st Year Fees),10+2,31 Aug 2024
398,Birla Institute of Technology - [BIT],"B.Tech
4 Courses",2.92 Lakhs (1st Year Fees),10+2 with JEE,15 May - 15 Jun 2024
398,Birla Institute of Technology - [BIT],"BCA
2 Courses",1.58 Lakhs (1st Year Fees),10+2 with 50%,9 May - 22 Jun 2024
398,Birla Institute of Technology - [BIT],"B.Sc
1 Course",2.02 Lakhs (1st Year Fees),10+2 with 50%,9 May - 17 Jun 2024
398,Birla Institute of Technology - [BIT],"M.Sc
2 Courses",1.72 Lakhs - 2.48 Lakhs (1st Year Fees),Graduation,15 Apr - 18 Aug 2024
398,Birla Institute of Technology - [BIT],"BBA
1 Course",1.58 Lakhs (1st Year Fees),10+2 with 50%,9 May - 22 Jun 2024
399,Institute of Advanced Studies in Education - [IASE University],"Polytechnic
5 Courses","64,000 (1st Year Fees)",-,no data found
399,Institute of Advanced Studies in Education - [IASE University],"B.Tech
4 Courses","79,400 (1st Year Fees)",10+2 with 45% + REAP,no data found
399,Institute of Advanced Studies in Education - [IASE University],"B.Ed
2 Courses","28,080 (1st Year Fees)",Graduation,no data found
399,Institute of Advanced Studies in Education - [IASE University],"Ph.D
10 Courses","60,000 - 70,000 (1st Year Fees)",Post Graduation,no data found
399,Institute of Advanced Studies in Education - [IASE University],"MA
6 Courses","11,200 - 32,400 (1st Year Fees)",Graduation,no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],"B.Tech
4 Courses","80,000 (1st Year Fees)",10+2,no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],"B.Sc
16 Courses","50,000 - 70,000 (1st Year Fees)",10+2,no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],"MBA
4 Courses","80,000 (1st Year Fees)",Graduation,no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],"B.Sc + B.Ed
2 Courses","60,000 (1st Year Fees)",10+2 with 50%,no data found
400,Jayoti Vidyapeeth Women's University - [JVWU],"M.Pharm
2 Courses","70,000 (1st Year Fees)",B.Pharm. with 55%,no data found
401,Anurag College of Engineering - [ACE],"B.Tech
8 Courses","90,000 - 93,000 (1st Year Fees)",10+2 with 45% + TS EAMCET,3 Mar - 02 May 2024
401,Anurag College of Engineering - [ACE],"M.Tech
3 Courses","57,000 (1st Year Fees)",Pass in Graduation + GATE,-
401,Anurag College of Engineering - [ACE],"B.Tech {Lateral}
4 Courses","90,000 (1st Year Fees)",Diploma,-
402,Agni College of Technology,"B.Tech
3 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
402,Agni College of Technology,"BE
9 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
402,Agni College of Technology,"ME
6 Courses","30,000 (1st Year Fees)",Bachelor of Engineering,15 Apr - 14 May 2024
403,Bengal College of Engineering and Technology - [BCET],"B.Tech
8 Courses",1.56 Lakhs - 1.68 Lakhs (1st Year Fees),10+2 with 45%,28 Dec - 27 Jan 2024
403,Bengal College of Engineering and Technology - [BCET],"BCA
1 Course","88,800 (1st Year Fees)",10+2 with 30%,-
403,Bengal College of Engineering and Technology - [BCET],"B.Tech {Lateral}
7 Courses",1.56 Lakhs - 1.68 Lakhs (1st Year Fees),Diploma/ B.Sc with 50%,-
403,Bengal College of Engineering and Technology - [BCET],"BBA
1 Course","69,800 (1st Year Fees)",10+2 with 30%,-
403,Bengal College of Engineering and Technology - [BCET],"MBA
1 Course",1.38 Lakhs (1st Year Fees),Graduation with 45%,-
404,Chandigarh Engineering College - [CEC] Landran,"B.Tech
6 Courses","96,400 (1st Year Fees)",10+2,24 May - 14 Jun 2024
404,Chandigarh Engineering College - [CEC] Landran,"MBA
4 Courses","96,400 (1st Year Fees)",Graduation,-
404,Chandigarh Engineering College - [CEC] Landran,"B.Tech {Lateral}
8 Courses","96,400 (1st Year Fees)",10+3,-
404,Chandigarh Engineering College - [CEC] Landran,"M.Tech
4 Courses","96,400 (1st Year Fees)",Graduation,-
404,Chandigarh Engineering College - [CEC] Landran,MCA,"96,400 (1st Year Fees)",Graduation with 50%,-
405,Delhi Technical Campus - [DTC],"B.Tech
5 Courses",2.2 Lakhs (Total Fees),10+2 with JEE Main,29 May - 07 Aug 2024
405,Delhi Technical Campus - [DTC],"B.Tech {Lateral}
5 Courses",1.65 Lakhs (Total Fees),10+3 with JEE Main,-
405,Delhi Technical Campus - [DTC],"BBA
1 Course","60,000 (1st Year Fees)",10+2,-
405,Delhi Technical Campus - [DTC],"MBA
1 Course","68,000 (1st Year Fees)",Graduation,-
406,Dr. B.C. Roy Engineering College - [BCREC],"B.Tech
12 Courses",1.09 Lakhs - 1.69 Lakhs (1st Year Fees),10+3 with 45% + WBJEE/JEE Main,28 Dec - 27 Jan 2024
406,Dr. B.C. Roy Engineering College - [BCREC],"B.Tech {Lateral}
10 Courses",1.09 Lakhs - 1.7 Lakhs (1st Year Fees),10+3 with 45% + WBJEE,-
406,Dr. B.C. Roy Engineering College - [BCREC],"M.Tech
4 Courses","69,000 - 1.19 Lakhs (1st Year Fees)",Pass in Graduation + WBUT PGET,-
406,Dr. B.C. Roy Engineering College - [BCREC],"MBA
1 Course",2.03 Lakhs (1st Year Fees),Graduation with 50% + CAT,-
406,Dr. B.C. Roy Engineering College - [BCREC],MCA,1.15 Lakhs (1st Year Fees),Graduation with 50% + WB JECA,-
407,Erode Sengunthar Engineering College,"BE
10 Courses","55,000 - 60,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
407,Erode Sengunthar Engineering College,"B.Tech
6 Courses","55,000 - 60,000 (1st Year Fees)",10+2 with 50%,6 May - 11 Jun 2024
407,Erode Sengunthar Engineering College,"ME
6 Courses","50,000 (1st Year Fees)",Graduation with 50% + GATE,15 Apr - 14 May 2024
407,Erode Sengunthar Engineering College,"B.Tech + M.Tech
1 Course","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
407,Erode Sengunthar Engineering College,"MBA
3 Courses","35,000 (1st Year Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,"B.Tech
8 Courses",1.2 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,"B.Tech {Lateral}
10 Courses",1.2 Lakhs (1st Year Fees),10+2 with 45% + TSECET,-
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,"MBA
1 Course","55,000 (1st Year Fees)",Graduation with 50%,7 Mar - 30 Apr 2024
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,"M.Tech
1 Course","66,000 (1st Year Fees)",Graduation,3 Mar - 05 May 2024
409,IILM University,"B.Tech
22 Courses",1.84 Lakhs - 2.5 Lakhs (1st Year Fees),10 + 2 With 50%+ CET/JEE MAINS,31 May - 15 Aug 2024
409,IILM University,"MBA
9 Courses",4.4 Lakhs - 6.85 Lakhs (1st Year Fees),Graduation with 50%+CAT/CMAT,31 May - 15 Aug 2024
409,IILM University,"BBA
4 Courses",2.25 Lakhs - 2.5 Lakhs (1st Year Fees),10+2 with 50%,31 May - 15 Aug 2024
409,IILM University,"B.A {Hons.}
7 Courses",1.25 Lakhs (1st Year Fees),10+2 with 50%,31 May - 15 Aug 2024
409,IILM University,"M.A
6 Courses",1.5 Lakhs (1st Year Fees),Graduation with 50%,31 May - 15 Aug 2024
410,Inderprastha Engineering College - [IPEC],"B.Tech
6 Courses",1.22 Lakhs (1st Year Fees),10+2 with 75% + UPTAC,11 June - 30 Jul 2024
410,Inderprastha Engineering College - [IPEC],"B.Tech {Lateral}
6 Courses",1.22 Lakhs (1st Year Fees),10+3 with 75% + UPTAC,-
410,Inderprastha Engineering College - [IPEC],"M.Tech
1 Course",1.1 Lakhs (1st Year Fees),Pass in Graduation + GATE,-
411,Kanpur Institute of Technology - [KIT],"B.Tech
8 Courses","60,000 - 95,000 (1st Year Fees)",10+2 with 45% + UPTAC,31 May - 30 Jul 2024
411,Kanpur Institute of Technology - [KIT],"Polytechnic
5 Courses","40,000 (1st Year Fees)",10th with 35% + JEECUP,31 May 2024
411,Kanpur Institute of Technology - [KIT],"MBA
6 Courses","75,000 (1st Year Fees)",Graduation + NTA,31 May - 10 Jul 2024
411,Kanpur Institute of Technology - [KIT],"BCA
1 Course","45,000 (1st Year Fees)",10+2 with 45% + CSJMU,31 May - 12 Aug 2024
411,Kanpur Institute of Technology - [KIT],"B.Tech {Lateral}
8 Courses","55,000 - 1.1 Lakhs (1st Year Fees)",Diploma + UPTAC,-
412,Kashi Institute of Technology - [KIT],"B.Tech
7 Courses","80,000 - 1.2 Lakhs (1st Year Fees)",10+2 + UPTAC,31 May - 30 Jul 2024
412,Kashi Institute of Technology - [KIT],"Polytechnic
4 Courses","45,000 - 55,000 (1st Year Fees)",10th,31 May 2024
412,Kashi Institute of Technology - [KIT],"BCA
1 Course","65,000 (1st Year Fees)",10+2,31 May - 12 Aug 2024
412,Kashi Institute of Technology - [KIT],"BBA
1 Course","65,000 (1st Year Fees)",10+2,31 May - 12 Aug 2024
412,Kashi Institute of Technology - [KIT],"B.Tech {Lateral}
6 Courses","80,000 - 1 Lakh (1st Year Fees)",Diploma + UPTAC,-
413,Lakshmi Narain College of Technology - [LNCT],"B.Tech
5 Courses","48,600 (1st Year Fees)",10+2,13 June - 18 Aug 2024
413,Lakshmi Narain College of Technology - [LNCT],"MBA
5 Courses","39,000 (1st Year Fees)",Graduation,-
413,Lakshmi Narain College of Technology - [LNCT],"Polytechnic
4 Courses","30,000 (1st Year Fees)",10th,-
413,Lakshmi Narain College of Technology - [LNCT],"ME
2 Courses","62,000 (1st Year Fees)",Graduation,-
413,Lakshmi Narain College of Technology - [LNCT],"Diploma
1 Course","30,000 (1st Year Fees)",10th,-
414,Meenakshi Sundararajan Engineering College - [MSEC],"BE
5 Courses","87,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
414,Meenakshi Sundararajan Engineering College - [MSEC],"B.Tech
2 Courses","87,000 (1st Year Fees)",10+2,6 May - 11 Jun 2024
414,Meenakshi Sundararajan Engineering College - [MSEC],"M.E
1 Course","60,000 (1st Year Fees)",Graduation,15 Apr - 14 May 2024
415,Nandha Engineering College - [NEC],"B.Tech
3 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
415,Nandha Engineering College - [NEC],"BE
9 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
415,Nandha Engineering College - [NEC],"MBA
14 Courses","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
415,Nandha Engineering College - [NEC],"ME
5 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
415,Nandha Engineering College - [NEC],"BE {Lateral}
8 Courses",1.65 Lakhs (Total Fees),Diploma,-
416,Pragati Engineering College,"B.Tech
10 Courses","69,300 (1st Year Fees)",10+2,11 Mar - 25 Jul 2024
416,Pragati Engineering College,"M.Tech
4 Courses","52,800 (1st Year Fees)",Graduation,23 Mar - 12 May 2024
