Serial No.,College Name,Course Name,Cutoff Mark
72,Sri Venkateswara College of Engineering - [SVCE],"BE Civil Engineering
Compare",-
72,Sri Venkateswara College of Engineering - [SVCE],"BE Mechanical & Automation Engineering
Compare",-
72,Sri Venkateswara College of Engineering - [SVCE],"BE Automobile Engineering
Compare",-
72,Sri Venkateswara College of Engineering - [SVCE],"BE Marine Engineering
Compare",-
73,Rajalakshmi Engineering College - [REC],"BE Computer Science and Engineering
Compare",11130
73,Rajalakshmi Engineering College - [REC],"B.Tech Artificial Intelligence and Data Science
Compare",12070
73,Rajalakshmi Engineering College - [REC],"B.Tech Information Technology
Compare",16337
73,Rajalakshmi Engineering College - [REC],"BE Electronics & Communication Engineering
Compare",16866
73,Rajalakshmi Engineering College - [REC],"BE Computer Science and Design
Compare",19881
73,Rajalakshmi Engineering College - [REC],"MBA
Compare",90
74,PES University - [PESU],"B.Arch
Compare",60
74,PES University - [PESU],"B.Tech Computer Science Engineering
Compare",1247
74,PES University - [PESU],"B.Tech Electronics & Communication Engineering
Compare",3018
74,PES University - [PESU],"B.Tech Electrical and Electronics Engineering
Compare",5037
74,PES University - [PESU],"B.Tech Mechanical Engineering
Compare",9117
74,PES University - [PESU],"MBA
Compare",309
74,PES University - [PESU],"MBA Business Analytics
Compare",309
74,PES University - [PESU],"MBA Finance
Compare",309
74,PES University - [PESU],"MBA Marketing
Compare",309
74,PES University - [PESU],"MCA
Compare",309
74,PES University - [PESU],"MBA
Compare",60
74,PES University - [PESU],"MBA Capital Market
Compare",50
74,PES University - [PESU],"MBA Business Analytics
Compare",50
74,PES University - [PESU],"MBA Human Capital Management
Compare",50
74,PES University - [PESU],"MBA Finance
Compare",50
74,PES University - [PESU],"MBA Business Analytics
Compare",67
74,PES University - [PESU],"MBA Capital Market
Compare",67
74,PES University - [PESU],"MBA Finance
Compare",67
74,PES University - [PESU],"MBA Marketing
Compare",67
74,PES University - [PESU],"MBA Human Capital Management
Compare",67
74,PES University - [PESU],"MBA
Compare",50
74,PES University - [PESU],"MBA Business Analytics
Compare",50
74,PES University - [PESU],"MBA Capital Market
Compare",50
74,PES University - [PESU],"MBA Finance
Compare",50
74,PES University - [PESU],"MBA Human Capital Management
Compare",50
75,Heritage Institute of Technology - [HIT],"B.Tech Computer Science Engineering
Compare",3585
75,Heritage Institute of Technology - [HIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",4487
75,Heritage Institute of Technology - [HIT],"B.Tech Information Technology
Compare",5044
75,Heritage Institute of Technology - [HIT],"B.Tech Data Science
Compare",5361
75,Heritage Institute of Technology - [HIT],"B.Tech Internet of Things & Cyber Security Including Blockchain Technology
Compare",6224
75,Heritage Institute of Technology - [HIT],"B.Tech Computer Science Engineering
Compare",3585
75,Heritage Institute of Technology - [HIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",4487
75,Heritage Institute of Technology - [HIT],"B.Tech Information Technology
Compare",5044
75,Heritage Institute of Technology - [HIT],"B.Tech Data Science
Compare",5361
75,Heritage Institute of Technology - [HIT],"B.Tech Internet of Things & Cyber Security Including Blockchain Technology
Compare",6224
75,Heritage Institute of Technology - [HIT],"B.Tech {Lateral} Artificial Intelligence and Machine Learning
Compare",781
75,Heritage Institute of Technology - [HIT],"B.Tech (Lateral) Information Technology
Compare",1059
75,Heritage Institute of Technology - [HIT],"B.Tech {Lateral} Data Science
Compare",1651
75,Heritage Institute of Technology - [HIT],"B.Tech {Lateral} Internet of Things & Cyber Security Including Blockchain Technology
Compare",1921
75,Heritage Institute of Technology - [HIT],"B.Tech (Lateral) Electronics & Communication Engineering
Compare",3083
75,Heritage Institute of Technology - [HIT],"MCA
Compare",389
76,Sri Krishna College of Technology - [SKCT],"BE Computer Science and Engineering
Compare",17598
76,Sri Krishna College of Technology - [SKCT],"B.Tech Artificial Intelligence and Data Science
Compare",17759
76,Sri Krishna College of Technology - [SKCT],"BE Electronics & Communication Engineering
Compare",19988
76,Sri Krishna College of Technology - [SKCT],"B.Tech Information Technology
Compare",22500
76,Sri Krishna College of Technology - [SKCT],"BE Artificial Intelligence & Machine Learning
Compare",23627
76,Sri Krishna College of Technology - [SKCT],"MBA
Compare",90
77,PSNA College of Engineering and Technology,B.Tech Information Technology,21768
77,PSNA College of Engineering and Technology,BE Cyber Security,23639
77,PSNA College of Engineering and Technology,BE Computer Science and Engineering,24096
77,PSNA College of Engineering and Technology,B.Tech Artificial Intelligence and Data Science,24594
77,PSNA College of Engineering and Technology,BE Electronics & Communication Engineering,25030
77,PSNA College of Engineering and Technology,MCA,587
78,BV Raju Institute of Technology - [BVRIT],"B.Tech Computer Science Engineering
Compare",8176
78,BV Raju Institute of Technology - [BVRIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",8696
78,BV Raju Institute of Technology - [BVRIT],"B.Tech Data Science
Compare",9698
78,BV Raju Institute of Technology - [BVRIT],"B.Tech Artificial Intelligence and Data Science
Compare",10519
78,BV Raju Institute of Technology - [BVRIT],"B.Tech Computer Science and Business Systems
Compare",11573
78,BV Raju Institute of Technology - [BVRIT],"MBA Finance
Compare",27291
78,BV Raju Institute of Technology - [BVRIT],"MBA Human Resource Management
Compare",27291
78,BV Raju Institute of Technology - [BVRIT],"MBA Marketing
Compare",27291
79,University of Petroleum and Energy Studies - [UPES],"MBA Business Analytics
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Health Care Management
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA International Business
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Media and Entertainment
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Family Business & Entreprenership
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Aviation Management
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Business Analytics
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA International Business
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Logistics and Supply Chain Management
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Oil and Gas Management
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Aviation Management
Compare",60
79,University of Petroleum and Energy Studies - [UPES],"MBA Business Analytics
Compare",60
79,University of Petroleum and Energy Studies - [UPES],"MBA Digital Business
Compare",60
79,University of Petroleum and Energy Studies - [UPES],"MBA Family Business & Entreprenership
Compare",60
79,University of Petroleum and Energy Studies - [UPES],"MBA International Business
Compare",60
79,University of Petroleum and Energy Studies - [UPES],"MBA
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Aviation Management
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Business Analytics
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Health Care Management
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA International Business
Compare",50
79,University of Petroleum and Energy Studies - [UPES],"MBA Aviation Management
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Business Analytics
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA International Business
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Logistics and Supply Chain Management
Compare",70
79,University of Petroleum and Energy Studies - [UPES],"MBA Oil and Gas Management
Compare",70
80,Vardhaman College of Engineering - [VCE],B.Tech Data Science,11156
80,Vardhaman College of Engineering - [VCE],B.Tech Information Technology,13591
80,Vardhaman College of Engineering - [VCE],B.Tech Computer Science and Engineering (Artificial Intelligence & Machine Learning),24285
80,Vardhaman College of Engineering - [VCE],B.Tech Computer Science Engineering,25713
80,Vardhaman College of Engineering - [VCE],B.Tech Electrical and Electronics Engineering,32252
80,Vardhaman College of Engineering - [VCE],MBA,21579
81,BMS Institute of Technology and Management - [BMSIT],"BE Computer Science and Engineering
Compare",8730
81,BMS Institute of Technology and Management - [BMSIT],"BE Computer Science and Business Systems
Compare",11540
81,BMS Institute of Technology and Management - [BMSIT],"BE Electronics & Communication Engineering
Compare",11698
81,BMS Institute of Technology and Management - [BMSIT],"BE Electrical and Electronics Engineering
Compare",20237
81,BMS Institute of Technology and Management - [BMSIT],"BE Mechanical Engineering
Compare",37817
81,BMS Institute of Technology and Management - [BMSIT],"BE Computer Science and Engineering
Compare",4647
81,BMS Institute of Technology and Management - [BMSIT],"BE Computer Science and Business Systems
Compare",5040
81,BMS Institute of Technology and Management - [BMSIT],"BE Artificial Intelligence & Machine Learning
Compare",5697
81,BMS Institute of Technology and Management - [BMSIT],"BE Electronics & Communication Engineering
Compare",7019
81,BMS Institute of Technology and Management - [BMSIT],"BE Electrical and Electronics Engineering
Compare",9607
81,BMS Institute of Technology and Management - [BMSIT],"MCA
Compare",683
81,BMS Institute of Technology and Management - [BMSIT],"MBA
Compare",1654
81,BMS Institute of Technology and Management - [BMSIT],"M.Tech Computer Science and Engineering
Compare",2442
81,BMS Institute of Technology and Management - [BMSIT],"M.Tech Cyber Security
Compare",4101
82,B. N. M. Institute of Technology - [BNMIT],"BE Computer Science and Engineering
Compare",10681
82,B. N. M. Institute of Technology - [BNMIT],"BE Information Science & Engineering
Compare",12218
82,B. N. M. Institute of Technology - [BNMIT],"BE Electronics & Communication Engineering
Compare",15803
82,B. N. M. Institute of Technology - [BNMIT],"BE Electrical and Electronics Engineering
Compare",31232
82,B. N. M. Institute of Technology - [BNMIT],"BE Mechanical Engineering
Compare",61540
82,B. N. M. Institute of Technology - [BNMIT],"MBA
Compare",2476
82,B. N. M. Institute of Technology - [BNMIT],"M.Tech Computer Science and Engineering
Compare",3230
82,B. N. M. Institute of Technology - [BNMIT],"M.Tech VLSI Design & Embedded System
Compare",4240
82,B. N. M. Institute of Technology - [BNMIT],"MBA Banking and Finance
Compare",-
82,B. N. M. Institute of Technology - [BNMIT],"MBA Business Analytics
Compare",-
82,B. N. M. Institute of Technology - [BNMIT],"BE Computer Science and Engineering
Compare",10796
82,B. N. M. Institute of Technology - [BNMIT],"BE Information Science & Engineering
Compare",12299
82,B. N. M. Institute of Technology - [BNMIT],"BE Artificial Intelligence & Machine Learning
Compare",13185
82,B. N. M. Institute of Technology - [BNMIT],"BE Electronics & Communication Engineering
Compare",14829
82,B. N. M. Institute of Technology - [BNMIT],"BE Electrical and Electronics Engineering
Compare",23514
83,KLE Technological University,"B.Arch
Compare",399
83,KLE Technological University,"BE Computer Science and Engineering
Compare",6368
83,KLE Technological University,"BE Artificial Intelligence
Compare",7942
83,KLE Technological University,"BE Electronics & Communication Engineering
Compare",11898
83,KLE Technological University,"BE VLSI Design & Technology
Compare",16983
83,KLE Technological University,"MCA
Compare",568
83,KLE Technological University,"MBA Finance
Compare",1396
83,KLE Technological University,"MBA Human Resource
Compare",1396
83,KLE Technological University,"MBA Marketing
Compare",1396
83,KLE Technological University,"MBA Operations
Compare",1396
83,KLE Technological University,"B.Arch
Compare",527
83,KLE Technological University,"BE Computer Science and Engineering
Compare",11366
83,KLE Technological University,"BE Artificial Intelligence
Compare",12824
83,KLE Technological University,"BE Robotics and Automation
Compare",21723
83,KLE Technological University,"BE Electronics & Communication Engineering
Compare",21753
84,RMK Engineering College - [RMKEC],"B.Tech Information Technology
Compare",16472
84,RMK Engineering College - [RMKEC],"BE Computer Science and Engineering
Compare",18199
84,RMK Engineering College - [RMKEC],"B.Tech Computer Science and Business Systems
Compare",19643
84,RMK Engineering College - [RMKEC],"BE Advanced Communication Technology
Compare",23380
84,RMK Engineering College - [RMKEC],"B.Tech Artificial Intelligence and Data Science
Compare",23449
84,RMK Engineering College - [RMKEC],"BE Electronics & Communication Engineering
Compare",23620
84,RMK Engineering College - [RMKEC],"BE Electrical and Electronics Engineering
Compare",25089
84,RMK Engineering College - [RMKEC],"BE VLSI Design & Technology
Compare",25896
84,RMK Engineering College - [RMKEC],"B.Tech Computer Science and Design
Compare",26561
84,RMK Engineering College - [RMKEC],"BE Mechanical Engineering
Compare",-
84,RMK Engineering College - [RMKEC],"BE Civil Engineering
Compare",-
85,MIT World Peace University - [MIT-WPU],"B.Tech Chemical Engineering
Compare",22207
85,MIT World Peace University - [MIT-WPU],"B.Tech Mechanical Engineering
Compare",24215
85,MIT World Peace University - [MIT-WPU],"B.Tech Civil Engineering
Compare",28092
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Information Technology
Compare",98.36
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Computer Engineering
Compare",98.04
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",98.02
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Artificial Intelligence
Compare",97.8
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Artificial Intelligence and Data Science
Compare",97.68
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Computer Engineering
Compare",2824
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Software Engineering
Compare",2995
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Information Technology
Compare",3578
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Data Science
Compare",3892
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Internet of Things
Compare",4140
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Computer Engineering
Compare",2824
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Software Engineering
Compare",2995
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Information Technology
Compare",3578
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Data Science
Compare",3892
86,Vishwakarma Institute of Information Technology - [VIIT],"B.Tech Internet of Things
Compare",4140
86,Vishwakarma Institute of Information Technology - [VIIT],"MCA
Compare",99.48
87,Anurag University,B.Tech Computer Science Engineering,11745
87,Anurag University,B.Tech Artificial Intelligence,13018
87,Anurag University,B.Tech Electronics & Communication Engineering,25408
87,Anurag University,B.Tech Information Technology,45946
87,Anurag University,B.Tech Electrical and Electronics Engineering,57967
87,Anurag University,MBA,38948
87,Anurag University,MBA Business Analytics,38948
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Computer Science Engineering
Compare",20285
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Artificial Intelligence and Machine Learning
Compare",31434
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Information Technology
Compare",33380
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Data Science
Compare",34582
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Computer Science and Technology
Compare",36362
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Computer Science Engineering
Compare",20285
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Artificial Intelligence and Machine Learning
Compare",31434
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Information Technology
Compare",33380
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Data Science
Compare",34582
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech Computer Science and Technology
Compare",36362
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech (Lateral) Computer Science & Engineering
Compare",3084
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech (Lateral) Electrical Engineering
Compare",4113
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech {Lateral} Data Science
Compare",5567
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech (Lateral) Electronics & Communication Engineering
Compare",7123
88,Narula Institute of Technology - [NIT Agarpara],"B.Tech (Lateral) Civil Engineering
Compare",7186
88,Narula Institute of Technology - [NIT Agarpara],"MCA
Compare",1306
89,PES College of Engineering - [PESCE],"BE Computer Science and Engineering
Compare",25467
89,PES College of Engineering - [PESCE],"BE Artificial Intelligence & Machine Learning
Compare",28156
89,PES College of Engineering - [PESCE],"BE Information Science & Engineering
Compare",28161
89,PES College of Engineering - [PESCE],"BE Electronics & Communication Engineering
Compare",34483
89,PES College of Engineering - [PESCE],"BE Computer Science and Business Systems
Compare",38933
89,PES College of Engineering - [PESCE],"MCA
Compare",1656
89,PES College of Engineering - [PESCE],"M.Tech Computer Aided Design
Compare",5031
89,PES College of Engineering - [PESCE],"M.Tech Computer Science and Engineering
Compare",5905
89,PES College of Engineering - [PESCE],"M.Tech VLSI Design & Embedded System
Compare",5941
89,PES College of Engineering - [PESCE],"MBA
Compare",9182
89,PES College of Engineering - [PESCE],"BE Computer Science and Engineering
Compare",9527
89,PES College of Engineering - [PESCE],"BE Artificial Intelligence & Machine Learning
Compare",9901
89,PES College of Engineering - [PESCE],"BE Computer Science and Engineering (Data Science)
Compare",10507
89,PES College of Engineering - [PESCE],"BE Computer Science and Business Systems
Compare",12609
89,PES College of Engineering - [PESCE],"BE Information Science & Engineering
Compare",14817
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech Artificial Intelligence,13293
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech Computer Science Engineering,13894
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech Artificial Intelligence and Machine Learning,17270
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech Data Science,18682
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech Cyber Security,18748
90,Sree Vidyanikethan Engineering College - [SVEC],Diploma in Electrical & Electronics Engineering,50654
90,Sree Vidyanikethan Engineering College - [SVEC],Diploma in Computer Engineering,89134
90,Sree Vidyanikethan Engineering College - [SVEC],Diploma in Electronics and Communication Engineering,114435
90,Sree Vidyanikethan Engineering College - [SVEC],MCA,30740
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",No data found,No data found
92,Vasavi College of Engineering,"BE Artificial Intelligence & Machine Learning
Compare",2866
92,Vasavi College of Engineering,"BE Electronics & Communication Engineering
Compare",11357
92,Vasavi College of Engineering,"BE Electrical and Electronics Engineering
Compare",19233
92,Vasavi College of Engineering,"BE Computer Science and Engineering
Compare",28616
92,Vasavi College of Engineering,"BE Mechanical Engineering
Compare",41219
92,Vasavi College of Engineering,"BE Civil Engineering
Compare",48492
92,Vasavi College of Engineering,"BE (Information Technology)
Compare",129666
93,CMR Institute of Technology - [CMRIT],"BE Computer Science and Engineering
Compare",13508
93,CMR Institute of Technology - [CMRIT],"BE Artificial Intelligence & Machine Learning
Compare",14329
93,CMR Institute of Technology - [CMRIT],"BE Data Science
Compare",16467
93,CMR Institute of Technology - [CMRIT],"BE Information Science & Engineering
Compare",17547
93,CMR Institute of Technology - [CMRIT],"BE Artificial Intelligence
Compare",18160
93,CMR Institute of Technology - [CMRIT],"MCA
Compare",1225
93,CMR Institute of Technology - [CMRIT],"MBA Finance and Human Resource Management
Compare",2874
93,CMR Institute of Technology - [CMRIT],"MBA Marketing and Finance
Compare",2874
93,CMR Institute of Technology - [CMRIT],"MBA Marketing and Human Resource Management
Compare",2874
93,CMR Institute of Technology - [CMRIT],"BE Computer Science and Engineering
Compare",16330
93,CMR Institute of Technology - [CMRIT],"BE Artificial Intelligence & Machine Learning
Compare",19769
93,CMR Institute of Technology - [CMRIT],"BE Data Science
Compare",24444
93,CMR Institute of Technology - [CMRIT],"BE Electronics & Communication Engineering
Compare",38312
93,CMR Institute of Technology - [CMRIT],"BE Artificial Intelligence and Data Science
Compare",-
93,CMR Institute of Technology - [CMRIT],"BE Computer Science and Engineering
Compare",8542
93,CMR Institute of Technology - [CMRIT],"BE Computer Science and Engineering (Artificial Intelligence and Machine)
Compare",9689
93,CMR Institute of Technology - [CMRIT],"BE Data Science
Compare",10821
93,CMR Institute of Technology - [CMRIT],"BE Artificial Intelligence & Machine Learning
Compare",12597
93,CMR Institute of Technology - [CMRIT],"BE Information Science & Engineering
Compare",12984
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Artificial Intelligence and Machine Learning,14948
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Data Science,15914
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Electronics & Communication Engineering,19605
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Computer Science Engineering,30936
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Electrical and Electronics Engineering,88666
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Civil Engineering,170992
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech Mechanical Engineering,175361
95,Haldia Institute of Technology - [HIT],"B.Tech Computer Science Engineering
Compare",6909
95,Haldia Institute of Technology - [HIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",10025
95,Haldia Institute of Technology - [HIT],"B.Tech Data Science
Compare",13222
95,Haldia Institute of Technology - [HIT],"B.Tech Information Technology
Compare",13584
95,Haldia Institute of Technology - [HIT],"B.Tech Cyber Security
Compare",13705
95,Haldia Institute of Technology - [HIT],"B.Tech Computer Science Engineering
Compare",6909
95,Haldia Institute of Technology - [HIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",10025
95,Haldia Institute of Technology - [HIT],"B.Tech Data Science
Compare",13222
95,Haldia Institute of Technology - [HIT],"B.Tech Information Technology
Compare",13584
95,Haldia Institute of Technology - [HIT],"B.Tech Cyber Security
Compare",13705
95,Haldia Institute of Technology - [HIT],"B.Tech (Lateral) Computer Science & Engineering
Compare",1808
95,Haldia Institute of Technology - [HIT],"B.Tech (Lateral) Chemical Engineering
Compare",4052
95,Haldia Institute of Technology - [HIT],"B.Tech (Lateral) Electrical Engineering
Compare",4580
95,Haldia Institute of Technology - [HIT],"B.Tech (Lateral) Mechanical Engineering
Compare",4879
95,Haldia Institute of Technology - [HIT],"B.Tech (Lateral) Information Technology
Compare",5009
95,Haldia Institute of Technology - [HIT],"MCA
Compare",2309
96,Ramrao Adik Institute of Technology - [RAIT],No data found,No data found
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech Computer Science Engineering,62707
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech Cyber Security,95725
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech Electronics & Communication Engineering,102547
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech Artificial Intelligence and Machine Learning,104640
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech Artificial Intelligence,116350
97,Sri Venkateswara College of Engineering and Technology - [SVCET],Diploma in Computer Science and Engineering,56046
97,Sri Venkateswara College of Engineering and Technology - [SVCET],Diploma in Mechanical Engineering,71702
97,Sri Venkateswara College of Engineering and Technology - [SVCET],Diploma in Electronics and Communication Engineering,113704
97,Sri Venkateswara College of Engineering and Technology - [SVCET],Diploma in Civil Engineering,-
97,Sri Venkateswara College of Engineering and Technology - [SVCET],MBA,16226
97,Sri Venkateswara College of Engineering and Technology - [SVCET],MCA,40901
98,The National Institute of Engineering - [NIE],BE Computer Science and Engineering,6186
98,The National Institute of Engineering - [NIE],BE Artificial Intelligence & Machine Learning,8897
98,The National Institute of Engineering - [NIE],BE Information Science & Engineering,9025
98,The National Institute of Engineering - [NIE],BE Electronics & Communication Engineering,10809
98,The National Institute of Engineering - [NIE],BE Electrical and Electronics Engineering,25637
98,The National Institute of Engineering - [NIE],MCA,710
98,The National Institute of Engineering - [NIE],M.Tech Structural Engineering,1479
98,The National Institute of Engineering - [NIE],M.Tech Computer Network Engineering,2756
98,The National Institute of Engineering - [NIE],M.Tech Information Technology,4326
98,The National Institute of Engineering - [NIE],M.Tech Hydraulics,4442
98,The National Institute of Engineering - [NIE],BE Electronics & Communication Engineering,8863
98,The National Institute of Engineering - [NIE],BE Electrical and Electronics Engineering,16889
98,The National Institute of Engineering - [NIE],BE Mechanical Engineering,25715
98,The National Institute of Engineering - [NIE],BE Civil Engineering,32003
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Electrical Engineering,8700
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Computer Science Engineering,8869
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Electronics & Communication Engineering,9003
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Civil Engineering,9402
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Mechanical Engineering,9953
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Electrical Engineering,108572
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Computer Science Engineering,163066
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Electronics & Communication Engineering,165218
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Mechanical Engineering,204078
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech Civil Engineering,479698
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech Artificial Intelligence and Data Science
Compare",7083
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech Information Technology
Compare",10958
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech Computer Science Engineering
Compare",22923
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech Electronics & Communication Engineering
Compare",28510
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"B.Tech Electrical and Electronics Engineering
Compare",48161
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"MCA
Compare",2245
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],"MBA
Compare",4706
101,Dr. Mahalingam College of Engineering & Technology - [MCET],BE Electrical and Electronics Engineering,18119
101,Dr. Mahalingam College of Engineering & Technology - [MCET],BE Mechanical Engineering,18376
101,Dr. Mahalingam College of Engineering & Technology - [MCET],BE Computer Science and Engineering,18641
101,Dr. Mahalingam College of Engineering & Technology - [MCET],B.Tech Information Technology,24542
101,Dr. Mahalingam College of Engineering & Technology - [MCET],BE Cyber Security,24879
101,Dr. Mahalingam College of Engineering & Technology - [MCET],MCA,1567
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Computer Science and Business Systems
Compare",6205
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Electronics & Communication Engineering
Compare",7886
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Electrical and Electronics Engineering
Compare",14922
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Mechanical Engineering
Compare",42180
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Civil Engineering
Compare",47057
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Computer Science Engineering
Compare",62752
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Computer Science and Engineering (Artificial Intelligence & Machine Learning)
Compare",140467
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],"B.Tech Data Science
Compare",144219
103,Kakatiya Institute of Technology & Science - [KITSW],B.Tech Computer Science Engineering,16695
103,Kakatiya Institute of Technology & Science - [KITSW],B.Tech Data Science,20583
103,Kakatiya Institute of Technology & Science - [KITSW],Bachelor of Technology [B.Tech] (Computer Networks),26872
103,Kakatiya Institute of Technology & Science - [KITSW],B.Tech Information Technology,32781
103,Kakatiya Institute of Technology & Science - [KITSW],B.Tech Internet of Things,34646
103,Kakatiya Institute of Technology & Science - [KITSW],MBA,42126
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech Computer Science Engineering,4486
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech Artificial Intelligence and Machine Learning,6136.1
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech Data Science and Artificial Intelligence,21093
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech Electrical and Electronics Engineering,26844
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech Cyber Security,28190
104,Shri Vishnu Engineering College for Women - [SVECW],MBA,13715
104,Shri Vishnu Engineering College for Women - [SVECW],M.Tech VLSI Design,9923
105,Alliance College of Engineering and Design,B.Tech Computer Science Engineering,9830
105,Alliance College of Engineering and Design,B.Tech Artificial Intelligence and Machine Learning,14791
